agent_culture_details_tables	9
agent	culture	associated_unit	key	season	level	agent_recruited_movie	gender	icon	small_icon	recruitable_in_ui
dignitary	wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_cha_vampire_fleet_captain_0	1122969389		0		f		ui/campaign ui/agents/wh_main_wizard.png	true
minister	wh2_main_rogue		114291892		0				ui/campaign ui/agents/wh_main_emp_champion.png	true
general	wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_cha_vampire_fleet_admiral_0	1159840472		0				ui/campaign ui/agents/paladin.png	true
wizard	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_cha_liche_priest_death_0	1162984081		0		m		ui/campaign ui/agents/wh_main_wizard.png	true
champion	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_cha_tomb_prince_0	1173480852		0		m		ui/campaign ui/agents/wh2_dlc09_tmb_champion.png	true
dignitary	wh_main_chs_chaos	wh_dlc08_nor_cha_fimir_balefiend_fire_0	1187083556		0		m	UI/units/icons/wh_dlc08_nor_fimir_balefiend.png	ui/campaign ui/agents/wh_dlc08_nor_fimir.png	true
wizard	wh2_main_rogue	wh_main_emp_cha_wizard_fire_0	1299086447		0		m	UI/units/icons/wh_main_emp_wizard_fire.png	ui/campaign ui/agents/wh_main_wizard.png	true
champion	wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_cha_mourngul_haunter	1346142836		0		m		ui/campaign ui/agents/wh2_dlc11_cst_champion.png	true
champion	wh2_main_rogue	wh_main_emp_cha_captain_0	1505540076		0		m	UI/units/icons/wh_main_emp_captain.png	ui/campaign ui/agents/wh_main_emp_champion.png	true
colonel	wh2_dlc11_cst_vampire_coast		169764009		0				ui/campaign ui/agents/paladin.png	true
engineer	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_cha_necrotect_0	1803883940		0		m		ui/campaign ui/agents/wh2_dlc09_tmb_engineer.png	true
general	wh2_main_rogue	wh_main_emp_cha_general_0	1863471942		0				ui/campaign ui/agents/wh_main_emp_champion.png	true
engineer	wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_cha_gunnery_wight_0	1928090079		0		m		ui/campaign ui/agents/wh2_dlc11_cst_engineer.png	true
dignitary	wh2_main_hef_high_elves	wh2_dlc10_hef_cha_handmaiden_0	2001275565		0		f		ui/campaign ui/agents/wh2_dlc10_hef_handmaiden.png	true
spy	wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_cha_damned_paladin_0	2019735024		0				ui/campaign ui/agents/paladin.png	false
colonel	wh2_main_rogue		2039089441		0				ui/campaign ui/agents/wh_main_emp_champion.png	true
