ai_usage_groups_tables	7
key	melee	ranged_indirect	ranged_direct	fast	flanker	support	flying	high_value	gate_crusher	bomber	shock	use_skirmish	harasser	stalker
flying_fast_melee_flanker_bomber	true	false	false	true	true	false	true	false	false	true	false	false	false	false
flying_hybrid_highvalue	true	true	false	true	false	false	true	true	false	false	false	false	false	false
flying_melee	true	false	false	true	false	false	true	false	false	false	false	true	false	false
flying_melee_flanker	true	false	false	true	true	false	true	false	false	false	false	true	false	false
flying_melee_flanker_shock	true	false	false	true	true	false	true	false	false	false	true	true	false	false
flying_melee_flanker_shock_highvalue	true	false	false	true	true	false	true	true	false	false	true	true	false	false
flying_melee_highvalue	true	false	false	true	false	false	true	true	false	false	false	true	false	false
flying_melee_mage_highvalue	true	false	false	true	false	true	true	true	false	false	false	true	false	false
flying_melee_shock_highvalue	true	false	false	true	false	false	true	true	false	false	true	true	false	false
flying_melee_shock_mage_highvalue	true	false	false	true	false	true	true	true	false	false	true	true	false	false
flying_ranged_flanker	false	false	true	true	true	false	true	false	false	false	false	true	false	false
flying_ranged_harasser_flanker	false	false	true	true	true	false	true	false	false	false	false	true	true	false
flying_ranged_harasser_flanker_highvalue	false	false	true	true	true	false	true	true	false	false	false	true	true	false
gyrocopter	false	false	true	true	true	true	true	false	false	true	false	true	true	false
hybrid	true	true	true	false	false	false	false	false	false	false	false	true	false	false
hybrid_cav_highvalue	true	true	false	true	false	false	false	true	false	false	false	false	false	false
hybrid_flanker_shock_harasser	true	true	false	true	true	false	false	false	false	false	true	true	true	false
hybrid_highvalue	true	true	false	false	false	false	false	true	false	false	false	false	false	false
mage	false	false	false	false	false	true	false	true	false	false	false	true	false	false
mage_flanker_highvalue	false	false	false	false	true	true	false	true	false	false	false	true	false	false
mage_highvalue	false	false	false	false	false	true	false	true	false	false	false	true	false	false
mage_stalkers_highvalue	false	false	false	false	false	true	false	true	false	false	false	true	false	true
melee	true	false	false	false	false	false	false	false	false	false	false	true	false	false
melee_cav	true	false	false	true	false	false	false	false	false	false	false	true	false	false
melee_cav_shock	true	false	false	true	false	false	false	false	false	false	true	true	false	false
melee_cav_shock_highvalue	true	false	false	true	false	false	false	true	false	false	true	true	false	false
melee_flanker	true	false	false	true	true	false	false	false	false	false	false	true	false	false
melee_flanker_shock	true	false	false	true	true	false	false	false	false	false	true	true	false	false
melee_flanker_shock_highvalue	true	false	false	true	true	false	false	true	false	false	true	true	false	false
melee_gatecrusher	true	false	false	false	false	false	false	false	true	false	false	true	false	false
melee_gatecrusher_highvalue	true	false	false	false	false	false	false	true	true	false	false	true	false	false
melee_gatecrusher_shock	true	false	false	false	false	false	false	false	true	false	true	true	false	false
melee_gatecrusher_support	true	false	false	false	false	true	false	false	true	false	false	true	false	false
melee_highvalue	true	false	false	false	false	false	false	true	false	false	false	true	false	false
melee_mage	true	false	false	false	false	true	false	true	false	false	false	true	false	false
melee_mage_highvalue	true	false	false	false	false	true	false	true	false	false	false	true	false	false
melee_stalkers	true	false	false	false	false	false	false	false	false	false	false	true	false	true
melee_stalkers_flankers	true	false	false	false	true	false	false	false	false	false	false	true	false	true
ranged	false	true	false	false	false	false	false	false	false	false	false	true	false	false
ranged_cav	false	true	false	true	false	false	false	false	false	false	false	true	false	false
ranged_cav_harasser	false	true	false	true	false	false	false	false	false	false	false	true	true	false
ranged_cav_highvalue	false	true	false	true	false	false	false	true	false	false	false	true	false	false
ranged_direct	false	false	true	false	false	false	false	false	false	false	false	true	false	false
ranged_direct_cav	false	false	true	true	false	false	false	false	false	false	false	true	false	false
ranged_direct_flanker	false	false	true	true	true	false	false	false	false	false	false	true	false	false
ranged_direct_flanker_harasser	false	false	true	true	true	false	false	false	false	false	false	true	true	false
ranged_direct_highvalue	false	false	true	false	false	false	false	true	false	false	false	true	false	false
ranged_direct_no_skirmish	false	false	true	false	false	false	false	false	false	false	false	false	false	false
ranged_flanker	false	true	false	true	true	false	false	false	false	false	false	true	false	false
ranged_harasser	false	true	false	false	false	false	false	false	false	false	false	true	true	false
ranged_harasser_flanker	false	true	false	true	true	false	false	false	false	false	false	true	true	false
ranged_harasser_highvalue	false	true	false	false	false	false	false	true	false	false	false	true	true	false
ranged_highvalue	false	true	false	false	false	false	false	true	false	false	false	true	false	false
ranged_indirect_arty	false	true	true	false	false	false	false	false	false	false	false	true	false	false
ranged_no_skirmish	false	true	false	false	false	false	false	false	false	false	false	false	false	false
ranged_no_skirmish_gatecrusher	false	false	true	false	false	false	false	true	true	false	false	false	false	false
ranged_stalkers	false	true	false	false	false	false	false	false	false	false	false	true	false	true
ranged_stalkers_direct	false	false	true	false	false	false	false	false	false	false	false	true	false	true
ranged_stalkers_flanker	false	true	false	true	true	false	false	false	false	false	false	true	false	true
ranged_stalkers_flanker_harasser	false	true	false	true	true	false	false	false	false	false	false	true	true	true
ranged_stalkers_harasser	false	true	false	false	false	false	false	false	false	false	false	true	true	true
ranged_stalkers_harasser_flanker	false	true	false	true	true	false	false	false	false	false	false	true	true	true
ranged_stalkers_harasser_highvalue	false	true	false	false	false	false	false	true	false	false	false	true	true	true
ranged_stalkers_no_skirmish	false	true	false	false	false	false	false	false	false	false	false	false	false	true
