Loc PackedFile	1
key	text	tooltip
ancillaries_colour_text_wh2_main_anc_mount_def_death_hag_cauldron_of_blood	A gift from Khaine, containing the secret of eternal youth and beauty. His brides may bathe in it to renew their vitality.	true
ancillaries_onscreen_name_wh_main_anc_enchanted_item_potion_of_foolhardiness	Potion of Foolhardiness	true
ancillaries_onscreen_name_wh2_dlc09_anc_enchanted_item_shroud_of_sokth	Shroud of Sokth	true
ancillaries_onscreen_name_wh_main_anc_weapon_shrieking_blade	Shrieking Blade	true
ancillaries_onscreen_name_wh2_dlc09_anc_talisman_golden_eye_of_rah_nutt	Golden Eye of Rah-Nutt	true
ancillaries_onscreen_name_wh2_dlc11_anc_mount_vmp_bloodline_necrarch_barded_nightmare	Barded Nightmare	true
ancillaries_onscreen_name_wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	Deathsword and the Cursed Blade	true
ancillaries_onscreen_name_wh_main_anc_follower_dwarfs_powder_mixer	Powdermaker	true
ancillaries_onscreen_name_wh_dlc05_anc_follower_eternal_guard_commander	Eternal Guard Commander	true
ancillaries_onscreen_name_wh_main_anc_follower_all_men_outlaw	Outlaw	true
ancillaries_onscreen_name_wh2_main_anc_arcane_item_black_staff	Black Staff	true
ancillaries_colour_text_wh_dlc07_anc_mount_brt_prophetess_beasts_brettonian_warhorse_barded	The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.	true
ancillaries_colour_text_wh2_dlc10_anc_arcane_item_scroll_of_blast	 	true
ancillaries_onscreen_name_wh2_main_anc_follower_lzd_army_beast_hunter	Prize Hunter	true
ancillaries_onscreen_name_wh2_dlc09_anc_weapon_destroyer_of_eternities	Destroyer of Eternities	true
ancillaries_colour_text_wh_main_anc_arcane_item_staff_of_damnation	 	true
ancillaries_onscreen_name_wh2_main_anc_mount_lzd_skink_priest_beasts_terradon	Terradon	true
ancillaries_onscreen_name_wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_manticore	Manticore	true
ancillaries_colour_text_wh_main_anc_mark_of_chaos_mark_of_tzeentch	Those that bear an ever-burning Mark of Tzeentch have a natural capacity to manipulate magic and a strong prescience for seeing multiple fates.	true
ancillaries_colour_text_wh_dlc05_anc_follower_young_stag	Forest dwellers beware, lest you are watched, followed and taken, never to be seen again.	true
ancillaries_colour_text_wh_dlc06_anc_weapon_bonewood_staff	Covered in magical glyphs, this staff protects Wurrzag from the many magical machinations ranged against him.	true
ancillaries_colour_text_wh2_main_anc_armour_helm_of_khaine	An ornate helm of black steel that contains the tiniest fragments of Khaine's never-ending wrath.	true
ancillaries_colour_text_wh_main_anc_follower_empire_jailer	The Empire is a nation of laws, and therefore also a nation of jails.	true
ancillaries_onscreen_name_wh2_main_anc_mount_lzd_skink_priest_beasts_ancient_stegadon	Ancient Stegadon	true
ancillaries_onscreen_name_wh2_main_anc_armour_shield_of_distraction	Shield of Distraction	true
ancillaries_colour_text_wh2_dlc11_anc_mount_vmp_bloodline_necrarch_zombie_dragon	Animated by Dark Magic, a zombie dragon is an unholy parody of a once-noble beast now borne aloft by great tattered wings, its body covered with thick, withered hide.	true
ancillaries_onscreen_name_wh_dlc08_anc_weapon_troll_fang_dagger	Troll-Fang Dagger	true
