armed_citizenry_units_to_unit_groups_junctions_tables	0
id	priority	unit	unit_group
0	86	wh_main_grn_inf_orc_boyz	default
10007	83	wh_main_brt_inf_men_at_arms	brt_test_garrison
10015	86	wh_main_dwf_inf_dwarf_warrior_0	dwf_test_garrison
1004941458	72	wh2_dlc11_cst_mon_mournguls_0	wh2_dlc11_cst_mon_mournguls_0
1013648631	91	wh_dlc07_brt_inf_men_at_arms_2	wh_dlc07_brt_inf_men_at_arms_2
1053325931	94	wh_dlc07_brt_inf_spearmen_at_arms_1	wh_dlc07_brt_inf_spearmen_at_arms_1
1056332711	84	wh2_dlc11_cst_inf_deck_gunners_0	wh2_dlc11_cst_inf_deck_gunners_0
1064203766	32	wh2_dlc09_tmb_veh_khemrian_warsphinx_0	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
10714	122	wh_main_brt_art_field_trebuchet	wh_main_brt_art_field_trebuchet
10716	111	wh_main_brt_cav_grail_knights	wh_main_brt_cav_grail_knights
10718	111	wh_main_brt_cav_knights_of_the_realm	wh_main_brt_cav_knights_of_the_realm
10726	111	wh_main_brt_cav_mounted_yeomen_0	wh_main_brt_cav_mounted_yeomen_0
10734	111	wh_main_brt_cav_mounted_yeomen_1	wh_main_brt_cav_mounted_yeomen_1
10735	111	wh_main_brt_cav_pegasus_knights	wh_main_brt_cav_pegasus_knights
10738	83	wh_main_brt_inf_men_at_arms	wh_main_brt_inf_men_at_arms
10741	88	wh_main_brt_inf_peasant_bowmen	wh_main_brt_inf_peasant_bowmen
10747	91	wh_main_brt_inf_spearmen_at_arms	wh_main_brt_inf_spearmen_at_arms
10749	122	wh_main_dwf_art_cannon	wh_main_dwf_art_cannon
10758	122	wh_main_dwf_art_flame_cannon	wh_main_dwf_art_flame_cannon
10775	122	wh_main_dwf_art_grudge_thrower	wh_main_dwf_art_grudge_thrower
10781	122	wh_main_dwf_art_organ_gun	wh_main_dwf_art_organ_gun
1078643426	90	wh2_dlc09_tmb_inf_skeleton_spearmen_0	wh2_dlc09_tmb_inf_skeleton_spearmen_0
10793	86	wh_main_dwf_inf_dwarf_warrior_0	wh_main_dwf_inf_dwarf_warrior_0
10798	84	wh_main_dwf_inf_dwarf_warrior_1	wh_main_dwf_inf_dwarf_warrior_1
10801	60	wh_main_dwf_inf_hammerers	wh_main_dwf_inf_hammerers
10807	56	wh_main_dwf_inf_ironbreakers	wh_main_dwf_inf_ironbreakers
10813	76	wh_main_dwf_inf_irondrakes_0	wh_main_dwf_inf_irondrakes_0
10818	74	wh_main_dwf_inf_longbeards_1	wh_main_dwf_inf_longbeards_1
10820	91	wh_main_dwf_inf_miners_0	wh_main_dwf_inf_miners_0
10825	88	wh_main_dwf_inf_miners_1	wh_main_dwf_inf_miners_1
10834	82	wh_main_dwf_inf_quarrellers_0	wh_main_dwf_inf_quarrellers_0
10839	80	wh_main_dwf_inf_quarrellers_1	wh_main_dwf_inf_quarrellers_1
10847	68	wh_main_dwf_inf_slayers	wh_main_dwf_inf_slayers
10853	76	wh_main_dwf_inf_thunderers_0	wh_main_dwf_inf_thunderers_0
10859	58	wh_main_dwf_veh_gyrobomber	wh_main_dwf_veh_gyrobomber
10865	76	wh_main_dwf_veh_gyrocopter_0	wh_main_dwf_veh_gyrocopter_0
10873	72	wh_main_dwf_veh_gyrocopter_1	wh_main_dwf_veh_gyrocopter_1
10879	122	wh_main_emp_art_great_cannon	wh_main_emp_art_great_cannon
10889	122	wh_main_emp_art_helblaster_volley_gun	wh_main_emp_art_helblaster_volley_gun
10900	122	wh_main_emp_art_helstorm_rocket_battery	wh_main_emp_art_helstorm_rocket_battery
10906	122	wh_main_emp_art_mortar	wh_main_emp_art_mortar
1091695249	111	wh_main_chs_cav_chaos_knights_1	wh_main_chs_cav_chaos_knights_1
10918	111	wh_main_emp_cav_demigryph_knights_0	wh_main_emp_cav_demigryph_knights_0
10924	111	wh_main_emp_cav_demigryph_knights_1	wh_main_emp_cav_demigryph_knights_1
10926	111	wh_main_emp_cav_outriders_0	wh_main_emp_cav_outriders_0
10928	111	wh_main_emp_cav_outriders_1	wh_main_emp_cav_outriders_1
10938	111	wh_main_emp_cav_pistoliers_1	wh_main_emp_cav_pistoliers_1
10945	111	wh_main_emp_cav_reiksguard	wh_main_emp_cav_reiksguard
10953	84	wh_main_emp_inf_crossbowmen	wh_main_emp_inf_crossbowmen
10956	66	wh_main_emp_inf_greatswords	wh_main_emp_inf_greatswords
10961	78	wh_main_emp_inf_halberdiers	wh_main_emp_inf_halberdiers
10964	80	wh_main_emp_inf_handgunners	wh_main_emp_inf_handgunners
10969	92	wh_main_emp_inf_spearmen_0	wh_main_emp_inf_spearmen_0
10970	88	wh_main_emp_inf_spearmen_1	wh_main_emp_inf_spearmen_1
10972	88	wh_main_emp_inf_swordsmen	wh_main_emp_inf_swordsmen
10973	20	wh_main_emp_veh_luminark_of_hysh_0	wh_main_emp_veh_luminark_of_hysh_0
10977	16	wh_main_emp_veh_steam_tank	wh_main_emp_veh_steam_tank
10987	122	wh_main_grn_art_doom_diver_catapult	wh_main_grn_art_doom_diver_catapult
10998	111	wh_main_grn_cav_forest_goblin_spider_riders_0	wh_main_grn_cav_forest_goblin_spider_riders_0
11006	111	wh_main_grn_cav_forest_goblin_spider_riders_1	wh_main_grn_cav_forest_goblin_spider_riders_1
11009	111	wh_main_grn_cav_goblin_wolf_chariot	wh_main_grn_cav_goblin_wolf_chariot
11015	111	wh_main_grn_cav_goblin_wolf_riders_0	wh_main_grn_cav_goblin_wolf_riders_0
11019	111	wh_main_grn_cav_goblin_wolf_riders_1	wh_main_grn_cav_goblin_wolf_riders_1
1102525750	68	wh2_dlc10_dwf_inf_giant_slayers	wh2_dlc10_dwf_inf_giant_slayers
11026	111	wh_main_grn_cav_orc_boar_boy_big_uns	wh_main_grn_cav_orc_boar_boy_big_uns
11028	111	wh_main_grn_cav_orc_boar_boyz	wh_main_grn_cav_orc_boar_boyz
11034	111	wh_main_grn_cav_orc_boar_chariot	wh_main_grn_cav_orc_boar_chariot
11038	111	wh_main_grn_cav_savage_orc_boar_boy_big_uns	wh_main_grn_cav_savage_orc_boar_boy_big_uns
11041	111	wh_main_grn_cav_savage_orc_boar_boyz	wh_main_grn_cav_savage_orc_boar_boyz
11048	58	wh_main_grn_inf_black_orcs	wh_main_grn_inf_black_orcs
11050	89	wh_main_grn_inf_goblin_archers	wh_main_grn_inf_goblin_archers
11060	92	wh_main_grn_inf_goblin_spearmen	wh_main_grn_inf_goblin_spearmen
11069	84	wh_main_grn_inf_night_goblin_archers	wh_main_grn_inf_night_goblin_archers
11077	86	wh_main_grn_inf_night_goblin_fanatics	wh_main_grn_inf_night_goblin_fanatics
11082	88	wh_main_grn_inf_night_goblins	wh_main_grn_inf_night_goblins
11087	84	wh_main_grn_inf_orc_arrer_boyz	wh_main_grn_inf_orc_arrer_boyz
