army_special_abilities_tables	2
army_special_ability	unit_special_ability	unique_id	enables_siege_assault
wh2_dlc09_army_abilities_barrage_of_the_legion	wh2_dlc09_army_abilities_barrage_of_the_legion	1665673474	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_army_abilities_realm_of_souls_ushabti	29622168	false
wh2_dlc09_army_abilities_rictus_clanstone	wh2_dlc09_army_abilities_rictus_clanstone	1441154358	false
wh2_dlc09_army_abilities_sand_veil	wh2_dlc09_army_abilities_sand_veil	401276912	false
wh2_dlc09_army_abilities_tomb_swarm	wh2_dlc09_army_abilities_tomb_swarm	178775093	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	1727003775	false
wh2_dlc11_army_abilities_norse_roar	wh2_dlc11_army_abilities_norse_roar	1721495792	true
wh2_dlc11_army_abilities_rod_of_the_storm	wh2_dlc11_army_abilities_rod_of_the_storm	167696279	false
wh2_dlc11_army_abilities_sartosa_grapeshot	wh2_dlc11_army_abilities_sartosa_grapeshot	624201190	true
wh2_dlc11_army_abilities_shanty_verse_1	wh2_dlc11_army_abilities_shanty_verse_1	1866479082	false
wh2_dlc11_army_abilities_shanty_verse_1_ai	wh2_dlc11_army_abilities_shanty_verse_1_ai	712388538	false
wh2_dlc11_army_abilities_shanty_verse_2	wh2_dlc11_army_abilities_shanty_verse_2	1177509027	false
wh2_dlc11_army_abilities_shanty_verse_2_ai	wh2_dlc11_army_abilities_shanty_verse_2_ai	1133713573	false
wh2_dlc11_army_abilities_shanty_verse_3	wh2_dlc11_army_abilities_shanty_verse_3	246812882	false
wh2_dlc11_army_abilities_shanty_verse_3_ai	wh2_dlc11_army_abilities_shanty_verse_3_ai	2142369433	false
wh2_dlc11_army_abilities_wraith_storm	wh2_dlc11_army_abilities_wraith_storm	1607073629	false
wh2_dlc11_army_abilities_zhufbar_42_pounders	wh2_dlc11_army_abilities_zhufbar_42_pounders	493458635	false
wh2_dlc11_quest_battle_supply	wh2_dlc11_quest_battle_supply	198830335	false
wh2_main_army_abilities_bloodwrack_cauldron	wh2_main_army_abilities_bloodwrack_cauldron	76	false
wh2_main_army_abilities_bolt_of_spite	wh2_main_army_abilities_bolt_of_spite	84	false
wh2_main_army_abilities_brazen_cauldron	wh2_main_army_abilities_brazen_cauldron	62	false
wh2_main_army_abilities_channeling_spire	wh2_main_army_abilities_channeling_spire	211770093	false
wh2_main_army_abilities_dark_conduit	wh2_main_army_abilities_dark_conduit	487601050	false
wh2_main_army_abilities_eagle_sanctuary	wh2_main_army_abilities_eagle_sanctuary	41480480	false
wh2_main_army_abilities_eshin_clanstone	wh2_main_army_abilities_eshin_clanstone	16556503	false
wh2_main_army_abilities_feral_cold_ones	wh2_main_army_abilities_feral_cold_ones	889702284	false
wh2_main_army_abilities_geomantic_nexus	wh2_main_army_abilities_geomantic_nexus	1945700588	false
wh2_main_army_abilities_heal_splosion	wh2_main_army_abilities_vortic_enrichment	1701168890	false
wh2_main_army_abilities_holy_stela	wh2_main_army_abilities_holy_stela	504788177	false
wh2_main_army_abilities_khaines_flail	wh2_main_army_abilities_khaines_flail	53	false
wh2_main_army_abilities_khaines_lash	wh2_main_army_abilities_khaines_lash	30	false
wh2_main_army_abilities_khaines_scourge	wh2_main_army_abilities_khaines_scourge	64	false
wh2_main_army_abilities_lure_of_the_pale_queen	wh2_main_army_abilities_lure_of_the_pale_queen	411757914	false
wh2_main_army_abilities_mors_clanstone	wh2_main_army_abilities_mors_clanstone	817573956	false
wh2_main_army_abilities_moulder_clanstone	wh2_main_army_abilities_moulder_clanstone	1346584156	false
wh2_main_army_abilities_pestilens_clanstone	wh2_main_army_abilities_pestilens_clanstone	488546543	false
wh2_main_army_abilities_shadows_of_anlec	wh2_main_army_abilities_shadows_of_anlec	29071372	false
wh2_main_army_abilities_skaven_bomb	wh2_main_army_abilities_vortic_blast	2066870953	false
wh2_main_army_abilities_sky_cauldron	wh2_main_army_abilities_sky_cauldron	46	false
wh2_main_army_abilities_skyre_clanstone	wh2_main_army_abilities_skyre_clanstone	1671267645	false
wh2_main_army_abilities_soul_rain	wh2_main_army_abilities_soul_rain	36	false
wh2_main_army_abilities_soul_storm	wh2_main_army_abilities_soul_storm	71	false
wh2_main_army_abilities_soul_torrent	wh2_main_army_abilities_soul_torrent	55	false
wh2_main_army_abilities_temple_of_mists	wh2_main_army_abilities_temple_of_mists	1555958348	false
wh2_main_army_abilities_the_menace_below	wh2_main_army_abilities_the_menace_below	749510796	false
wh2_main_army_abilities_vauls_hammer	wh2_main_army_abilities_vauls_hammer	1341892182	true
wh2_main_army_abilities_warpbomb	wh2_main_army_abilities_warpbomb	11739743	false
