audio_ability_phases_tables	1
group_sound	key	max_distance	start_event	stop_event	use_reverb	switch	looping_group_sound
	wh2_ability_unholy_clamour	300	Battle_IND_Magic_Ability_Unholy_Clamour		true		false
wh2_dlc09_ability_curse_of_djaf_group	wh2_dlc09_ability_curse_of_djaf	300			true		true
	wh2_dlc09_ability_liber_mortis	300	IND_Magic_Liber_Mortis_One_Shot		true		false
	wh2_dlc09_ability_sand_veil_one_shot	300	IND_Magic_Sand_Veil_One_Shot		true		false
wh2_dlc09_ability_tmb_negative_group	wh2_dlc09_ability_tmb_negative	300			true		true
	wh2_dlc09_ability_tmb_negative_banner	300	IND_Magic_Generic_Tomb_Kings_Debuff_Loop_Start	IND_Magic_Generic_Tomb_Kings_Debuff_Loop_Stop	true		false
wh2_dlc09_ability_tmb_positive_group	wh2_dlc09_ability_tmb_positive	300			true		true
	wh2_dlc09_ability_tmb_positive_banner	300	IND_Magic_Generic_Tomb_Kings_Buff_Loop_Start	IND_Magic_Generic_Tomb_Kings_Buff_Loop_Stop	true		false
wh2_dlc10_abyssal_howl	wh2_dlc10_ability_abyssal_howl	500			true		false
wh2_dlc10_ability_fear_of_aramar_group	wh2_dlc10_ability_fear_of_aramar	300			true		true
	wh2_dlc10_ability_mislead_caster	500	Battle_IND_Ability_Mislead_Caster_Start	Battle_IND_Ability_Mislead_Caster_Stop	true		false
	wh2_dlc10_lord_abilities_horn_of_the_ancestors	500	Battle_IND_Ability_Horn_Of_The_Ancestors_Start		true		false
	wh2_dlc10_lord_passive_blood_frenzy_1	500	Battle_IND_Ability_Blood_Frenzy_Start_Loop_01	Battle_IND_Ability_Blood_Frenzy_Stop_Loop_01	true		false
	wh2_dlc10_lord_passive_blood_frenzy_2	500	Battle_IND_Ability_Blood_Frenzy_Start_Loop_02	Battle_IND_Ability_Blood_Frenzy_Stop_Loop_02	true		false
	wh2_dlc10_lord_passive_blood_frenzy_3	500	Battle_IND_Ability_Blood_Frenzy_Start_Loop_03	Battle_IND_Ability_Blood_Frenzy_Stop_Loop_03	true		false
wh2_dlc10_quest_abilitiy_insane_head	wh2_dlc10_quest_abilitiy_insane_head	500			true		true
	wh2_dlc11_ability_abandon_ship	400	Battle_IND_Magic_Abandon_Ship		true		false
wh2_dlc11_ability_cst_negative_group	wh2_dlc11_ability_cst_negative	300			true		true
wh2_dlc11_ability_cst_negative_aoe_group	wh2_dlc11_ability_cst_negative_aoe	300			true		true
wh2_dlc11_ability_cst_positive_group	wh2_dlc11_ability_cst_positive	300			true		true
wh2_dlc11_ability_cst_positive_aoe_group	wh2_dlc11_ability_cst_positive_aoe	300			true		true
wh2_dlc11_ability_enthrallment_debuff_group	wh2_dlc11_ability_enthrallment	300			true		true
wh2_dlc11_ability_fog_of_the_damned_debuff_group	wh2_dlc11_ability_fog_of_the_damned_debuff	300			true		true
