audio_battle_environment_loops_tables	2
can_weather_disable	event_start	event_stop	intensity_rtpc	make_rtpc_global	name	sample_distance	height_influence	height_scale	use_building_height	use_tree_height	always_play
true	Battle_Environment_Beastmen_Ambience_Play	Battle_Environment_Beastmen_Ambience_Stop		false	beastmen_ambience	100	false	1	false	false	false
true	Battle_Environment_Beastmen_Forest_Play	Battle_Environment_Beastmen_Forest_Stop	Generic_Forest_Percentage	false	beastmen_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Beastmen_Play	Battle_Environment_Element_Water_Lake_Beastmen_Stop	Generic_Water_Percentage	false	beastmen_lake	100	false	1	false	false	false
true	Battle_Environment_Cave_Ambience_Play	Battle_Environment_Cave_Ambience_Stop		false	cave_ambience	100	false	1	false	false	false
true	Battle_Environment_Cave_Forest_Play	Battle_Environment_Cave_Forest_Stop	Generic_Forest_Percentage	false	cave_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Cave_Play	Battle_Environment_Element_Water_Lake_Cave_Stop	Generic_Water_Percentage	false	cave_lake	150	false	1	false	false	false
false	Battle_Environment_Element_Wind_Cave_Play	Battle_Environment_Element_Wind_Cave_Stop	Battle_Wind_Intensity	false	cave_wind	100	true	166	false	false	true
true	Battle_Environment_chaos_Ambience_Play	Battle_Environment_chaos_Ambience_Stop		false	chaos_ambience	100	false	1	false	false	false
true	Battle_Environment_chaos_Forest_Play	Battle_Environment_chaos_Forest_Stop	Generic_Forest_Percentage	false	chaos_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Chaos_Play	Battle_Environment_Element_Water_Lake_Chaos_Stop	Generic_Water_Percentage	false	chaos_lake	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Chaos_Play	Battle_Environment_Element_Wind_Chaos_Stop	Battle_Wind_Intensity	false	chaos_wind	100	true	166	false	false	true
true	Battle_Environment_Dark_Elves_Beach_Forest_Play	Battle_Environment_Dark_Elves_Beach_Forest_Stop	Generic_Forest_Percentage	false	dark_elves_beach_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Dark_Elves_Beach_Play	Battle_Environment_Element_Water_Lake_Dark_Elves_Beach_Stop	Generic_Water_Percentage	false	dark_elves_beach_lake	100	false	1	false	false	false
true	Battle_Environment_Dark_Elves_Beach_Primary_Play	Battle_Environment_Dark_Elves_Beach_Primary_Stop		false	dark_elves_beach_primary	100	false	1	false	false	false
true	Battle_Environment_Dark_Elves_Beach_Secondary_Play	Battle_Environment_Dark_Elves_Beach_Secondary_Stop		false	dark_elves_beach_secondary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Dark_Elves_Beach_Play	Battle_Environment_Element_Wind_Dark_Elves_Beach_Stop	Battle_Wind_Intensity	false	dark_elves_beach_wind	100	true	166	false	false	true
true	Battle_Environment_Dark_Elves_Cold_Forest_Play	Battle_Environment_Dark_Elves_Cold_Forest_Stop	Generic_Forest_Percentage	false	dark_elves_cold_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Dark_Elves_Cold_Play	Battle_Environment_Element_Water_Lake_Dark_Elves_Cold_Stop	Generic_Water_Percentage	false	dark_elves_cold_lake	100	false	1	false	false	false
true	Battle_Environment_Dark_Elves_Cold_Primary_Play	Battle_Environment_Dark_Elves_Cold_Primary_Stop		false	dark_elves_cold_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Dark_Elves_Cold_Play	Battle_Environment_Element_Wind_Dark_Elves_Cold_Stop	Battle_Wind_Intensity	false	dark_elves_cold_wind	100	true	166	false	false	true
true	Battle_Environment_Dark_Elves_Desert_Forest_Play	Battle_Environment_Dark_Elves_Desert_Forest_Stop	Generic_Forest_Percentage	false	dark_elves_desert_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Dark_Elves_Desert_Play	Battle_Environment_Element_Water_Lake_Dark_Elves_Desert_Stop	Generic_Water_Percentage	false	dark_elves_desert_lake	100	false	1	false	false	false
true	Battle_Environment_Dark_Elves_Desert_Primary_Play	Battle_Environment_Dark_Elves_Desert_Primary_Stop		false	dark_elves_desert_primary	100	false	1	false	false	false
false	Battle_Environment_Element_Wind_Dark_Elves_Desert_Play	Battle_Environment_Element_Wind_Dark_Elves_Desert_Stop	Battle_Wind_Intensity	false	dark_elves_desert_wind	100	true	166	false	false	true
true	Battle_Environment_Dark_Elves_Hills_Forest_Play	Battle_Environment_Dark_Elves_Hills_Forest_Stop	Generic_Forest_Percentage	false	dark_elves_hills_forest	150	false	1	false	false	false
false	Battle_Environment_Element_Water_Lake_Dark_Elves_Hills_Play	Battle_Environment_Element_Water_Lake_Dark_Elves_Hills_Stop	Generic_Water_Percentage	false	dark_elves_hills_lake	100	false	1	false	false	false
true	Battle_Environment_Dark_Elves_Hills_Primary_Play	Battle_Environment_Dark_Elves_Hills_Primary_Stop		false	dark_elves_hills_primary	100	false	1	false	false	false
