audio_battle_environment_one_shots_tables	1
can_weather_disable	event	max_distance	max_height	max_time	min_distance	min_height	min_time	name	required_intensity	probability
true	Battle_Environment_Beastmen_Wildlife_One_Shot	60	40	6	20	10	3	beastmen_wildlife	0.2	1
true	Battle_Environment_Cave_Nature_One_Shot	40	30	10	20	1	7	cave_nature_one_shots	0.4	1
true	Battle_Environment_Cave_Wildlife_One_Shot	60	40	9	20	10	6	cave_wildlife	0.2	1
true	Battle_Environment_Chaos_Wildlife_One_Shot	60	40	9	20	10	6	chaos_wildlife	0.2	1
true	Battle_Environment_Dark_Elves_Beach_Forest_Nature_One_Shot	40	40	4	20	5	2	dark_elves_beach_forest_nature_one_shots	0.4	1
true	Battle_Environment_Dark_Elves_Beach_Forest_Wildlife_One_Shot_Birds	40	50	4	20	1	2	dark_elves_beach_forest_wildlife_birds	0.4	1
true	Battle_Environment_Dark_Elves_Beach_Forest_Wildlife_One_Shot_Distant	40	50	4	20	1	2	dark_elves_beach_forest_wildlife_distant	0.4	1
true	Battle_Environment_Dark_Elves_Beach_Forest_Wildlife_One_Shot_Insects	40	30	3	20	1	1	dark_elves_beach_forest_wildlife_insects	0.4	1
true	Battle_Environment_Dark_Elves_Beach_Forest_Wildlife_One_Shot_Mammals	40	40	2	20	1	1	dark_elves_beach_forest_wildlife_mammals	0.4	1
true	Battle_Environment_Dark_Elves_Beach_Primary_Wildlife_One_Shot_Birds	100	40	10	20	10	5	dark_elves_beach_primary_wildlife_birds	0.2	1
true	Battle_Environment_Dark_Elves_Beach_Primary_Wildlife_One_Shot_Insect	60	40	6	20	10	3	dark_elves_beach_primary_wildlife_insects	0.2	1
true	Battle_Environment_Dark_Elves_Cold_Forest_Nature_One_Shot	40	40	4	20	5	2	dark_elves_cold_forest_nature_one_shots	0.4	1
true	Battle_Environment_Dark_Elves_Cold_Forest_Wildlife_One_Shot_Birds	60	40	15	20	10	10	dark_elves_cold_forest_wildlife_birds	0.2	1
true	Battle_Environment_Dark_Elves_Cold_Forest_Wildlife_One_Shot_Close	40	40	15	20	10	10	dark_elves_cold_forest_wildlife_close	0.2	1
true	Battle_Environment_Dark_Elves_Cold_Forest_Wildlife_One_Shot_Mammals	60	40	15	20	10	10	dark_elves_cold_forest_wildlife_mammals	0.2	1
true	Battle_Environment_Dark_Elves_Cold_Primary_Nature_One_Shot_01	40	30	15	20	1	10	dark_elves_cold_primary_nature_one_shots_01	0.4	1
false	Battle_Environment_Dark_Elves_Cold_Primary_Nature_One_Shot_02	40	30	10	20	1	5	dark_elves_cold_primary_nature_one_shots_02	0.4	1
true	Battle_Environment_Dark_Elves_Cold_Primary_Wildlife_One_Shot_Birds	60	40	15	20	10	10	dark_elves_cold_primary_wildlife_birds	0.2	1
true	Battle_Environment_Dark_Elves_Cold_Primary_Wildlife_One_Shot_Mammals	60	40	15	20	10	10	dark_elves_cold_primary_wildlife_mammals	0.2	1
true	Battle_Environment_Dark_Elves_Desert_Forest_Nature_One_Shot	40	40	15	20	1	10	dark_elves_desert_forest_nature_one_shots	0.4	1
true	Battle_Environment_Dark_Elves_Desert_Forest_Wildlife_One_Shot_Birds	40	50	15	20	1	10	dark_elves_desert_forest_wildlife_birds	0.4	1
true	Battle_Environment_Dark_Elves_Desert_Forest_Wildlife_One_Shot_Insects	40	30	15	20	1	10	dark_elves_desert_forest_wildlife_insects	0.4	1
true	Battle_Environment_Dark_Elves_Desert_Forest_Wildlife_One_Shot_Mammals	40	40	15	20	1	10	dark_elves_desert_forest_wildlife_mammals	0.4	1
true	Battle_Environment_Dark_Elves_Desert_Primary_Nature_One_Shot	40	30	10	20	1	4	dark_elves_desert_primary_nature_one_shots	0.4	1
true	Battle_Environment_Dark_Elves_Desert_Primary_Wildlife_One_Shot_Birds	40	40	15	20	10	10	dark_elves_desert_primary_wildlife_birds	0.2	1
true	Battle_Environment_Dark_Elves_Desert_Primary_Wildlife_One_Shot_Insects	40	30	15	20	1	10	dark_elves_desert_primary_wildlife_insects	0.2	1
true	Battle_Environment_Dark_Elves_Desert_Primary_Wildlife_One_Shot_Mammals	40	40	15	20	10	10	dark_elves_desert_primary_wildlife_mammals	0.2	1
true	Battle_Environment_Dark_Elves_Hills_Forest_Nature_One_Shot	40	40	4	20	5	2	dark_elves_hills_forest_nature_one_shots	0.4	1
