audio_battle_environments_tables	1
global_water_rtpc	is_default	name	global_plains_rtpc	global_forest_rtpc	global_urban_rtpc
Generic_Water_Percentage	false	beastmen		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	cave		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	chaos		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dark_elves_beach		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dark_elves_cold		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dark_elves_desert		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dark_elves_hills		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dark_elves_marsh		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dark_elves_qb_altar_of_darkness		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dark_elves_volcanic		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc10_dark_elves_qb_shrine_of_khaine		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc10_dark_elves_qb_the_moonbow		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc10_high_elves_qb_shadow_realm		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc10_high_elves_qb_star_of_avelorn		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc11_coast_desert_island		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc11_coast_final_battle		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc11_coast_galleons_graveyard		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc11_coast_rocky_island		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dlc11_coast_snowy_island		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	dwarf		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	true	empire		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	greenskin		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	high_elves_beach		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	high_elves_hills		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	high_elves_mwnl_steps_of_isha_01		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	high_elves_mwnl_steps_of_isha_02		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	high_elves_mwnl_steps_of_isha_03		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	high_elves_mwnl_steps_of_isha_04		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	high_elves_qb_arnheim		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	high_elves_qb_tower_of_hoeth		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	lizardmen_jungle		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	lizardmen_mountain		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	lizardmen_qb_crimson_skull		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	lizardmen_qb_fallen_gates		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	lizardmen_qb_mosquito_swamp		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	lizardmen_swamp		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	nordic		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	skaven_cavern		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	skaven_desert		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	skaven_marsh		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	tomb_kings_cavern		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	tomb_kings_desert		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	tomb_kings_qb_final_battle		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	tomb_kings_qb_staff_of_nagash		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	vampire		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	wood_elves_autumn		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	wood_elves_generic		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	wood_elves_night		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	false	wood_elves_winter		Generic_Forest_Percentage	Generic_Urban_Percentage
