audio_campaign_buildings_tables	0
key	ambience_start_event	ambience_stop_event	ambience_only_play_if_primary	ambience_only_play_if_port	one_shot_event	one_shot_min_time	one_shot_max_time	one_shot_only_play_if_primary	one_shot_only_play_if_port	selected_event
wh2_cam_settlement_capital_darkelves	Campaign_Environment_Dark_Elves_Settlement_Capital_Play	Campaign_Environment_Dark_Elves_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Dark_Elves_Settlement_Capital_Selection_Play
wh2_cam_settlement_capital_highelves	Campaign_Environment_High_Elves_Settlement_Capital_Play	Campaign_Environment_High_Elves_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_High_Elves_Settlement_Capital_Selection_Play
wh2_cam_settlement_capital_lizardmen	Campaign_Environment_Lizardmen_Settlement_Capital_Play	Campaign_Environment_Lizardmen_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Lizardmen_Settlement_Capital_Selection_Play
wh2_cam_settlement_capital_savage	Campaign_Environment_Greenskin_Settlement_Capital_Play	Campaign_Environment_Greenskin_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Greenskin_Settlement_Selection
wh2_cam_settlement_capital_skaven	Campaign_Environment_Skaven_Settlement_Capital_Play	Campaign_Environment_Skaven_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Skaven_Settlement_Capital_Selection_Play
wh2_cam_settlement_capital_tombkings	Campaign_Environment_Tomb_Kings_Settlement_Capital_Play	Campaign_Environment_Tomb_Kings_Settlement_Capital_Stop	true	false		2	4	true	true	Campaign_Environment_Tomb_Kings_Settlement_Capital_Selection_Play
wh2_cam_settlement_major_generic	Campaign_Environment_Generic_Settlement_Loop_Play	Campaign_Environment_Generic_Settlement_Loop_Stop	true	true		2	4	true	true	Campaign_Environment_Generic_Settlement_Selection
wh2_cam_settlement_major_tombkings	Campaign_Environment_Tomb_Kings_Settlement_Major_Play	Campaign_Environment_Tomb_Kings_Settlement_Major_Stop	true	false		2	4	true	true	Campaign_Environment_Tomb_Kings_Settlement_Major_Selection_Play
wh2_cam_settlement_minor_tombkings	Campaign_Environment_Tomb_Kings_Settlement_Minor_Play	Campaign_Environment_Tomb_Kings_Settlement_Minor_Stop	true	false		2	4	true	true	Campaign_Environment_Tomb_Kings_Settlement_Minor_Selection_Play
wh2_cam_settlement_pyramid_of_nagash_floating_tombkings	Campaign_Environment_Tomb_Kings_Settlement_Black_Pyramid_Play	Campaign_Environment_Tomb_Kings_Settlement_Black_Pyramid_Stop	true	false		2	4	true	true	Campaign_Environment_Tomb_Kings_Settlement_Capital_Selection_Play
wh2_dlc11_cam_settlement_capital_ruin_vampire_coast	Campaign_Environment_Vampire_Coast_Settlement_Capital_Ruin_Play	Campaign_Environment_Vampire_Coast_Settlement_Capital_Ruin_Stop	true	false		2	4	true	true	Campaign_Environment_Vampire_Coast_Settlement_Selection
wh2_dlc11_cam_settlement_capital_vampire_coast	Campaign_Environment_Vampire_Coast_Settlement_Capital_Play	Campaign_Environment_Vampire_Coast_Settlement_Capital_Stop	true	false		2	4	true	true	Campaign_Environment_Vampire_Coast_Settlement_Selection
wh2_dlc11_cam_settlement_galleons_graveyard_vampire_coast	Campaign_Environment_Vampire_Coast_Settlement_Galleons_Graveyard_Play	Campaign_Environment_Vampire_Coast_Settlement_Galleons_Graveyard_Stop	true	false		2	4	true	true	Campaign_Environment_Vampire_Coast_Settlement_Selection
wh2_dlc11_cam_settlement_major_vampire_coast	Campaign_Environment_Vampire_Coast_Settlement_Major_Play	Campaign_Environment_Vampire_Coast_Settlement_Major_Stop	false	false		2	4	true	true	Campaign_Environment_Vampire_Coast_Settlement_Selection
wh2_dlc11_cam_settlement_minor_vampire_coast	Campaign_Environment_Vampire_Coast_Settlement_Minor_Play	Campaign_Environment_Vampire_Coast_Settlement_Minor_Stop	false	false		2	4	true	true	Campaign_Environment_Vampire_Coast_Settlement_Selection
wh2_dlc12_cam_settlement_nuclear_ruin	Campaign_Environment_Generic_Ruin_Settlement_Nuclear_Loop_Play	Campaign_Environment_Generic_Ruin_Settlement_Nuclear_Loop_Stop	true	true		2	4	true	true	Campaign_Environment_Generic_Ruin_Settlement_Selection
wh_cam_resource_farming			true	true		2	4	true	true	
wh_cam_resource_lumber_mill			true	true		2	4	true	true	
wh_cam_resource_mining			true	true		2	4	true	true	
wh_cam_resource_quarry			true	true		2	4	true	true	
wh_cam_resource_vineyard			true	true		2	4	true	true	
wh_cam_resource_worshop			true	true		2	4	true	true	
wh_cam_settlement_capital_bretonnia	Campaign_Environment_Bretonnia_Settlement_Capital_Play	Campaign_Environment_Bretonnia_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Bretonnia_Settlement_Selection
wh_cam_settlement_capital_chaos	Campaign_Environment_Chaos_Settlement_Capital_Play	Campaign_Environment_Chaos_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Chaos_Settlement_Selection
wh_cam_settlement_capital_dwarf	Campaign_Environment_Dwarf_Settlement_Capital_Play	Campaign_Environment_Dwarf_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Dwarf_Settlement_Selection
wh_cam_settlement_capital_empire	Campaign_Environment_Empire_Settlement_Capital_Play	Campaign_Environment_Empire_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Empire_Settlement_Selection
wh_cam_settlement_capital_greenskin	Campaign_Environment_Greenskin_Settlement_Capital_Play	Campaign_Environment_Greenskin_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_capital_nordic	Campaign_Environment_Nordic_Settlement_Capital_Play	Campaign_Environment_Nordic_Settlement_Capital_Stop	true	false		2	4	true	true	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_capital_rogue	Campaign_Environment_Greenskin_Settlement_Capital_Play	Campaign_Environment_Greenskin_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_capital_vampire	Campaign_Environment_Vampire_Settlement_Capital_Play	Campaign_Environment_Vampire_Settlement_Capital_Stop	true	true		2	4	true	true	Campaign_Environment_Vampire_Settlement_Selection
wh_cam_settlement_darkelves_port	Campaign_Environment_Dark_Elves_Settlement_Port_Play	Campaign_Environment_Dark_Elves_Settlement_Port_Stop	true	true		2	4	true	true	Campaign_Environment_Dark_Elves_Settlement_Port_Selection_Play
wh_cam_settlement_generic_port	Campaign_Environment_Generic_Port_Settlement_Loop_Play	Campaign_Environment_Generic_Port_Settlement_Loop_Stop	true	true		2	4	true	true	Campaign_Environment_Generic_Port_Settlement_Selection
wh_cam_settlement_generic_ruin	Campaign_Environment_Generic_Ruin_Settlement_Loop_Play	Campaign_Environment_Generic_Ruin_Settlement_Loop_Stop	true	true		2	4	true	true	Campaign_Environment_Generic_Ruin_Settlement_Selection
wh_cam_settlement_highelves_port	Campaign_Environment_High_Elves_Settlement_Port_Play	Campaign_Environment_High_Elves_Settlement_Port_Stop	true	true		2	4	true	true	Campaign_Environment_High_Elves_Settlement_Port_Selection_Play
wh_cam_settlement_lizardmen_port	Campaign_Environment_Lizardmen_Settlement_Port_Play	Campaign_Environment_Lizardmen_Settlement_Port_Stop	true	true		2	4	true	true	Campaign_Environment_Lizardmen_Settlement_Port_Selection_Play
wh_cam_settlement_major_bretonnia	Campaign_Environment_Bretonnia_Settlement_Major_Play	Campaign_Environment_Bretonnia_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Bretonnia_Settlement_Selection
wh_cam_settlement_major_chaos	Campaign_Environment_Chaos_Settlement_Major_Play	Campaign_Environment_Chaos_Settlement_Major_Stop	true	true		2	4	true	true	Campaign_Environment_Chaos_Settlement_Selection
