audio_campaign_environment_ground_type_sound_assignments_tables	0
map	sound
warhammer_map_1_1_norsca	generic_desert
warhammer_map_1_1_norsca	generic_sea
warhammer_map_1_1_tomb_kings	generic_desert
warhammer_map_1_1_tomb_kings	generic_sea
warhammer_map_1_1_vampire_coast	generic_desert
warhammer_map_1_1_vampire_coast	generic_sea
warhammer_map_1_1_wood_elves	generic_desert
warhammer_map_1_1_wood_elves	generic_sea
wh2_main_great_vortex_map_1	generic_desert
wh2_main_great_vortex_map_1	generic_sea
wh2_main_great_vortex_map_2	generic_desert
wh2_main_great_vortex_map_2	generic_sea
wh2_main_great_vortex_map_3	generic_desert
wh2_main_great_vortex_map_3	generic_sea
wh2_main_great_vortex_map_4	generic_desert
wh2_main_great_vortex_map_4	generic_sea
wh2_main_great_vortex_map_5	generic_desert
wh2_main_great_vortex_map_5	generic_sea
