audio_campaign_environment_static_sounds_tables	0
looping_sound	map
chaos_ambience	warhammer_map_1_1_norsca
darkelves_ambience	warhammer_map_1_1_norsca
generic_shroud	warhammer_map_1_1_norsca
generic_wind	warhammer_map_1_1_norsca
chaos_ambience	warhammer_map_1_1_tomb_kings
darkelves_ambience	warhammer_map_1_1_tomb_kings
generic_shroud	warhammer_map_1_1_tomb_kings
generic_wind	warhammer_map_1_1_tomb_kings
chaos_ambience	warhammer_map_1_1_vampire_coast
darkelves_ambience	warhammer_map_1_1_vampire_coast
generic_shroud	warhammer_map_1_1_vampire_coast
generic_wind	warhammer_map_1_1_vampire_coast
chaos_ambience	warhammer_map_1_1_wood_elves
darkelves_ambience	warhammer_map_1_1_wood_elves
generic_shroud	warhammer_map_1_1_wood_elves
generic_wind	warhammer_map_1_1_wood_elves
chaos_ambience	wh2_main_great_vortex_map_1
generic_shroud	wh2_main_great_vortex_map_1
generic_wind	wh2_main_great_vortex_map_1
chaos_ambience	wh2_main_great_vortex_map_2
generic_shroud	wh2_main_great_vortex_map_2
generic_wind	wh2_main_great_vortex_map_2
chaos_ambience	wh2_main_great_vortex_map_3
darkelves_ambience	wh2_main_great_vortex_map_3
generic_shroud	wh2_main_great_vortex_map_3
generic_wind	wh2_main_great_vortex_map_3
chaos_ambience	wh2_main_great_vortex_map_4
darkelves_ambience	wh2_main_great_vortex_map_4
generic_shroud	wh2_main_great_vortex_map_4
generic_wind	wh2_main_great_vortex_map_4
chaos_ambience	wh2_main_great_vortex_map_5
darkelves_ambience	wh2_main_great_vortex_map_5
generic_shroud	wh2_main_great_vortex_map_5
generic_wind	wh2_main_great_vortex_map_5
