audio_campaign_environment_tree_sound_assignments_tables	0
map	sound
warhammer_map_1_1_norsca	beastmen_forest
warhammer_map_1_1_norsca	bretonnia_forest
warhammer_map_1_1_norsca	chaos_forest
warhammer_map_1_1_norsca	dark_elves_forest
warhammer_map_1_1_norsca	dwarf_forest
warhammer_map_1_1_norsca	empire_forest
warhammer_map_1_1_norsca	generic_forest
warhammer_map_1_1_norsca	greenskin_forest
warhammer_map_1_1_norsca	high_elves_forest
warhammer_map_1_1_norsca	lizardmen_forest
warhammer_map_1_1_norsca	nordic_forest
warhammer_map_1_1_norsca	skaven_forest
warhammer_map_1_1_norsca	tombkings_forest
warhammer_map_1_1_norsca	vampire_forest
warhammer_map_1_1_norsca	wood_elves_forest_autumn
warhammer_map_1_1_norsca	wood_elves_forest_generic
warhammer_map_1_1_norsca	wood_elves_forest_winter
warhammer_map_1_1_tomb_kings	beastmen_forest
warhammer_map_1_1_tomb_kings	bretonnia_forest
warhammer_map_1_1_tomb_kings	chaos_forest
warhammer_map_1_1_tomb_kings	dark_elves_forest
warhammer_map_1_1_tomb_kings	dwarf_forest
warhammer_map_1_1_tomb_kings	empire_forest
warhammer_map_1_1_tomb_kings	generic_forest
warhammer_map_1_1_tomb_kings	greenskin_forest
warhammer_map_1_1_tomb_kings	high_elves_forest
warhammer_map_1_1_tomb_kings	lizardmen_forest
warhammer_map_1_1_tomb_kings	nordic_forest
warhammer_map_1_1_tomb_kings	skaven_forest
warhammer_map_1_1_tomb_kings	tombkings_forest
warhammer_map_1_1_tomb_kings	vampire_forest
warhammer_map_1_1_tomb_kings	wood_elves_forest_autumn
warhammer_map_1_1_tomb_kings	wood_elves_forest_generic
warhammer_map_1_1_tomb_kings	wood_elves_forest_winter
warhammer_map_1_1_vampire_coast	beastmen_forest
warhammer_map_1_1_vampire_coast	bretonnia_forest
warhammer_map_1_1_vampire_coast	chaos_forest
warhammer_map_1_1_vampire_coast	dark_elves_forest
warhammer_map_1_1_vampire_coast	dwarf_forest
warhammer_map_1_1_vampire_coast	empire_forest
warhammer_map_1_1_vampire_coast	generic_forest
warhammer_map_1_1_vampire_coast	greenskin_forest
warhammer_map_1_1_vampire_coast	high_elves_forest
warhammer_map_1_1_vampire_coast	lizardmen_forest
warhammer_map_1_1_vampire_coast	nordic_forest
warhammer_map_1_1_vampire_coast	skaven_forest
warhammer_map_1_1_vampire_coast	tombkings_forest
warhammer_map_1_1_vampire_coast	vampire_forest
warhammer_map_1_1_vampire_coast	wood_elves_forest_autumn
warhammer_map_1_1_vampire_coast	wood_elves_forest_generic
warhammer_map_1_1_vampire_coast	wood_elves_forest_winter
warhammer_map_1_1_wood_elves	beastmen_forest
warhammer_map_1_1_wood_elves	bretonnia_forest
warhammer_map_1_1_wood_elves	chaos_forest
warhammer_map_1_1_wood_elves	dark_elves_forest
warhammer_map_1_1_wood_elves	dwarf_forest
warhammer_map_1_1_wood_elves	empire_forest
warhammer_map_1_1_wood_elves	generic_forest
warhammer_map_1_1_wood_elves	greenskin_forest
warhammer_map_1_1_wood_elves	high_elves_forest
warhammer_map_1_1_wood_elves	lizardmen_forest
warhammer_map_1_1_wood_elves	nordic_forest
warhammer_map_1_1_wood_elves	skaven_forest
warhammer_map_1_1_wood_elves	tombkings_forest
warhammer_map_1_1_wood_elves	vampire_forest
