audio_campaign_environment_tree_sounds_tables	0
grouping_size	key	required_intensity	sample_range
6	beastmen_forest	300	32
6	bretonnia_forest	300	32
6	chaos_forest	300	32
6	dark_elves_forest	1	32
6	dwarf_forest	300	32
6	empire_forest	300	32
6	generic_forest	8	32
6	greenskin_forest	300	32
6	high_elves_forest	1	32
6	lizardmen_forest	1	32
6	nordic_forest	300	32
6	skaven_forest	1	32
6	tombkings_forest	8	32
6	vampire_forest	300	32
6	wood_elves_forest_autumn	300	32
6	wood_elves_forest_generic	300	32
6	wood_elves_forest_winter	300	32
