audio_entity_actors_tables	0
actor_switch	key	number_of_actors
Generic_Actor_Elf_Female_Dark_Default	wh2_def_elf_female_default	14
Generic_Actor_Elf_Male_Dark_Default	wh2_def_elf_male_default	10
Generic_Actor_Damned_Knights	wh2_dlc11_cst_damned_knights	5
Generic_Actor_Syreens	wh2_dlc11_cst_syreens	3
Generic_Actor_cst_zombie	wh2_dlc11_cst_zombie	4
Generic_Actor_Depth_Guard	wh2_dlc11_depth_guard	3
Generic_Actor_Animated_Hulk	wh2_dlc_cst_animated_hulk	3
Generic_Actor_tmb_Liche_Priest	wh2_dlc_tmb_liche_priest	2
Generic_Actor_tmb_Necrotect	wh2_dlc_tmb_necrotect	2
Generic_Actor_tmb_Tomb_King	wh2_dlc_tmb_tomb_king	2
Generic_Actor_tmb_Tomb_Prince	wh2_dlc_tmb_tomb_prince	2
Generic_Actor_Elf_Female_High_Default	wh2_hef_elf_female_default	11
Generic_Actor_Elf_Male_High_Default	wh2_hef_elf_male_default	13
Generic_Actor_Rat_Ogre	wh2_rat_ogre	3
Generic_Actor_Saurus	wh2_saurus	2
Generic_Actor_Skaven	wh2_skaven	7
Generic_Actor_Skaven_Assassin	wh2_skaven_assassin	2
Generic_Actor_Skaven_Grey_Seer	wh2_skaven_grey_seer	2
Generic_Actor_Skaven_Plague_Priests	wh2_skaven_plague_priests	2
Generic_Actor_Skaven_Warlock	wh2_skaven_warlock	2
Generic_Actor_Skaven_Warlord	wh2_skaven_warlord	2
Generic_Actor_Skinks	wh2_skinks	7
Generic_Actor_Slann	wh2_slann	2
Generic_Actor_Ushabti	wh2_tmb_ushabti	5
Generic_Actor_Chaos_Default	wh_chaos_default	5
Generic_Actor_Chaos_Marauder	wh_chaos_marauder	5
Generic_Actor_Chaos_Marauder_Chieftan	wh_chaos_marauder_chieftan	2
Generic_Actor_Chaos_Shaman_Sorcerer	wh_chaos_shaman_sorcerer	2
Generic_Actor_Dwarf_Default	wh_dwarf_default	5
Generic_Actor_Dwarf_Runesmith	wh_dwarf_runesmith	2
Generic_Actor_Elf_Female_WoodElves	wh_elf_female	5
Generic_Actor_Elf_Male_WoodElves	wh_elf_male	5
Generic_Actor_Goblin	wh_goblin	5
Generic_Actor_Human_Female	wh_human_female	5
Generic_Actor_Human_Male	wh_human_male	16
Generic_Actor_Necromancer_Male	wh_necromancer_male	3
Generic_Actor_Orc	wh_orc	10
Generic_Actor_Vampire_Female	wh_vampire_female	2
Generic_Actor_Vampire_Male	wh_vampire_male	2
Generic_Actor_Zombie	wh_zombie	5
