audio_entity_random_vocalisations_tables	3
event	key	max_time	min_time	use_reverb	use_obstruction	limitation_scale	min_probability	max_probability
Battle_Individual_Vocalisation_Salamander_Ancient_Running	wh2_ancient_salamander_running	10	5	true	false	0.1	100	20
Battle_Individual_Vocalisation_Salamander_Ancient_Walking	wh2_ancient_salamander_walking	12	5	true	false	0.2	100	20
Battle_Individual_Vocalisation_Cold_One_Running	wh2_cold_one_running	20	10	true	false	0.1	100	20
Battle_Individual_Vocalisation_Cold_One_Walking	wh2_cold_one_walking	20	10	true	false	0.2	100	20
Battle_Individual_Vocalisation_Cylostra_Idle	wh2_cst_cylostra_idle	15	8	true	false	0.5	100	100
Battle_Individual_Vocalisation_Depth_Guard_Fatigue	wh2_cst_depth_guard_fatigue	20	10	false	false	0.2	100	0
Battle_Individual_Vocalisation_Depth_Guard_Idle	wh2_cst_depth_guard_idle	20	10	false	false	0.050000004	100	0
Battle_Individual_Vocalisation_Depth_Guard_Running	wh2_cst_depth_guard_running	20	10	false	false	0.1	100	0
Battle_Individual_Vocalisation_Depth_Guard_Walking	wh2_cst_depth_guard_walking	20	10	false	false	0.1	100	0
Play_Battle_Individual_Vocalisation_FA_Female_Fatigue_Stop	wh2_cst_fleet_ad_female_fatigue	20	10	false	false	0.2	100	100
Play_Battle_Individual_Vocalisation_FA_Female_Idle	wh2_cst_fleet_ad_female_idle	20	10	false	false	0.050000004	100	100
Play_Battle_Individual_Vocalisation_FA_Female_Running	wh2_cst_fleet_ad_female_running	20	10	false	false	0.1	100	100
Play_Battle_Individual_Vocalisation_FA_Female_Walking	wh2_cst_fleet_ad_female_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_FA_Male_Fatigue_Stop	wh2_cst_fleet_ad_male_fatigue	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_FA_Male_Idle	wh2_cst_fleet_ad_male_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_FA_Male_Running	wh2_cst_fleet_ad_male_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_FA_Male_Walking	wh2_cst_fleet_ad_male_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Vampire_fleet_Captain_Fatigue_Stop	wh2_cst_fleet_captain_female_fatigue	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Vampire_fleet_Captain_Idle	wh2_cst_fleet_captain_female_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Vampire_fleet_Captain_Running	wh2_cst_fleet_captain_female_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Vampire_fleet_Captain_Walking	wh2_cst_fleet_captain_female_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Gunnery_Wight_Fatigue_Stop	wh2_cst_gunnery_wight_fatigue	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Gunnery_Wight_Idle	wh2_cst_gunnery_wight_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Gunnery_Wight_Running	wh2_cst_gunnery_wight_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Gunnery_Wight_Walking	wh2_cst_gunnery_wight_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Luthor_Harkon_Fatigue_Stop	wh2_cst_luthor_harkon_fatigue	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Luthor_Harkon_Idle	wh2_cst_luthor_harkon_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Luthor_Harkon_Running	wh2_cst_luthor_harkon_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Luthor_Harkon_Walking	wh2_cst_luthor_harkon_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_Dark_Default_Fatigue_Stop	wh2_def_elf_female_default_fatigue_stop	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_Dark_Default_Idle	wh2_def_elf_female_default_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_Dark_Default_Running	wh2_def_elf_female_default_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_Dark_Default_Walking	wh2_def_elf_female_default_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Default_Fatigue_Stop	wh2_def_elf_male_default_fatigue_stop	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Default_Idle	wh2_def_elf_male_default_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Default_Running	wh2_def_elf_male_default_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Default_Walking	wh2_def_elf_male_default_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Lokhir_Fatigue_Stop	wh2_def_elf_male_lokhir_fatigue_stop	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Lokhir_Idle	wh2_def_elf_male_lokhir_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Lokhir_Running	wh2_def_elf_male_lokhir_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Lokhir_Walking	wh2_def_elf_male_lokhir_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Malekith_Fatigue_Stop	wh2_def_elf_male_malekith_fatigue_stop	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Malekith_Idle	wh2_def_elf_male_malekith_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Malekith_Running	wh2_def_elf_male_malekith_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Malekith_Walking	wh2_def_elf_male_malekith_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Aranessa_Fatigue_Stop	wh2_dlc11_aranessa_fatigue_stop	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Aranessa_Idle	wh2_dlc11_aranessa_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Aranessa_Running	wh2_dlc11_aranessa_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Aranessa_Walking	wh2_dlc11_aranessa_walking	20	10	false	false	0.1	100	100
Battle_Individual_Foley_Bloated_Corpse_Flies_Start	wh2_dlc11_bloated_corpse_flies_idle	3	2	true	false	0	100	0
Battle_Individual_Vocalisation_Deck_Dropper_Bat_Idle	wh2_dlc11_cst_deck_dropper_bat_idle	30	7	true	false	0.5	100	25
Battle_Individual_Vocalisation_Deck_Dropper_Bat_Running	wh2_dlc11_cst_deck_dropper_bat_running	25	10	true	false	0.5	100	25
Battle_Individual_Vocalisation_Deck_Dropper_Bat_Walking	wh2_dlc11_cst_deck_dropper_bat_walking	30	10	true	false	0.5	100	25
Battle_Individual_Vocalisation_Mourngul_Running	wh2_dlc11_cst_mourngul_running	20	10	false	false	0.1	100	0
Battle_Individual_Vocalisation_Mourngul_Walking	wh2_dlc11_cst_mourngul_walking	20	10	false	false	0.1	100	0
Battle_Individual_Vocalisation_Syreen_Idle	wh2_dlc11_cst_syreens_idle	12	6	true	false	0.2	100	100
Battle_Individual_Vocalisation_Syreen_Moving	wh2_dlc11_cst_syreens_moving	12	6	true	false	0.2	100	100
Battle_Individual_Vocalisation_cst_zombie_Idle	wh2_dlc11_cst_zombie_idle	14	7	false	false	0.4	100	100
Battle_Individual_Vocalisation_cst_zombie_Moving	wh2_dlc11_cst_zombie_running	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_cst_zombie_Moving	wh2_dlc11_cst_zombie_walking	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Noctilus_Fatigue_Stop	wh2_dlc11_noctilus_fatigue	20	10	false	false	0.2	100	100
Battle_Individual_Vocalisation_Noctilus_Idle	wh2_dlc11_noctilus_idle	20	10	false	false	0.050000004	100	100
Battle_Individual_Vocalisation_Noctilus_Running	wh2_dlc11_noctilus_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Noctilus_Walking	wh2_dlc11_noctilus_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Ripperdactyl_Idle	wh2_dlc12_ripperdactyl_idle	20	10	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_Ripperdactyl_Idle_lh	wh2_dlc12_ripperdactyl_idle_lh	15	5	true	false	1	100	100
Battle_Individual_Vocalisation_Ripperdactyl_Running	wh2_dlc12_ripperdactyl_running	20	10	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_Ripperdactyl_Running_lh	wh2_dlc12_ripperdactyl_running_lh	15	5	true	false	1	100	100
Battle_Individual_Vocalisation_Ripperdactyl_Walking	wh2_dlc12_ripperdactyl_walking	20	10	true	false	0.050000004	100	100
Battle_Individual_Vocalisation_Ripperdactyl_Walking_lh	wh2_dlc12_ripperdactyl_walking_lh	15	5	true	false	1	100	100
Battle_Individual_Vocalisation_Tehenhauin_Idle	wh2_dlc12_tehenhauin_idle	20	10	true	false	0.1	100	100
Battle_Individual_Vocalisation_Tehenhauin_Running	wh2_dlc12_tehenhauin_running	4	2	true	false	0.1	100	100
Battle_Individual_Vocalisation_Tehenhauin_Walking	wh2_dlc12_tehenhauin_walking	4	2	true	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Ikit_Running	wh2_dlc_12_skaven_ikit_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Ikit_Walking	wh2_dlc_12_skaven_ikit_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Animated_Hulk_idle	wh2_dlc_cst_animated_hulk_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Animated_Hulk_Running	wh2_dlc_cst_animated_hulk_running	10	5	false	false	0.1	100	100
Battle_Individual_Vocalisation_Animated_Hulk_Walking	wh2_dlc_cst_animated_hulk_walking	10	5	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Tretch_Running	wh2_dlc_skaven_tretch_running	16	8	false	false	0.1	100	100
Battle_Individual_Vocalisation_Skaven_Ikit_Walking	wh2_dlc_skaven_tretch_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_Arkhan	wh2_dlc_tmb_arkhan_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Running_Arkhan	wh2_dlc_tmb_arkhan_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Walking_Arkhan	wh2_dlc_tmb_arkhan_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Khalida_Idle	wh2_dlc_tmb_khalida_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Khalida_Running	wh2_dlc_tmb_khalida_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Khalida_Walking	wh2_dlc_tmb_khalida_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_Khatep	wh2_dlc_tmb_khatep_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Running_Khatep	wh2_dlc_tmb_khatep_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Walking_Khatep	wh2_dlc_tmb_khatep_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_tmb_Liche_Priest	wh2_dlc_tmb_liche_priest_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Running_tmb_Liche_Priest	wh2_dlc_tmb_liche_priest_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Walking_tmb_Liche_Priest	wh2_dlc_tmb_liche_priest_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_tmb_Necrotect	wh2_dlc_tmb_necrotect_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Running_tmb_Necrotect	wh2_dlc_tmb_necrotect_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Walking_tmb_Necrotect	wh2_dlc_tmb_necrotect_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_Settra	wh2_dlc_tmb_settra_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Running_Settra	wh2_dlc_tmb_settra_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Walking_Settra	wh2_dlc_tmb_settra_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_tmb_Tomb_King	wh2_dlc_tmb_tomb_king_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Running_tmb_Tomb_King	wh2_dlc_tmb_tomb_king_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Walking_tmb_Tomb_King	wh2_dlc_tmb_tomb_king_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Idle_tmb_Tomb_Prince	wh2_dlc_tmb_tomb_prince_idle	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Running_tmb_Tomb_Prince	wh2_dlc_tmb_tomb_prince_running	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Humanoid_Male_Walking_tmb_Tomb_Prince	wh2_dlc_tmb_tomb_prince_walking	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_High_Default_Fatigue_Stop	wh2_hef_elf_female_default_fatigue_stop	20	10	false	false	0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_High_Default_Idle	wh2_hef_elf_female_default_idle	20	10	false	false	0.1	100	100
