audio_group_sound_assignments_tables	1
entity_type	group_sound	situation	ability
wh2_cold_one	wh_grp_vocalisation_cold_one_pain	burning	
wh2_cold_one	wh_grp_vocalisation_cold_one_charge	charge	
wh2_cold_one	wh2_grp_vocalisation_cold_one_collision	collision	
wh2_cold_one	wh_grp_vocalisation_cold_one_melee	encouragement	
wh2_cold_one	wh_grp_vocalisation_cold_one_melee	fighting	
wh2_cold_one	wh_grp_vocalisation_cold_one_idle	idle	
wh2_cold_one	wh_grp_vocalisation_cold_one_pain	injured	
wh2_cold_one	wh_grp_vocalisation_cold_one_running	moving	
wh2_cold_one	wh_grp_vocalisation_cold_one_unit_response	response	
wh2_cold_one	wh_grp_vocalisation_cold_one_unit_response	resurrecting	
wh2_cold_one	wh_grp_vocalisation_cold_one_unit_response	selection	
wh2_cst_sartosa_free_company	wh_grp_vocalisation_human_male_bret_west_country_charge	charge	
wh2_cst_sartosa_free_company	wh_grp_vocalisation_human_male_taunting	cheering	
wh2_cst_sartosa_free_company	wh_grp_vocalisation_human_male_collision	collision	
wh2_cst_sartosa_free_company	wh2_grp_vocalisation_generic_male_encouragement	encouragement	
wh2_cst_sartosa_free_company	wh_grp_vocalisation_human_male_melee	fighting	
wh2_cst_sartosa_free_company	wh_grp_vocalisation_human_male_pain	injured	
wh2_cst_sartosa_free_company	wh_grp_vocalisation_human_male_taunt	moving_taunt	
wh2_cst_sartosa_free_company	wh2_grp_vocalisation_cst_sartosa_free_company_unit_response	response	
wh2_cst_sartosa_free_company	wh2_grp_vocalisation_cst_sartosa_free_company_unit_selection	selection	
wh2_cst_sartosa_free_company	wh_grp_vocalisation_human_male_taunt	taunt	
wh2_cst_sartosa_free_company	wh_grp_vocalisation_human_male_taunting	taunting	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_charge	charge	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_taunting	cheering	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_collision	collision	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_encouragement	encouragement	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_melee	fighting	
wh2_def_elf_female_default	wh2_grp_vocalisation_darkelves_female_pain	injured	
