audio_group_sounds_tables	17
distance_scaled	density_scaled	event_start	event_stop	grouping_size	max_distance	name	split	split_close	split_far	split_offset	spotlight	use_reverb	max_start_delay_near	max_start_delay_far	stop_delay	min_refire_time	size_game_parameter	grouping_switch	linked_group_sound	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	grouping	rtpc_1_max_grouping_difference	rtpc_2_max_grouping_difference	size_scaler	min_distance	dual_group_sound	min_size	one_shot_influence_duration	scaled_azimuth_rtpc	doppler_rtpc_name	obstruction_size	trigger_charge_time_to_target	disable_group_merging
false	false	IND_Magic_Curse_Of_Djaf_Loop_Start	IND_Magic_Curse_Of_Djaf_Loop_Stop	35	500	wh2_dlc09_ability_curse_of_djaf_group	false	0	0	0	false	true	0.3	0.6	0	0.35000002	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
false	false	IND_Magic_Generic_Tomb_Kings_Debuff_Loop_Start	IND_Magic_Generic_Tomb_Kings_Debuff_Loop_Stop	35	500	wh2_dlc09_ability_tmb_negative_group	false	0	0	0	false	true	0.3	0.6	0	0.35000002	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
false	false	IND_Magic_Generic_Tomb_Kings_Buff_Loop_Start	IND_Magic_Generic_Tomb_Kings_Buff_Loop_Stop	35	500	wh2_dlc09_ability_tmb_positive_group	false	0	0	0	false	true	0.3	0.6	0	0.35000002	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
false	false	IND_Magic_Fear_Of_Aramar_Loop_Start	IND_Magic_Fear_Of_Aramar_Loop_Stop	35	500	wh2_dlc10_ability_fear_of_aramar_group	false	0	0	0	false	true	0.3	0.6	0	0.35000002	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
false	false	Battle_IND_Ability_Abyssal_Howl_Start		50	350	wh2_dlc10_abyssal_howl	false	0	0	0	false	true	0.3	0.6	0	6	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
false	false	Battle_Group_Melee_Weapons_Whips_Play	Battle_Group_Melee_Weapons_Whips_Stop	25	190	wh2_dlc10_grp_melee_weapons_whips	true	20	28	15	true	true	0	0	1	0.5	Battle_Group_Melee_Size	Battle_Ground_Type							100	100	1	0		8	0	Battle_Group_Azimuth		0	0	false
false	false	Battle_IND_Ability_Insane_Head_Start	Battle_IND_Ability_Insane_Head_Stop	1000	500	wh2_dlc10_quest_abilitiy_insane_head	false	0	0	0	false	true	0.3	0.6	0	0.35000002	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
false	false	Battle_IND_Magic_Vampire_Coast_Generic_Debuff_Loop_Start	Battle_IND_Magic_Vampire_Coast_Generic_Debuff_Loop_Stop	300	500	wh2_dlc11_ability_cst_negative_aoe_group	false	0	0	0	false	true	0.3	0.6	0	0.35000002	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
false	false	Battle_IND_Magic_Vampire_Coast_Generic_Debuff_Loop_Start	Battle_IND_Magic_Vampire_Coast_Generic_Debuff_Loop_Stop	35	500	wh2_dlc11_ability_cst_negative_group	false	0	0	0	false	true	0.3	0.6	0	0.35000002	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
false	false	Battle_IND_Magic_Vampire_Coast_Generic_Buff_Loop_Start	Battle_IND_Magic_Vampire_Coast_Generic_Buff_Loop_Stop	300	500	wh2_dlc11_ability_cst_positive_aoe_group	false	0	0	0	false	true	0.3	0.6	0	0.35000002	Battle_Magic_Group_Size								100	100	1	0		1	0			0	0	false
