audio_markers_tables	2
key	type	battle_start	battle_stop	battle_rtpc	distance_battle	campaign_start	campaign_stop	campaign_rtpc	distance_campaign	min_time	max_time	random_position	flatten_rtpc_to_2d	doppler_rtpc_name
Sound_Environment_Altar_of_Darkness	looping_sound	Battle_Environment_Dark_Elves_Altar_of_Darkness_Play	Battle_Environment_Dark_Elves_Altar_of_Darkness_Stop		6000				0	0	1	false	false	Campaign_Doppler
Sound_Environment_Aquaduct	looping_sound				0	Cam_Aquaduct	Campaign_Stop_Ambiences		35	0	1	false	false	Campaign_Doppler
Sound_Environment_Arnheim_Magic_Light	looping_sound	Battle_Environment_High_Elves_Arnheim_Magic_Light_Loop_Play	Battle_Environment_High_Elves_Arnheim_Magic_Light_Loop_Stop		800				35	0	1	false	false	
Sound_Environment_Arnheim_Town_One_Shot	one_shot_sound	Battle_Environment_High_Elves_Arnheim_Town_One_Shot			800				0	3	7	false	false	
Sound_Environment_Black_Tower_Of_Arkhan	looping_sound				0	Campaign_Environment_Tomb_Kings_Black_Tower_Of_Arkhan_Play	Campaign_Environment_Tomb_Kings_Black_Tower_Of_Arkhan_Stop		50	0	1	false	false	
Sound_Environment_Building_Fire_Large	looping_sound	Battle_Environment_Element_Fire_Building_Large_Play	Battle_Environment_Element_Fire_Building_Large_Stop		300				0	0	1	false	false	
Sound_Environment_Building_Rotating_Wheel	looping_sound				100	Campaign_Environment_Resource_Building_Rotating_Wheel_Loop_Play	Campaign_Stop_Ambiences		35	0	1	false	false	Campaign_Doppler
Sound_Environment_Cam_Resource_Building_Beer	looping_sound				25	Campaign_Environment_Resource_Building_Beer_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Clay	looping_sound				25	Campaign_Environment_Resource_Building_Clay_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Dye	looping_sound				25	Campaign_Environment_Resource_Building_Dye_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Farm	looping_sound				25	Campaign_Environment_Resource_Building_Farm_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Gems	looping_sound				25	Campaign_Environment_Resource_Building_Gems_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Gold	looping_sound				25	Campaign_Environment_Resource_Building_Gold_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
Sound_Environment_Cam_Resource_Building_Iron	looping_sound				25	Campaign_Environment_Resource_Building_Iron_One_Shot	Campaign_Stop_Ambiences		25	5	10	false	false	
