audio_melee_hit_types_tables	0
key	switch	cannot_hit_shields	cannot_hit_weapons
melee_weapon_axe	melee_weapon_axe	false	false
melee_weapon_axe_huge	melee_weapon_axe_huge	true	true
melee_weapon_axe_medium	melee_weapon_axe_medium	false	true
melee_weapon_bonebreaker_drill	melee_weapon_bonebreaker_drill	false	true
melee_weapon_claw	melee_weapon_claw	false	false
melee_weapon_club	melee_weapon_club	false	false
melee_weapon_club_huge	melee_weapon_club_huge	true	true
melee_weapon_club_medium	melee_weapon_club_medium	false	true
melee_weapon_dagger	melee_weapon_dagger	false	false
melee_weapon_drakegun	melee_weapon_drakegun	false	false
melee_weapon_flail	melee_weapon_flail	false	false
melee_weapon_halberd	melee_weapon_halberd	false	false
melee_weapon_halberd_medium	melee_weapon_halberd_medium	false	true
melee_weapon_hammer	melee_weapon_hammer	false	false
melee_weapon_lance	melee_weapon_lance	false	false
melee_weapon_medium_metal_fist	melee_weapon_medium_metal_fist	false	true
melee_weapon_rat_ogre_drill	melee_weapon_rat_ogre_drill	false	true
melee_weapon_spear	melee_weapon_spear	false	false
melee_weapon_spear_huge	melee_weapon_spear_huge	true	true
melee_weapon_spear_medium	melee_weapon_spear_medium	false	true
melee_weapon_staff	melee_weapon_staff	false	false
melee_weapon_sword	melee_weapon_sword	false	false
melee_weapon_sword_claws	melee_weapon_sword_claws	false	true
melee_weapon_sword_huge	melee_weapon_sword_huge	true	true
melee_weapon_sword_medium	melee_weapon_sword_medium	true	true
melee_weapon_unarmed	melee_weapon_unarmed	false	false
melee_weapon_warpfiregun	melee_weapon_drakegun	false	false
melee_weapon_whip	melee_weapon_whip	false	true
shield_metal	shield_metal	false	false
shield_wood	shield_wood	false	false
unique_action_animated_hulk_left_arm	unique_action_animated_hulk_left_arm	false	true
unique_action_animated_hulk_right_arm	unique_action_animated_hulk_right_arm	false	true
unique_action_body_impact	unique_action_body_impact	true	true
unique_action_bone_giant_fist	unique_action_large_bite	false	true
unique_action_bonebreaker_drill	unique_action_large_bite	false	true
unique_action_claw	unique_action_claw	false	true
unique_action_dragon_impact	unique_action_dragon_impact	false	true
unique_action_headbutt	unique_action_headbutt	false	true
unique_action_hierotitan_scales	unique_action_large_bite	false	true
unique_action_hierotitan_staff	unique_action_large_bite	false	true
unique_action_kick	unique_action_kick	false	true
unique_action_large_bite	unique_action_large_bite	false	true
unique_action_medium_bite	unique_action_medium_bite	false	true
unique_action_melee_impact_arrow_magical	unique_action_kick	false	true
unique_action_necro_serpent_tail	unique_action_large_bite	false	true
unique_action_necrofex_colossus_cannon	unique_action_large_bite	false	true
unique_action_punch	unique_action_punch	false	true
unique_action_tomb_scorpion_Tail	unique_action_large_bite	false	true
unique_action_tomb_scorpion_claw	unique_action_large_bite	false	true
