audio_metadata_tag_entity_overrides_tables	0
metadata_tag	entity_type	sound_event_battle_start	sound_event_battle_stop	sound_event_campaign_start	sound_event_campaign_stop
wh_horse_ghost	Bodyfall_Heavy_Horse				
wh2_dlc11_cst_mourngul_LH	Bodyfall_Heavy_Mourngul	Battle_Individual_Bodyfall_Heavy_Mourngul_Haunter		Campaign_Individual_Bodyfall_Heavy_Mourngul	
wh_horse_ghost	Bodyfall_Light_Horse				
wh2_dlc11_cst_rotting_prometheans	Bodyfall_Rotting_Leviathan_Hull_Step_Heavy	Battle_Individual_Bodyfall_Heavy_Rotting_Prometheans		Campaign_Individual_Bodyfall_Heavy_Rotting_Prometheans	
wh2_dlc11_cst_rotting_prometheans	Bodyfall_Rotting_Leviathan_Hull_Step_Light	Battle_Individual_Bodyfall_Light_Rotting_Prometheans		Campaign_Individual_Bodyfall_Light_Rotting_Prometheans	
wh2_dlc11_cst_mourngul_LH	Cine2_Impact_Punch_Large_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Moderate			
wh_dlc_nor_throgg_LORD	Cine2_Impact_Punch_Large_Moderate	WH2_IND_Cinematic_Kit_V2_Melee_Generic_Punch_Moderate			
wh_dlc_wef_treeman_LORD	Cine2_Impact_Weapon_Generic_Huge_Loud_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Loud			
wh_giant	Cine2_Impact_Weapon_Generic_Huge_Loud_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Loud			
wh_lord_of_change	Cine2_Impact_Weapon_Generic_Huge_Loud_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Loud			
wh_nor_giant	Cine2_Impact_Weapon_Generic_Huge_Loud_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Loud			
wh_dlc_wef_treeman_LORD	Cine2_Impact_Weapon_Generic_Huge_Moderate_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Moderate			
wh_giant	Cine2_Impact_Weapon_Generic_Huge_Moderate_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Moderate			
wh_lord_of_change	Cine2_Impact_Weapon_Generic_Huge_Moderate_Positional	WH2_IND_Cinematic_Kit_V2_Melee_Weapon_Generic_Huge_Moderate			
