audio_missile_weapon_types_tables	4
fire_start_event	fire_stop_event	fire_max_attenuation	group_fire	key	switch	only_trigger_once_per_volley	fire_use_reverb	fire_obstruction_size	group_fire_start	group_fire_stop
Battle_Individual_Artillery_Bolt_Thrower_Release		250		bolt_large	bolt_large	false	false	0		
		250		bolt_launcher_eagle_claw	bolt_large	false	false	0		
Battle_Individual_Artillery_Eagle_Claw_Bolt_Thrower_Launch		250		bolt_mounted	bolt_large	false	false	0		
Battle_Individual_Small_Arms_Bow_Release		120		bow	bow	false	false	0		
Battle_Individual_Small_Arms_Bow_Release_LH		120		bow_LH	bow	false	false	0		
Battle_Individual_Small_Arms_Large_Bow_Release		120		bow_large	bow_large	false	false	0		
Battle_Individual_Small_Arms_Brinstone_Fire		300	wh_grp_projectile_brinstone_gun_fire	brinstone_gun	brinstone_gun	false	true	0		
Battle_Individual_Artillery_Cannon_Fire		400		cannon	cannon	false	true	0		
		400		catapult_screaming_skull	catapult_screaming_skull	true	true	0		
Battle_Individual_Artillery_Copter_Clattergun_Fire		200		clattergun	clattergun	false	true	0		
Battle_Individual_Small_Arms_Crossbow_Release		120	wh_grp_projectile_crossbow_fire	crossbow	crossbow	false	false	0		
Battle_Individual_Small_Arms_Crossbow_Release_LH		120	wh_grp_projectile_crossbow_fire	crossbow_LH	crossbow	false	false	0		
Battle_Individual_Small_Arms_Deck_Gun_Fire		300		deck_gunner_cannon	drakegun	false	true	0		
Battle_Individual_Small_Arms_Deck_Gun_RoR_Fire		300		deck_gunner_cannon_RoR	drakegun	false	true	0		
		200		dragons_breath	 	false	false	0		
		200		drakegun	drakegun	false	false	0	wh_grp_drakegun_fire_start	wh_grp_drakegun_fire_stop
Battle_Individual_Artillery_Flame_Cannon_Fire		400		flame_cannon	flame_cannon	false	true	0		
Battle_Individual_Artillery_Gatling_Gun_Fire		350		gatling_gun	gatling_gun	false	true	0		
Battle_Individual_Small_Arms_Giant_Blowpipe_Fire		120		giant_blowpipe	bolt_large	false	false	0		
Battle_Individual_Artillery_Great_Cannon_Fire		400		great_cannon	great_cannon	false	true	0		
Battle_Individual_Small_Arms_Grenade_Launcher_Fire		200	wh_grp_projectile_grenade_launcher_fire	grenade_launcher	grenade_launcher	false	true	0		
Battle_Individual_Small_Arms_Hand_Cannon_Fire		300		hand_cannon	hand_cannon	true	true	0	wh_grp_projectile_hand_cannon_fire	
Battle_Individual_Artillery_Hell_Cannon_Fire		350		hell_cannon	hell_cannon	false	true	0		
Battle_Individual_Artillery_Ice_Forged_Legion_Fire		350		hell_cannon_ice_forged_legion	hell_cannon	false	true	0		
Battle_Individual_Artillery_Mortar_Fire		350		mortar	mortar	false	true	0		
		0		none	none	false	false	0		
Battle_Individual_Artillery_Orgun_Gun_Fire		400		orgun_gun	organ_gun	true	true	0		
Battle_Individual_Small_Arms_Pistol_Fire		300	wh_grp_projectile_pistol_fire	pistol	pistol	true	true	0		
Battle_Individual_Small_Arms_Pistol_Fire_LH		300		pistol_LH	pistol	true	true	0		
		800		queen_bess	queen_bess	false	true	0		
Battle_Individual_Small_Arms_Repeater_Gun_Fire		300	wh_grp_projectile_repeater_gun_fire	repeater_gun	repeater_gun	false	true	0		
Battle_Individual_Small_Arms_Repeater_Gun_Fire_LH		300		repeater_gun_LH	repeater_gun	false	true	0		
Battle_Individual_Small_Arms_Repeater_Rifle_Fire		300	wh_grp_projectile_repeater_rifle_fire	repeater_rifle	repeater_rifle	false	true	0		
Battle_Individual_Small_Arms_Repeater_Rifle_Fire_LH		300		repeater_rifle_LH	repeater_rifle	false	true	0		
Battle_Individual_Artillery_Rocket_Launch		350		rocket_battery	rocket_battery	false	true	0		
Battle_Individual_Artillery_Copter_Steamgun_Fire		100		steamgun_copter	steamgun	false	false	0		
Battle_Individual_Artillery_Steam_Tank_Steamgun_Fire		100		steamgun_tank	steamgun	false	false	0		
Battle_Individual_Small_Arms_Troll_Hammer_Fire		200		troll_hammer	troll_hammer	false	true	0		
		200		warpfiregun	drakegun	false	false	0	wh2_grp_warpfiregun_fire_start	wh2_grp_warpfiregun_fire_stop
Battle_Individual_Projectile_Grenade_fuse_throw		40		wh2_dlc11_deck_dropper_bomb	rocket_battery	false	true	0		
Battle_Individual_Melee_Necrofex_Colossus_Cannon_Fire		400		wh2_dlc11_necrofex_cannon	rocket_battery	false	true	0		
Battle_Individual_Ikit_Claw_Warpfire_Start	Battle_Individual_Ikit_Claw_Warpfire_Stop	200		wh2_dlc12_ikit_warpfiregun	drakegun	false	false	0		
		400	wh2_grp_ratling_gun_fire_loop	wh2_dlc12_ratling_gun	gatling_gun	true	true	0		
Battle_Individual_Small_Arms_Jezzails_Sniper_Rifle_Fire		300		wh2_dlc12_warplock_jezzails	repeater_rifle	false	true	0		
