audio_projectiles_tables	14
key	max_attenuation_fire	max_attenuation_impact	max_attenuation_inflight	inflight_min_speed	fire_start_event	fire_stop_event	incoming_event	impact_event	impact_blood_event	inflight_start_event	inflight_stop_event	hit_tree_start_event	hit_tree_stop_event	idle_start_event	idle_stop_event	max_attenuation_idle	obstruction_size	use_reverb	group_fire	group_inflight	group_impact	incoming_time	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	switch_1	fire_only_trigger_once_per_volley	inflight_only_trigger_once_per_volley	impact_only_trigger_once_per_volley	flyby_event	flyby_distance	doppler_rtpc_name	limitation	limitation_scale_fire	limitation_scale_inflight	limitation_scale_impact	limitation_scale_incoming	limitation_scale_flyby
none	0	0	0	0												0	0	true				1						false	false	false		10		large	1	0	1	0.5	0.5
wh2_Terradon_Bomb	150	240	255	22			Battle_Individual_Projectile_Incoming_Terradon_Bomb									100	0	false				1						false	false	false		20	Battle_Projectile_Doppler	large	1	1	5	0.5	0.5
wh2_bolas	0	50	100	10						Battle_Individual_Projectile_Bolas_InFlight_Play	Battle_Individual_Projectile_Bolas_InFlight_Stop					100	0	false				1						false	false	false		10		small	1	0	1	0.5	0.5
wh2_bolt_thrower_eagle_claw	150	240	255	22			Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_Impact		Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Play	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	true				1	Battle_Projectile_Speed	Projectile_Speed				false	false	false	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	20	Battle_Projectile_Doppler	large	1	1	5	0.5	0.5
wh2_bolt_thrower_eagle_claw_spread	150	240	255	15			Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_Impact								100	0	true		wh2_grp_projectile_bolt_thrower_eagle_claw_inflight	wh2_grp_projectile_bolt_thrower_eagle_claw_impact	1	Battle_Projectile_Speed	Projectile_Speed				false	true	false	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	20	Battle_Projectile_Doppler	large	1	0.5	1	0.5	0.5
wh2_bullet_multi_impact_large	250	100	100	10								Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	true		wh_grp_projectile_bullet_inflight	wh2_grp_projectile_bullet_impact_multi_large	1						false	true	true	Battle_Individual_Projectile_Bullet_Large_Passby	15		medium	1	0	1	0.5	0.5
wh2_casket_of_souls	250	400	300	10	Battle_Individual_Projectile_Casket_Of_Souls_Launch_Whoosh		Battle_Individual_Projectile_Incoming_Casket_Of_Souls	Battle_Individual_Projectile_Casket_Of_Souls_Impact		Battle_Individual_Projectile_Casket_Of_Souls_InFlight_Play	Battle_Individual_Projectile_Casket_Of_Souls_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100	0	true		wh2_grp_projectile_casket_of_souls_inflight	wh2_grp_projectile_casket_of_souls_impact	1	Battle_Projectile_Speed	Projectile_Speed				true	true	true	Battle_Individual_Projectile_Incoming_Casket_Of_Souls	25	Battle_Projectile_Doppler	magic	1	0	0.5	0.5	0.5
wh2_catapult_plagueclaw	250	500	300	10	Battle_Individual_Projectile_Plagueclaw_Catapult_Launch_Whoosh		Battle_Individual_Projectile_Incoming_Rock	Battle_Individual_Projectile_Plagueclaw_Catapult_Impact		Battle_Individual_Projectile_Plagueclaw_Catapult_InFlight_Play	Battle_Individual_Projectile_Plagueclaw_Catapult_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100	0	true				1	Battle_Projectile_Speed	Projectile_Speed				false	false	false	Battle_Individual_Projectile_Incoming_Rock	25	Battle_Projectile_Doppler	medium	1	0	1	0.5	0.5
wh2_catapult_screamingskull	250	500	300	10	Battle_Individual_Projectile_Screaming_Skull_Catapult_Launch_Whoosh		Battle_Individual_Projectile_Incoming_Screaming_Skull_Catapult	Battle_Individual_Projectile_Screaming_Skull_Catapult_Impact		Battle_Individual_Projectile_Screaming_Skull_Catapult_InFlight_Play	Battle_Individual_Projectile_Screaming_Skull_Catapult_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100	0	true		wh2_grp_projectile_screaming_skull_catapult_inflight	wh2_grp_projectile_screaming_skull_catapult_impact	1	Battle_Projectile_Speed	Projectile_Speed				false	false	false	Battle_Individual_Projectile_Incoming_Rock	25	Battle_Projectile_Doppler	magic	1	0	1	0.5	0.5
wh2_catapult_screamingskull_spread	250	240	250	15	Battle_Individual_Projectile_Screaming_Skull_Catapult_Launch_Whoosh		Battle_Individual_Projectile_Incoming_Rock	Battle_Individual_Projectile_Screaming_Skull_Catapult_Impact_Combined								100	0	true		wh2_grp_projectile_screaming_skull_catapult_inflight	wh2_grp_projectile_screaming_skull_catapult_impact	1	Battle_Projectile_Speed	Projectile_Speed				false	true	true	Battle_Individual_Projectile_Incoming_Screaming_Skull_Catapult	25	Battle_Projectile_Doppler	magic	1	0.5	1	0.5	0.5
wh2_dart_normal	150	100	100	22				Battle_Individual_Projectile_Dart_Impact		Battle_Individual_Projectile_Dart_InFlight_Normal_Play	Battle_Individual_Projectile_Dart_InFlight_Normal_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	false	wh2_grp_projectile_dart_fire_normal	wh2_grp_projectile_dart_inflight_normal	wh2_grp_projectile_dart_impact_normal	1						false	false	false		10		small	1	0	1	0.5	0.5
wh2_dlc09_abilities_venom_staff	500	500	500	22	IND_Magic_Venom_Staff_Launch		IND_Magic_Venom_Staff_Flyby	IND_Magic_Venom_Staff_Impact		IND_Magic_Venom_Staff_Inflight_Start	IND_Magic_Venom_Staff_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	true				1						true	true	true	IND_Magic_Venom_Staff_Flyby	10	Battle_Projectile_Doppler	magic	1	0	1	0.90000004	0.90000004
wh2_dlc10_ability_the_moonbow	500	500	500	22	Battle_IND_Magic_The_Moon_Bow_Launch					Battle_IND_Magic_The_Moon_Bow_Inflight_Start	Battle_IND_Magic_The_Moon_Bow_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	true				1						false	false	false		10	Battle_Projectile_Doppler	magic	1	0	1	0.5	0.5
wh2_dlc10_bone_arrow	500	240	255	22	Battle_Individual_Projectile_Bone_Arrow_Launch		Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	Battle_Individual_Projectile_Bone_Arrow_Impact		Battle_Individual_Projectile_Bone_Arrow_InFlight_Play	Battle_Individual_Projectile_Bone_Arrow_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	true				1						false	false	false	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	20	Battle_Projectile_Doppler	large	1	1	5	0.5	0.5
wh2_dlc10_bow_arrow_hef_SOA_magical	150	150	100	22	Battle_Individual_Projectile_Arrow_Fire_Magical			Battle_Individual_Projectile_Arrow_Impact_hef_SOA_Magical		Battle_Individual_Projectile_Arrow_InFlight_Magical_Play	Battle_Individual_Projectile_Arrow_InFlight_Magical_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	false	wh_grp_projectile_arrow_fire_magical	wh_grp_projectile_arrow_inflight_magical	wh_grp_projectile_arrow_impact_magical	1						false	false	false	Battle_Individual_Projectile_Arrow_Passby	17		medium	1	0	1	0.5	0.8
wh2_dlc11_ability_bomb_throw	500	500	500	22	Battle_IND_Magic_Bomb_Throw_Launch			Battle_IND_Magic_Bomb_Throw_Impact		Battle_IND_Magic_Bomb_Throw_Inflight_Start	Battle_IND_Magic_Bomb_Throw_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	true				1						false	false	false		10	Battle_Projectile_Doppler	magic	1	0	1	0.5	0.5
wh2_dlc11_ability_pyromaniac	500	500	500	22	Battle_IND_Magic_Pyromaniac_Launch			Battle_IND_Magic_Pyromaniac_Impact		Battle_IND_Magic_Pyromaniac_Inflight_Start	Battle_IND_Magic_Pyromaniac_Inflight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	0	true				1						false	false	false		10	Battle_Projectile_Doppler	magic	1	0	1	0.5	0.5
wh2_dlc11_ability_wraith_storm	500	500	500	22						Battle_IND_Magic_Wraith_Storm_Inflight_Start	Battle_IND_Magic_Wraith_Storm_Inflight_Stop					100	0	true			wh2_dlc11_ability_wraith_storm_impact	1						false	false	false		10	Battle_Projectile_Doppler	magic	1	0	1	0.5	0.5
