autoresolver_modifier_group_lookups_tables	0
battle_type	id	modifier_group_applied	modifier_value_multiplier_mechanic	player_type
bridge_generic	1043734002	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
settlement_generic_land	1044782589	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
generic_battle	1046171241	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
minor_settlement_generic_land	1127239174	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
ambush_generic	1170379648	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
ambush_generic	1174749249	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
bridge_generic	1185348418	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
settlement_generic_land	1202167369	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
minor_settlement_generic_land	1221348411	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
settlement_generic_land	1235307824	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
settlement_generic_naval	1240625629	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
settlement_generic_land	1241690159	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
bridge_generic	1291727635	wh_global_ranged_kps_penalty	none	any
ambush_generic	1308768290	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
settlement_generic_naval	1331381047	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
settlement_generic_naval	13817570	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
fortify_battle	1383550442	wh_global_reduced_morale_dmg	none	any
bridge_generic	1384650025	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
settlement_generic_naval	1405293036	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
fortify_battle	1411367882	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
generic_battle	1468883184	wh_global_ranged_kps_penalty	none	any
bridge_generic	1493731898	wh_global_reduced_morale_dmg	none	any
settlement_generic_land	1532798465	wh_global_reduced_morale_dmg	none	any
minor_settlement_generic_land	154780141	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
fortify_battle	1558737803	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
minor_settlement_generic_land	1564832865	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
generic_battle	1581884186	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
settlement_generic_land	1791317654	wh_siege_eq_multiplier_bonus	siege_equipment_strength	any
settlement_generic_land	1810147711	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
generic_battle	1876980458	wh_global_reduced_morale_dmg	none	any
minor_settlement_generic_land	1882174550	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_land	1905269117	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
fortify_battle	1932282026	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
settlement_generic_land	1948079639	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_naval	1993577141	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
generic_battle	2004997384	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
minor_settlement_generic_naval	2005502286	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
ambush_generic	2017673432	wh_strong_ranged_kps_multiplier_penalty	none	defender_target
minor_settlement_generic_naval	2101092419	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_naval	2123905617	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
generic_battle	28176345	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
ambush_generic	302653893	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
fortify_battle	332382935	wh_global_cavalry_melee_kps_multiplier_bonus	none	any
ambush_generic	401085814	wh_global_reduced_morale_dmg	none	any
fortify_battle	419495433	wh_global_ranged_kps_penalty	none	any
minor_settlement_generic_naval	420243805	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
settlement_generic_land	444908540	wh_strong_kps_multiplier_bonus	none	defender_target
settlement_generic_naval	488095027	wh_global_ranged_kps_penalty	none	any
settlement_generic_naval	495060402	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
settlement_generic_land	505422286	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
minor_settlement_generic_naval	506022522	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
minor_settlement_generic_land	520792879	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
generic_battle	54370030	wh_difficulty_kps_multiplier_penalty_vhard	none	human_vs_ai_vhard
bridge_generic	544626621	wh_difficulty_kps_multiplier_penalty_normal	none	human_vs_ai_normal
settlement_generic_naval	555307723	wh_global_reduced_morale_dmg	none	any
settlement_generic_land	574777742	wh_siege_eq_multiplier_ai_v_human_bonus	siege_equipment_strength	ai_vs_human
generic_battle	602452303	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
bridge_generic	631794111	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
minor_settlement_generic_naval	639146594	wh_global_reduced_morale_dmg	none	any
minor_settlement_generic_land	663859623	wh_global_reduced_morale_dmg	none	any
bridge_generic	675974344	wh_difficulty_kps_multiplier_penalty_easy	none	human_vs_ai_easy
fortify_battle	679356213	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
ambush_generic	692248369	wh_difficulty_kps_multiplier_penalty_hard	none	human_vs_ai_hard
ambush_generic	711464657	wh_strong_kps_multiplier_bonus	none	attacker_target
fortify_battle	812948677	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
settlement_generic_land	821715815	wh_settlement_human_v_ai_penalty	none	defending_human_vs_ai
fortify_battle	854525417	wh_moderate_kps_multiplier_bonus	none	defender_target
ambush_generic	858371654	wh_no_retreat	none	defender_target
ambush_generic	91250603	wh_difficulty_kps_multiplier_penalty_legendary	none	human_vs_ai_legendary
ambush_generic	978443428	wh_global_ranged_kps_penalty	none	any
