autoresolver_modifier_group_to_modifiers_tables	0
group	id	modifier_bonus	modifier_target	value
wh_difficulty_kps_multiplier_penalty_legendary	1072595576	unit_missile_kps_multiplier	all_classes	-0.15
wh_spell_strong_kps_multiplier_bonus	1072967836	unit_melee_kps_multiplier	all_classes	0.17000002
wh_spell_small_kps_multiplier_bonus	1075512102	unit_missile_kps_multiplier	all_classes	0.040000003
wh_spell_small_kps_multiplier_bonus	1175877171	unit_melee_kps_multiplier	all_classes	0.040000003
wh_global_ranged_kps_penalty	119236092	unit_missile_kps_multiplier	cav_mis	0
wh_global_cavalry_melee_kps_multiplier_bonus	1215071991	unit_melee_kps_multiplier	cav_shk	0.5
wh_global_ranged_kps_penalty	1281147141	unit_missile_kps_multiplier	inf_mis	0
wh_difficulty_kps_multiplier_penalty_normal	1299195604	unit_melee_kps_multiplier	all_classes	-0.050000004
wh_spell_small_kps_multiplier_penalty	1306923909	unit_missile_kps_multiplier	all_classes	-0.040000003
wh_difficulty_kps_multiplier_penalty_vhard	1366036531	unit_missile_kps_multiplier	all_classes	-0.1
wh_difficulty_kps_multiplier_penalty_easy	1470584051	unit_missile_kps_multiplier	all_classes	-0.010000001
wh_difficulty_kps_multiplier_penalty_hard	1526123797	unit_melee_kps_multiplier	all_classes	-0.07500001
wh_difficulty_kps_multiplier_penalty_normal	1595365670	unit_missile_kps_multiplier	all_classes	-0.050000004
wh_strong_kps_multiplier_bonus	1637985067	unit_melee_kps_multiplier	all_classes	0.15
wh_global_cavalry_melee_kps_multiplier_bonus	1694349735	unit_melee_kps_multiplier	cav_mel	0.5
wh_spell_moderate_kps_multiplier_bonus	1719963559	unit_melee_kps_multiplier	all_classes	0.09
wh_general_lvl_kps_multiplier_bonus	1787125542	unit_missile_kps_multiplier	all_classes	0.020000001
wh_difficulty_kps_multiplier_penalty_legendary	1811738824	unit_melee_kps_multiplier	all_classes	-0.15
wh_difficulty_kps_multiplier_penalty_easy	1813361064	unit_melee_kps_multiplier	all_classes	-0.010000001
wh_settlement_human_v_ai_penalty	184685109	unit_missile_kps_multiplier	all_classes	-0.15
wh_spell_small_kps_multiplier_penalty	187172552	unit_melee_kps_multiplier	all_classes	-0.040000003
wh_general_lvl_kps_multiplier_bonus	188319122	unit_melee_kps_multiplier	all_classes	0.020000001
wh_strong_ranged_kps_multiplier_penalty	1922000801	unit_missile_kps_multiplier	all_classes	-0.25
wh_spell_strong_kps_multiplier_penalty	1952823546	unit_melee_kps_multiplier	all_classes	-0.17000002
wh_spell_moderate_kps_multiplier_bonus	2035332808	unit_missile_kps_multiplier	all_classes	0.09
wh_spell_moderate_kps_multiplier_penalty	2041939794	unit_missile_kps_multiplier	all_classes	-0.080000006
wh_no_retreat	2058235273	unit_retreat_mod	all_classes	-1
wh_strong_kps_multiplier_bonus	255398935	unit_missile_kps_multiplier	all_classes	0.15
wh_moderate_kps_multiplier_bonus	282969177	unit_missile_kps_multiplier	all_classes	0.07500001
wh_siege_eq_multiplier_bonus	392351497	unit_melee_kps_multiplier	all_classes	0.1
wh_moderate_kps_multiplier_bonus	432943812	unit_missile_kps_multiplier	all_classes	0.07500001
wh_spell_strong_kps_multiplier_bonus	504652756	unit_missile_kps_multiplier	all_classes	0.17000002
wh_siege_eq_multiplier_ai_v_human_bonus	531276114	unit_melee_kps_multiplier	all_classes	0.1
wh_settlement_human_v_ai_penalty	57381042	unit_melee_kps_multiplier	all_classes	-0.15
wh_difficulty_kps_multiplier_penalty_vhard	597639017	unit_melee_kps_multiplier	all_classes	-0.1
wh_siege_eq_additive_bonus	598476801	unit_melee_kps_addition	all_classes	0.001
wh_global_reduced_morale_dmg	65380489	unit_morale_loss_scale	all_classes	0
wh_spell_strong_kps_multiplier_penalty	784857786	unit_missile_kps_multiplier	all_classes	-0.17000002
wh_spell_moderate_kps_multiplier_penalty	899028187	unit_melee_kps_multiplier	all_classes	-0.080000006
wh_difficulty_kps_multiplier_penalty_hard	901542794	unit_missile_kps_multiplier	all_classes	-0.07500001
