banners_permitted_unit_sets_tables	0
banner	unit_set
wh2_dlc09_banner_magic_standard_banner_of_the_hidden_dead	wh2_dlc09_tmb_all_skeleton
wh2_dlc09_banner_magic_standard_banner_of_the_hidden_dead	wh2_dlc09_tmb_chariots
wh2_dlc09_banner_magic_standard_banner_of_the_hidden_dead	wh2_dlc09_tmb_horsemen
wh2_dlc09_banner_magic_standard_standard_of_the_undying_legion	wh2_dlc09_tmb_all_skeleton
wh2_dlc10_banner_magic_standard_banner_of_avelorn	all_units
wh2_dlc11_banner_magic_standard_bloodied_banner_of_slayers	all_units
wh2_dlc11_banner_magic_standard_boatswain	all_units
wh2_dlc11_banner_magic_standard_burnt_banner_of_knights	all_units
wh2_dlc11_banner_magic_standard_corpse_surgeon	all_units
wh2_dlc11_banner_magic_standard_dead_mans_chest	all_units
wh2_dlc11_banner_magic_standard_holed_banner_of_militia	all_units
wh2_dlc11_banner_magic_standard_rookie_gunner	wh2_dlc11_cst_all_ranged
wh2_dlc11_banner_magic_standard_ships_colors	all_units
wh2_dlc11_banner_magic_standard_skull_and_crossbones	all_units
wh2_dlc11_banner_magic_standard_spell_of_the_necromancers_apprentice	all_units
wh2_dlc11_banner_magic_standard_throwing_bombs	all_units
wh2_dlc11_banner_magic_standard_torn_banner_of_pilgrims	all_units
wh2_dlc12_anc_banner_cape_of_sniper	wh2_dlc12_skv_jezzail
wh2_dlc12_anc_banner_cape_of_sniper	wh2_dlc12_skv_ratling
wh2_dlc12_anc_banner_cape_of_sniper	wh2_dlc12_skv_warpfire
wh2_dlc12_anc_banner_incendiary_rounds	wh2_dlc12_skv_jezzail
wh2_dlc12_anc_banner_incendiary_rounds	wh2_dlc12_skv_ratling
wh2_dlc12_anc_banner_incendiary_rounds	wh2_dlc12_skv_warpfire
wh2_dlc12_anc_banner_tracer_rounds	wh2_dlc12_skv_ratling
wh2_dlc12_anc_banner_tracer_rounds	wh2_dlc12_skv_warpfire
wh2_dlc12_lzd_anc_magic_standard_coatlpelt_flagstaff	all_units
wh2_dlc12_lzd_anc_magic_standard_culchan_feathered_standard	all_units
wh2_dlc12_lzd_anc_magic_standard_exalted_banner_of_xapati	all_units
wh2_dlc12_lzd_anc_magic_standard_flag_of_the_daystar	all_units
wh2_dlc12_lzd_anc_magic_standard_shroud_of_chaqua	all_units
wh2_dlc12_lzd_anc_magic_standard_sign_of_the_coiled_one	all_units
wh2_dlc12_lzd_anc_magic_standard_totem_of_the_spitting_viper	all_units
wh2_dlc12_lzd_anc_magic_standard_totem_pole_of_destiny	all_units
wh2_main_banner_magic_standard_banner_of_ellyrion	all_units
wh2_main_banner_magic_standard_banner_of_murder	all_units
wh2_main_banner_magic_standard_banner_of_the_under_empire	all_units
wh2_main_banner_magic_standard_banner_of_the_world_dragon	all_units
wh2_main_banner_magic_standard_banner_of_verminous_scurrying	all_units
wh2_main_banner_magic_standard_battle_banner	all_units
wh2_main_banner_magic_standard_dread_banner	all_units
wh2_main_banner_magic_standard_dwarf_hide_banner	all_units
wh2_main_banner_magic_standard_grand_banner_of_clan_superiority	all_units
wh2_main_banner_magic_standard_horn_of_isha	all_units
wh2_main_banner_magic_standard_huanchis_blessed_totem	all_units
wh2_main_banner_magic_standard_hydra_banner	all_units
