Loc PackedFile	1
key	text	tooltip
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_defender_2	Greenskin Tribe	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_defender_1	Greenskin Tribe	true
battle_set_piece_armies_army_onscreen_name_wh2_main_qb_final_battle_ai_lzd_attacker_reinforcements	Lizardmen	true
battle_set_piece_armies_army_onscreen_name_wh_dlc07_qb_brt_errantry_war_badlands_stage_1_player	King Louen Leoncoeur	true
battle_set_piece_armies_army_onscreen_name_wh2_main_qb_final_battle_skv_ally	Skaven	true
battle_set_piece_armies_army_onscreen_name_wh2_main_qb_final_battle_ai_def_defender_reinforcements	Dark Elves	true
battle_set_piece_armies_army_onscreen_name_wh2_main_qb_final_battle_ai_hef_defender_reinforcements	High Elves	true
battle_set_piece_armies_army_onscreen_name_wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_defender_1_grandcampaign	Messengers of Middenheim	true
battle_set_piece_armies_army_onscreen_name_wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_defender_2_grandcampaign	Messengers of Middenheim	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_4_player	Army of Ungrim Ironfist	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_dwf_ungrim_ironfist_slayer_crown_stage_5_player	Army of Ungrim Ironfist	true
battle_set_piece_armies_army_onscreen_name_wh2_dlc12_great_vortex_lord_kroak_stage_3_skaven_reinforcements	Lords of Decay	true
battle_set_piece_armies_army_onscreen_name_wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_5_player_grandcampaign	Malagor	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_player	Heinrich Kemmler	true
battle_set_piece_armies_army_onscreen_name_wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_player	Archaon	true
battle_set_piece_armies_army_onscreen_name_wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_5_defender_2	Sons of Grungi!	true
battle_set_piece_armies_army_onscreen_name_wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_3_defender_1	Throng of Mad Dog Pass	true
battle_set_piece_armies_army_onscreen_name_wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_5_defender_1	Sons of Grungi!	true
battle_set_piece_armies_army_onscreen_name_wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_defender_2	Warherd of the Shadowgave	true
battle_set_piece_armies_army_onscreen_name_wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_defender_1	Warherd of the Shadowgave	true
battle_set_piece_armies_army_onscreen_name_wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_defender_1	Ostermark	true
battle_set_piece_armies_army_onscreen_name_wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_defender_2	Ostermark	true
battle_set_piece_armies_army_onscreen_name_wh_dlc04_qb_vmp_vlad_von_carstein_blood_drinker_stage_4_defender_3	Ostermark	true
battle_set_piece_armies_army_onscreen_name_wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_defender_1	Chaos	true
battle_set_piece_armies_army_onscreen_name_wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_defender_2	Chaos	true
battle_set_piece_armies_army_onscreen_name_wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_defender_3	Chaos	true
battle_set_piece_armies_army_onscreen_name_wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_defender_4	Chaos	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_emp_balthasar_gelt_amulet_of_sea_gold_stage_4_player	Balthasar Gelt	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_battle_of_high_pass_defender_4	Chaos Warband	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_battle_of_high_pass_defender_1	Chaos Warband	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_battle_of_high_pass_defender_2	Chaos Warband	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_battle_of_high_pass_defender_3	Chaos Warband	true
battle_set_piece_armies_army_onscreen_name_wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_defender_mazdamundi	Lizardmen	true
battle_set_piece_armies_army_onscreen_name_wh_dlc03_qb_bst_malagor_the_dark_omen_the_icon_of_vilification_stage_3_player_grandcampaign	Malagor	true
battle_set_piece_armies_army_onscreen_name_wh_dlc07_qb_brt_errantry_war_chaos_wastes_stage_1_attacker_4	Sarthorael the Everwatcher	true
battle_set_piece_armies_army_onscreen_name_wh_dlc07_qb_brt_errantry_war_chaos_wastes_stage_1_attacker_2	Sigvald the Magnificent	true
battle_set_piece_armies_army_onscreen_name_wh_dlc07_qb_brt_errantry_war_chaos_wastes_stage_1_attacker_3	Kholek Suneater	true
battle_set_piece_armies_army_onscreen_name_wh_dlc07_qb_brt_errantry_war_chaos_wastes_stage_1_attacker_1	Archaon the Everchosen	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_defender_1	Bretonnian Expedition	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_defender_3	Bretonnian Expedition	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_grn_azhag_the_slaughterer_azhags_ard_armour_stage_4_defender_2	Bretonnian Expedition	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_attacker_4	'Eavies	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_attacker_1	Nobnails Backbiter	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_attacker_3	Da Tunnel Mob	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_dwf_thorgrim_grudgebearer_intro_subterranean_attacker_2	Da Bridge Mob	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_5_ancient_dragon_cave_defender_2	Lothar Jaegar	true
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_khalida_1	Lybaras	true
battle_set_piece_armies_army_onscreen_name_wh_main_qb_emp_balthasar_gelt_cloak_of_molten_metal_stage_5_ancient_dragon_cave_defender_1	Zacharias von Drak	true
battle_set_piece_armies_army_onscreen_name_wh2_dlc11_qb_cst_final_battle_attacker_02_right	Creatures of the Deep	true
battle_set_piece_armies_army_onscreen_name_wh2_dlc11_qb_cst_final_battle_attacker_03_right	Creatures of the Deep	true
battle_set_piece_armies_army_onscreen_name_wh2_dlc11_qb_cst_final_battle_luthor	Luthor Harkon	true
battle_set_piece_armies_army_onscreen_name_wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_defender_2	Messengers of Middenheim	true
battle_set_piece_armies_army_onscreen_name_wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_defender_1	Messengers of Middenheim	true
