battle_set_piece_armies_effect_bundles_tables	0
battle_set_piece_army	effect_bundle
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_01	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_attacker	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_attacker	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_defender	wh2_dlc09_bundle_quest_battle_full_hide
wh2_dlc11_qb_cst_final_battle_luthor	wh2_dlc11_bundle_tmb_final_battle_army_abilities_battle_supply
wh2_dlc12_skv_ikit_claw_storm_daemon_player	wh2_dlc12_nuke_ability_enable
wh2_dlc12_skv_ikit_claw_storm_daemon_player	wh2_dlc12_qb_ikit_enable_storm_daemon
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_easy_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_e3_hard_attacker_01	wh2_main_bundle_quest_battle_feral_cold_ones
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_01	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_attacker_01	wh2_main_bundle_pre_battle_purchase_menace_below_2
wh_dlc08_qb_nor_monster_hunt_10_reinforcement	wh2_dlc10_bundle_monster_hunt_army_rampage
wh_dlc08_qb_nor_monster_hunt_10	wh2_dlc10_bundle_monster_hunt_army_rampage
wh_dlc08_qb_nor_monster_hunt_8_reinforcement_2	wh_main_bundle_military_upkeep_free_force_unbreakable_all
wh_dlc08_qb_nor_monster_hunt_8_reinforcement	wh_main_bundle_military_upkeep_free_force_unbreakable_all
wh_dlc08_qb_nor_monster_hunt_8	wh_main_bundle_military_upkeep_free_force_unbreakable_all
