battle_set_piece_campaign_battle_scene_view_configurations_tables	0
camera_distance	camera_height	scale	separation	set_piece_battle_scene
13.5	8	0.75	-1	wh2_main_qb_final_battle_def
13.5	8	0.75	-1	wh2_main_qb_final_battle_def_hellebron
13.5	8	0.75	-1	wh2_main_qb_final_battle_def_lokhir
13.5	8	0.75	-1	wh2_main_qb_final_battle_def_morathi
13.5	8	0.75	-1	wh2_main_qb_final_battle_hef
13.5	8	0.75	-1	wh2_main_qb_final_battle_hef_alarielle
13.5	8	0.75	-1	wh2_main_qb_final_battle_hef_alith_anar
13.5	8	0.75	-1	wh2_main_qb_final_battle_hef_teclis
13.5	8	0.75	-1	wh2_main_qb_final_battle_lzd
13.5	8	0.75	-1	wh2_main_qb_final_battle_lzd_kroq_gar
13.5	8	0.75	-1	wh2_main_qb_final_battle_skv
13.5	8	0.75	-1	wh2_main_qb_final_battle_skv_lord_skrolk
13.5	8	0.75	-1	wh2_main_qb_final_battle_skv_tretch
