battle_set_pieces_tables	12
battle_duration	battle_environment	battle_enviroment_audio	battle_name	battle_script	battle_type	frontend_icon_offset_x	frontend_icon_offset_y	is_player_attacker	bmd_layer_type	use_large_armies	battlefield_folder	teleport_cost	catchment_area	intro_movie	outro_movie_win	outro_movie_lose	campaign_pre_battle_intro_movie
60	weather/battle/wh_falls_02.environment		wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5	script/battle/quest_battles/tretch_craventail/lucky_skullhelm/battle_script.lua	classic	0	0	true	quest_battle_2	true	qb_dlc06_squiggly_beast	500					
12	weather/battle/wh_tmb_04.environment		wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash	script\battle\quest_battles\arkhan_the_black\staff_of_nagash\battle_script.lua	classic	20	70	false	catchment_01	true	qb_wh2_dlc09_staff_of_nagash	500	catchment_01				
60	weather/battle/wh_tzulaqua_01.environment		wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua	script\battle\quest_battles\arkhan_the_black\tomb_blade_of_arkhan\battle_script.lua	classic	0	0	false	quest_battle_2	true	qb_wh2_mortuary_of_tzulaqua	500					
60	weather/battle/wh_tmb_black_pyramid_01.environment		wh2_dlc09_qb_tmb_final_battle_arkhan	script/battle\quest_battles\dlc09_final_battle\battle_script_arkhan.lua	classic	0	-40	false	quest_battle_2	true	qb_wh2_black_pyramid	5000					
60	weather/battle/wh_tmb_black_pyramid_01.environment		wh2_dlc09_qb_tmb_final_battle_khalida	script/battle\quest_battles\dlc09_final_battle\battle_script_khalida.lua	classic	-20	-20	true	quest_battle_1	true	qb_wh2_black_pyramid	5000					
60	weather/battle/wh_tmb_black_pyramid_01.environment		wh2_dlc09_qb_tmb_final_battle_khatep	script/battle\quest_battles\dlc09_final_battle\battle_script_khatep.lua	classic	-60	0	true	quest_battle_1	true	qb_wh2_black_pyramid	5000					
60	weather/battle/wh_tmb_black_pyramid_01.environment		wh2_dlc09_qb_tmb_final_battle_settra	script/battle\quest_battles\dlc09_final_battle\battle_script.lua	classic	-60	-20	true	quest_battle_1	true	qb_wh2_black_pyramid	5000					
60	weather/battle/wh_tmb_04.environment		wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river	script/battle\quest_battles\khalida\venom_staff\battle_script.lua	river_crossing_battle	-60	50	false	quest_battle_1	true	qb_dlc09_ash_river	500					
60	weather/battle/wh_qb_gouger_gully.environment		wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok	script/battle\quest_battles\khatep\pits_of_zardok\battle_script.lua	classic	75	0	true	quest_battle_2	true	qb_wh2_pits_of_zardok	500					
60	weather/battle/wh_qb_balde_of_ptra_01.environment		wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley	script/battle\quest_battles\settra\the_blessed_blade_of_ptra\battle_script.lua	classic	-130	50	true	quest_battle_2	true	qb_wh2_dlc09_charnel_valley	500					
60	weather/battle/wh_def_02.environment		wh2_dlc09_qb_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay	script/battle\quest_battles\settra\the_crown_of_nehekhara\battle_script.lua	classic	-150	-100	true	quest_battle_3	true	qb_wh2_dlc09_pack_ice_bay	500					
60	weather/battle/wh_def_norsca_01_altar_of_darkness.environment	dark_elves_cold	wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness	script\battle\quest_battles\hellebron\deathsword_and_the_cursed_blade\battle_script.lua	classic	0	0	false	quest_battle_2	true	qb_wh2_altar_of_ultimate_darkness	500					
60	weather/battle/wh_star_of_avelorn.environment	dlc10_high_elves_qb_star_of_avelorn	wh2_dlc10_qb_hef_alarielle_star_of_avelorn_stage_5	script/battle\quest_battles\alarielle\star_of_avelorn\battle_script.lua	classic	-150	-20	false	quest_battle_1	true	qb_wh2_dlc10_star_of_avelorn	500					
60	weather/battle/wh_moon_bow.environment	dlc10_dark_elves_qb_the_moonbow	wh2_dlc10_qb_hef_alith_anar_the_moon_bow_stage_4	script/battle\quest_battles\alith_anar\the_moon_bow\battle_script.lua	classic	0	0	true	quest_battle_1	true	qb_wh2_the_moon_bow	1500					
60	weather/battle/wh_def_swamp_03.environment		wh2_dlc10_qb_nor_monster_hunt_10	script/battle/quest_battles\monster_hunting\monster_10\battle_script.lua	classic	100	-20	true	quest_battle_1	true	def_nor_coast_infield_a	5000					
60	weather/battle/wh_sub_01.environment		wh2_dlc10_qb_nor_monster_hunt_11	script/battle/quest_battles\monster_hunting\monster_11\battle_script.lua	classic	150	0	true	quest_battle_1	true	subterranean_battle_c_skv	5000					
60	weather/battle/wh_vaulsanvil_02.environment		wh2_dlc10_qb_nor_monster_hunt_8	script/battle/quest_battles\monster_hunting\monster_8\battle_script.lua	classic	30	0	true	catchment_03	true	qb_wh2_vauls_anvil	5000	catchment_04				
60	weather/battle/wh_crimson_skull.environment		wh2_dlc10_qb_nor_monster_hunt_9	script/battle/quest_battles\monster_hunting\monster_9\battle_script.lua	classic	150	0	true	quest_battle_2	true	qb_wh2_isle_of_the_crimson_skull	5000					
