battlefield_siege_vehicles_tables	18
hit_points	key	model	battle_entity	gun_type	docking_clearance	engine	image_path	recruitment_cap	uses_8m_wall	uses_15m_wall	cost	category_image_path	special_edition_mask	ignition_threshold	attack_damage	selection_priority	sort_order	autoresolver_effectiveness	audio_type
17000	brt_battering_ram	brt_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	0	0.5	
500	brt_batteringram	brt_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	brt_siege_tower_15m	brt_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	6	1	wh_war_machine_brt_large
17000	bst_battering_ram	bst_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	13	0.5	
500	bst_batteringram	bst_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	bst_siege_tower_15m	bst_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	14	1	
17000	chs_battering_ram	chs_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	1	0.5	
500	chs_batteringram	chs_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	chs_siege_tower_15m	chs_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	7	1	
17000	cst_battering_ram	cst_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	cst_batteringram	cst_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	cst_siege_tower_15m	cst_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	7	1	
17000	def_battering_ram	def_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	def_batteringram	def_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	def_siege_tower_15m	def_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	14	1	
17000	dwf_battering_ram	dwf_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	2	0.5	
500	dwf_batteringram	dwf_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	dwf_siege_tower_15m	dwf_siege_tower_15m	siege_tower		3.1		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	8	1	
17000	emp_battering_ram	emp_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	emp_batteringram	emp_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	emp_siege_tower_15m	emp_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	10	1	
17000	grn_battering_ram	grn_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	4	0.5	
500	grn_batteringram	grn_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	grn_siege_tower_15m	grn_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	11	1	
17000	hef_battering_ram	hef_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	hef_batteringram	hef_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	hef_siege_tower_15m	hef_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	10	1	
17000	lzd_battering_ram	lzd_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	1	0.5	
500	lzd_batteringram	lzd_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
10200	lzd_siege_tower_15m	lzd_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	7	1	wh2_siege_tower_lizardmen
17000	nor_battering_ram	nor_batteringram	nor_battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	1	1	
500	nor_batteringram	nor_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	1	
8500	nor_siege_tower_15m	nor_siege_tower_15m	siege_tower		4.125		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	7	1	
17000	skv_battering_ram	skv_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	3	0.5	
500	skv_batteringram	skv_batteringram	battering_ram		2		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0	1	0	0.5	
