Loc PackedFile	1
key	text	tooltip
battles_description_wh_main_mp_eschen	 	true
battles_localised_name_wh2_main_chokepoint_norsca_chasm	Ironfrost Chasm	true
battles_localised_name_wh2_dlc09_siege_city_q_tmb	Lybaras - Tomb Kings	true
battles_localised_name_wh2_dlc09_siege_city_p_tmb	Khemri - Tomb Kings	true
battles_localised_name_wh2_dlc09_siege_city_h_tmb	Lahmia - Tomb Kings	true
battles_localised_name_wh2_dlc09_siege_city_b_tmb	Black Tower of Arkhan - Tomb Kings	true
battles_localised_name_wh2_dlc09_siege_city_d_tmb	Numas - Tomb Kings	true
battles_localised_name_wh2_dlc09_siege_city_f_tmb	Ka-Sabar - Tomb Kings	true
battles_description_wh_dlc05_wef_qb_battle_of_the_cairns	 	true
battles_description_wh2_qb_dlc11_cst_noctilus_desert	 	true
battles_localised_name_wh2_qb_warp_shard_armour	Warp-Shard Caverns	true
battles_localised_name_wh2_qb_arnheim	Arnheim	true
battles_localised_name_wh2_qb_dlc09_staff_of_nagash	The Black Tower of Arkhan	true
battles_localised_name_wh_main_qb_qb_barrier_idols_v2	The Lost Idols	true
battles_description_def_pet_hills_infield_a_3	 	true
battles_localised_name_wh2_dlc11_cst_island_3_tombking	The Dragon Isles (Tomb Kings)	true
battles_localised_name_wh_main_qb_qb_southern_chaos_wastes	Southern Chaos Wastes	true
battles_localised_name_wh_main_qb_qb_northern_chaos_wastes	Northern Chaos Wastes	true
battles_localised_name_wh_dlc05_wef_qb_night_glens	The Night Glens	true
battles_localised_name_lzd_river_infield_a_1_ambush	Qu'ittax	true
battles_description_wh_main_mp_karak_azgal	 	true
battles_localised_name_wh2_dlc09_unfortified_tmb_b	Palace of the Golden Skull	true
battles_localised_name_wh2_dlc09_unfortified_tmb_c	Seat of Pharakh	true
battles_localised_name_wh2_dlc09_unfortified_tmb_a	City of the Mighty Flame	true
battles_localised_name_wh2_dlc09_unfortified_tmb_d	Necropolis of Numas	true
battles_localised_name_wh2_dlc09_unfortified_tmb_e	Dead City of the Salt Plain	true
battles_localised_name_wh_main_qb_qb_kelp_and_koldust	Kelp & Koldust	true
battles_localised_name_wh2_qb_dlc09_pits_of_zardok	Pits of Zardok	true
battles_localised_name_wh2_qb_tower_of_hoeth	Tower of Hoeth	true
battles_localised_name_wh_main_empire_intro	The Siege of Altdorf	true
battles_localised_name_wh2_qb_dlc11_cylostra_shifting_isles	Shifting Isles	true
battles_description_wh2_main_chokepoint_def_chasm_b	 	true
battles_description_def_ravine_infield_a_1	 	true
battles_localised_name_wh_qb_dlc08_wintertooth_crown	Wintertooth Crown	true
battles_localised_name_def_coast_infield_a_4	Spite Reach	true
battles_localised_name_def_coast_infield_a_3	Doom Glades	true
battles_localised_name_lzd_coast_infield_a_5	lzd_coast_infield_a_5	true
battles_localised_name_lzd_coast_infield_a_2	The Golden Colossus	true
battles_localised_name_lzd_coast_infield_a_3	lzd_coast_infield_a_3	true
battles_localised_name_lzd_coast_infield_a_1	lzd_coast_infield_a_1	true
battles_description_def_plains_infield_a_4	 	true
battles_description_def_plains_infield_a_5	 	true
