Loc PackedFile	1
key	text	tooltip
building_chains_encyclopedia_description_wh2_main_special_pyramid_of_nagash_other	[ph] This pyramid used to be the seat of power of Nagash, the Great Necromancer.	true
building_chains_encyclopedia_description_wh_main_special_settlement_kislev_norscaruin_khorne	Placeholder description	true
building_chains_encyclopedia_description_wh2_main_special_settlement_khemri_other	Placeholder description	true
building_chains_encyclopedia_description_wh2_main_special_settlement_castle_drakenhof_dwf	Placeholder description	true
building_chains_encyclopedia_name_wh_main_NORSCA_creatures	Creatures of Chaos	true
building_chains_encyclopedia_description_wh_main_wef_settlement_major_main_norscaruin_khorne	Placeholder description	true
building_chains_encyclopedia_name_wh_dlc03_GRN-DWF_settlement_minor_beastmenruin_coast	Beastmen Ruins	true
building_chains_encyclopedia_description_wh_main_special_settlement_black_crag_dwarf	Placeholder description	true
building_chains_chain_tooltip_wh2_main_special_settlement_altdorf_dwf	Altdorf	true
building_chains_encyclopedia_name_wh2_dlc11_cst_resource_iron	placeholder	true
building_chains_encyclopedia_description_wh_main_NORSCA_outpost_experience	This chain increases the experience of all units recruited in Norscan outposts, as well as increasing recruitment capacity.	true
building_chains_encyclopedia_name_wh_main_special_reiksfort	Reiksguard	true
building_chains_chain_tooltip_wh2_main_special_settlement_hellpit_wef	Mossy Hell Pit	true
building_chains_chain_tooltip_wh2_main_special_settlement_karaz_a_karak_def	Karaz-a-Karak	true
building_chains_chain_tooltip_wh2_main_special_settlement_karaz_a_karak_hef	Karaz-a-Karak	true
building_chains_encyclopedia_name_wh2_dlc11_cst_resource_wood	placeholder	true
building_chains_chain_tooltip_wh2_main_skv_resource_pasture	Pastures	true
building_chains_chain_tooltip_wh_dlc05_special_city_kislev_woodelves	Overgrown Kislev	true
building_chains_encyclopedia_name_wh2_dlc09_tmb_resource_iron	placeholder	true
building_chains_encyclopedia_name_wh_main_VAMPIRES_ossuary	Boneyard	true
building_chains_encyclopedia_name_wh_dlc06_GREENSKIN_settlement_major_coast_skarsnik	Major Coastal Settlement	true
building_chains_encyclopedia_name_wh2_dlc09_tmb_resource_wood	placeholder	true
building_chains_encyclopedia_description_wh2_main_horde_def_sorcery	[ph] recruits sorceresses onboard black ark. Sorceresses created original black arks by magically lifting cities off the coast and keeping them afloat.	true
building_chains_encyclopedia_description_wh_main_special_settlement_couronne_vampires	Placeholder description	true
building_chains_encyclopedia_description_wh2_main_special_phoenix_king_court	[ph] court of the phoenix king of the high elves, where many nobles come to play their intrigue games	true
building_chains_chain_tooltip_wh2_dlc12_under_empire_annexation_war_camp	War Camp	true
building_chains_encyclopedia_description_wh2_main_special_settlement_naggarond_other	[ph] capital of the dark elves	true
building_chains_chain_tooltip_wh2_main_special_settlement_castle_drakenhof_def	Drakenhof	true
building_chains_chain_tooltip_wh2_main_special_settlement_castle_drakenhof_hef	Drakenhof	true
building_chains_encyclopedia_name_wh2_main_def_worship	Cult of Khaine	true
building_chains_encyclopedia_name_wh2_main_hef_worship	Worship	true
building_chains_encyclopedia_description_wh2_dlc11_vampirecoast_military_flying	Placeholder description	true
building_chains_chain_tooltip_wh_main_wef_settlement_major_norscaruin_khorne	Monolith of the Hound	true
building_chains_encyclopedia_description_wh_main_settlement_major_coast_norscaruin_slaanesh	Placeholder description	true
building_chains_chain_tooltip_wh2_main_special_settlement_skavenblight_other	Occupied Skavenblight	true
building_chains_encyclopedia_name_wh2_main_ritual_lzd	Rituals	true
building_chains_encyclopedia_description_wh2_dlc09_tmb_resource_marble	[ph] generic description for marble (tradable resource)	true
building_chains_chain_tooltip_wh2_main_special_yvresse_amphitheatre	Yvresse Landmark	true
building_chains_chain_tooltip_wh2_main_special_settlement_sartosa_lzd	Sartosa	true
building_chains_encyclopedia_description_wh2_main_special_settlement_colony_major_norscaruin_khorne	Placeholder description	true
building_chains_encyclopedia_name_wh_main_BRETONNIA_hospital	Healing	true
building_chains_encyclopedia_name_wh_main_VAMPIRES_armoury	Armoury	true
building_chains_encyclopedia_name_wh2_dlc11_cst_resource_wine	placeholder	true
building_chains_encyclopedia_name_wh_main_GREENSKINS_resource_iron_military	Metal Upgrades	true
building_chains_encyclopedia_name_wh2_dlc09_tmb_resource_wine	placeholder	true
building_chains_encyclopedia_name_wh2_main_wef_oak_of_ages_occupied	Oak of Ages	true
building_chains_chain_tooltip_wh2_dlc11_vampirecoast_infrastructure_corruption	Corruption	true
building_chains_chain_tooltip_wh2_main_def_resource_animals	Exotic Animals	true
building_chains_chain_tooltip_wh2_main_dwf_resource_animals	Exotic Animals	true
building_chains_chain_tooltip_wh2_main_hef_resource_animals	Exotic Animals	true
building_chains_chain_tooltip_wh2_main_wef_resource_animals	Exotic Animals	true
building_chains_encyclopedia_description_wh_dlc06_special_savage_orc_camp_wurrzag	This chain governs the number of slots that can be built on and provides a garrison force in the event of attack, as well as being vital for provincial growth and stability.	true
building_chains_encyclopedia_name_wh2_main_hef_hunters	Hunters	true
building_chains_chain_tooltip_wh_dlc06_GREENSKIN_boars_skarsnik	Orc Boars	true
building_chains_encyclopedia_name_wh2_main_skv_plagues	Plagues	true
building_chains_chain_tooltip_wh_dlc05_wef_port	Port	true
building_chains_encyclopedia_name_wh2_main_special_ziggurat_of_dawn_beacon_skv	placeholder	true
building_chains_chain_tooltip_wh_main_special_marienburg_port	Special Port	true
building_chains_encyclopedia_name_wh_main_NORSCA_loot	Loot & Plunder	true
building_chains_chain_tooltip_wh_dlc08_special_marienburg_port_norsca	Port	true
building_chains_chain_tooltip_wh2_dlc11_special_ship_cylostra	Special Deck	true
building_chains_chain_tooltip_wh2_dlc09_tmb_outpostnorsca_major	Outpost	true
building_chains_chain_tooltip_wh2_dlc09_tmb_outpostnorsca_minor	Outpost	true
building_chains_encyclopedia_name_wh2_main_special_settlement_skavenblight_norscaruin_khorne	Monolith of the Hound	true
building_chains_encyclopedia_name_wh2_main_lzd_saurus	Underground Spawning Pool	true
building_chains_chain_tooltip_wh_main_BRETONNIA_farm_extra	Milling	true
building_chains_encyclopedia_description_wh2_main_special_fortress_gate_eagle_chaos	[ph] high elf fortress gate	true
building_chains_chain_tooltip_wh_main_VAMPIRES_resource_furs	Wild Game	true
building_chains_chain_tooltip_wh_main_special_bordeleaux_vineyards	Bordeleaux Winemaking	true
building_chains_encyclopedia_description_wh2_main_special_hag_graef_mines	[ph] the largest dark elf  mines are below hag graef, produces iron and stone and other precious stuff which leant the city much wealth and influence.	true
building_chains_encyclopedia_name_wh2_dlc09_tmb_resource_gems	placeholder	true
building_chains_encyclopedia_description_wh_main_special_reiksfort	The Reiksfort enables recruitment of the Empire's formidable Reiksguard troops, among the elite warriors of the Old World.	true
building_chains_encyclopedia_name_wh_main_NORSCA_outpost_experience	Unit Experience (Outposts)	true
building_chains_encyclopedia_name_wh2_dlc11_cst_resource_gems	placeholder	true
building_chains_chain_tooltip_wh_dlc03_horde_beastmen_weapons	Weapons	true
building_chains_encyclopedia_description_wh2_main_foreign_slot_discovery_brt	Placeholder description	true
building_chains_encyclopedia_name_wh2_main_grn_raiders	placeholder	true
building_chains_encyclopedia_description_wh2_main_special_settlement_athel_loren_def	Placeholder description	true
building_chains_encyclopedia_description_wh2_main_special_settlement_athel_loren_hef	Placeholder description	true
building_chains_chain_tooltip_wh2_main_special_settlement_gaean_vale_norscaruin_khorne	Monolith of the Hound	true
building_chains_encyclopedia_description_wh2_dlc11_cst_resource_pottery	[ph] generic description for clay/pottery (tradable resource)	true
building_chains_encyclopedia_name_wh2_main_special_ziggurat_of_dawn_beacon_chs	placeholder	true
building_chains_encyclopedia_description_wh2_main_foreign_slot_discovery_grn	Placeholder description	true
building_chains_encyclopedia_name_wh2_dlc09_tmb_resource_pasture	placeholder	true
building_chains_chain_tooltip_wh2_main_special_fortress_gate_eagle_hef	Fortress Gate	true
building_chains_chain_tooltip_wh2_main_special_fortress_gate_eagle_wef	Fortress Gate	true
