building_chains_tables	6
key	tech_category_tab	encyclopedia_group	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander
wh2_dlc09_ritual_tmb			military	false	wh2_dlc09_sch_ritual_tmb		0	
wh2_dlc09_special_black_tower_of_arkhan			money	false	wh2_dlc09_sch_special_black_tower_of_arkhan		0	
wh2_dlc09_special_black_tower_of_arkhan_other			money	false	wh2_dlc09_sch_special_black_tower_of_arkhan		0	
wh2_dlc09_special_pyramid_alcadizaar			money	false	wh2_dlc09_sch_special_pyramid_alcadizaar		0	
wh2_dlc09_special_pyramid_amenemhetum			money	false	wh2_dlc09_sch_special_pyramid_amenemhetum		0	
wh2_dlc09_special_pyramid_khatep			money	false	wh2_dlc09_sch_special_pyramid_khatep		0	
wh2_dlc09_special_pyramid_phar			money	false	wh2_dlc09_sch_special_pyramid_phar		0	
wh2_dlc09_special_pyramid_settra			money	false	wh2_dlc09_sch_special_pyramid_settra		0	
wh2_dlc09_special_pyramid_tutankhanut			money	false	wh2_dlc09_sch_special_pyramid_tutankhanut		0	
wh2_dlc09_special_settlement_altdorf_tmb			money	false	wh_main_sch_special_settlement_altdorf		0	
wh2_dlc09_special_settlement_athel_loren_tmb			money	false	wh_dlc05_sch_wef_settlement_major_main		0	
wh2_dlc09_special_settlement_black_crag_tmb			money	false	wh_main_sch_special_settlement_black_crag		0	
wh2_dlc09_special_settlement_castle_drakenhof_tmb			money	false	wh_main_sch_special_settlement_castle_drakenhof		0	
wh2_dlc09_special_settlement_couronne_tmb			money	false	wh_main_sch_special_settlement_couronne		0	
wh2_dlc09_special_settlement_eight_peaks_tmb			money	false	wh_main_sch_special_settlement_eight_peaks		0	
wh2_dlc09_special_settlement_gaean_vale_tmb			money	false	wh2_main_sch_special_settlement_gaean_vale		0	
wh2_dlc09_special_settlement_hexoatl_tmb			money	false	wh2_main_sch_special_settlement_hexoatl		0	
wh2_dlc09_special_settlement_itza_tmb			money	false	wh2_main_sch_special_settlement_itza		0	
wh2_dlc09_special_settlement_karaz_a_karak_tmb			money	false	wh_main_sch_special_settlement_karaz_a_karak		0	
wh2_dlc09_special_settlement_khemri_tmb			money	false	wh2_main_sch_special_settlement_khemri	data\UI\Buildings\tier_icons\tier_tmb_khemri.png	0	
wh2_dlc09_special_settlement_kislev_tmb			money	false	wh_main_sch_special_settlement_kislev		0	
wh2_dlc09_special_settlement_lahmia_tmb			money	true	wh2_main_sch_special_settlement_lahmia	data\UI\Buildings\tier_icons\tier_tmb_lahmia.png	0	
wh2_dlc09_special_settlement_lothern_tmb			money	false	wh2_main_sch_special_settlement_lothern		0	
wh2_dlc09_special_settlement_miragliano_tmb			money	false	wh_main_sch_special_settlement_miragliano		0	
wh2_dlc09_special_settlement_naggarond_tmb			money	false	wh2_main_sch_special_settlement_naggarond		0	
wh2_dlc09_special_settlement_pyramid_of_nagash_floating			money	true	wh2_main_sch_special_settlement_pyramid_of_nagash		0	
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb			money	true	wh2_main_sch_special_settlement_pyramid_of_nagash		0	
wh2_dlc09_tmb_arkhan_burial_mound			military	false	wh2_main_sch_military6		7	
wh2_dlc09_tmb_cavalry			military	false	wh2_main_sch_military2_stables		2	
