building_culture_variants_tables	4
building	culture	description	icon	subculture	faction	disables	short_description	display_tooltip
wh2_dlc09_ritual_tmb_1		wh_main_PLACEHOLDER	tmb_ritual_tomb			false	wh2_dlc09_ritual_tmb_1	true
wh2_dlc09_ritual_tmb_2		wh_main_PLACEHOLDER	tmb_ritual_tomb			false	wh2_dlc09_ritual_tmb_2	true
wh2_dlc09_special_black_tower_of_arkhan_other		wh_main_PLACEHOLDER	tmb_black_tower_of_arkhan			false	wh2_dlc09_special_black_tower_of_arkhan	true
wh2_dlc09_special_black_tower_of_arkhan_other		wh_main_PLACEHOLDER	tmb_black_tower_of_arkhan		wh2_dlc09_tmb_followers_of_nagash	true	wh2_dlc09_special_black_tower_of_arkhan	true
wh2_dlc09_special_black_tower_of_arkhan		wh_main_PLACEHOLDER	tmb_black_tower_of_arkhan		wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_special_black_tower_of_arkhan	true
wh2_dlc09_special_pyramid_alcadizaar		wh_main_PLACEHOLDER	tmb_ pyramid_of_king_alcadizaar			false	wh2_dlc09_special_pyramid_alcadizaar	true
wh2_dlc09_special_pyramid_amenemhetum		wh_main_PLACEHOLDER	tmb_pyramid_of_king_amenemhetum			false	wh2_dlc09_special_pyramid_amenemhetum	true
wh2_dlc09_special_pyramid_khatep		wh_main_PLACEHOLDER	tmb_ pyramid_of_king_khatep			false	wh2_dlc09_special_pyramid_khatep	true
wh2_dlc09_special_pyramid_phar		wh_main_PLACEHOLDER	tmb_pyramid_of_king_phar			false	wh2_dlc09_special_pyramid_phar	true
wh2_dlc09_special_pyramid_settra		wh_main_PLACEHOLDER	tmb_ great_pyramid_of_settra			false	wh2_dlc09_special_pyramid_settra	true
wh2_dlc09_special_pyramid_tutankhanut		wh_main_PLACEHOLDER	tmb_pyramid_of_prince_tutankhanut			false	wh2_dlc09_special_pyramid_tutankhanut	true
wh2_dlc09_special_settlement_altdorf_tmb_1		wh_main_PLACEHOLDER	empire_city_altdorf			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_altdorf_tmb_2		wh_main_PLACEHOLDER	empire_city_altdorf			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_altdorf_tmb_3		wh_main_PLACEHOLDER	empire_city_altdorf			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_altdorf_tmb_4		wh_main_PLACEHOLDER	empire_city_altdorf			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_altdorf_tmb_5		wh_main_PLACEHOLDER	empire_city_altdorf			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_altdorf_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_athel_loren_tmb_1		wh_main_PLACEHOLDER	wood_elves_city			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_athel_loren_tmb_2		wh_main_PLACEHOLDER	wood_elves_city			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_athel_loren_tmb_3		wh_main_PLACEHOLDER	wood_elves_city			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_athel_loren_tmb_4		wh_main_PLACEHOLDER	wood_elves_city			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_athel_loren_tmb_5		wh_main_PLACEHOLDER	wood_elves_city			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_athel_loren_tmb_ruin		wh_main_PLACEHOLDER	wood_elves_city			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_black_crag_tmb_1		wh_main_PLACEHOLDER	dwarfs_black_crag			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_black_crag_tmb_2		wh_main_PLACEHOLDER	dwarfs_black_crag			false	wh2_dlc09_tmb_settlement_major_2	true
wh2_dlc09_special_settlement_black_crag_tmb_3		wh_main_PLACEHOLDER	dwarfs_black_crag			false	wh2_dlc09_tmb_settlement_major_3	true
wh2_dlc09_special_settlement_black_crag_tmb_4		wh_main_PLACEHOLDER	dwarfs_black_crag			false	wh2_dlc09_tmb_settlement_major_4	true
wh2_dlc09_special_settlement_black_crag_tmb_5		wh_main_PLACEHOLDER	dwarfs_black_crag			false	wh2_dlc09_tmb_settlement_major_5	true
wh2_dlc09_special_settlement_black_crag_tmb_ruin		wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin			false	wh_main_settlement_major_ruin	true
wh2_dlc09_special_settlement_castle_drakenhof_tmb_1		wh_main_PLACEHOLDER	vampire_city_castle_drakenhof			false	wh2_dlc09_tmb_settlement_major_1	true
wh2_dlc09_special_settlement_castle_drakenhof_tmb_2		wh_main_PLACEHOLDER	vampire_city_castle_drakenhof			false	wh2_dlc09_tmb_settlement_major_2	true
