building_level_armed_citizenry_junctions_tables	1
building_level	id	unit_group
wh2_dlc11_special_settlement_galleons_graveyard_4	1000030712	wh2_dlc11_cst_inf_depth_guard_0
wh2_main_special_settlement_lothern_cst_3	1000106768	wh2_dlc11_cst_inf_zombie_deckhands_mob_0
wh2_main_special_settlement_hellpit_other_5	1000200420	wh2_main_hef_inf_white_lions_of_thrace_0
wh_main_brt_outpostnorsca_major_2	1000228109	wh_dlc07_brt_inf_spearmen_at_arms_1
wh2_main_special_settlement_gaean_vale_grn_5	1000231071	wh_main_grn_inf_night_goblin_archers
wh2_main_special_settlement_altdorf_skv_3	1000498266	wh2_main_skv_cha_warlock_engineer
wh2_main_special_settlement_sartosa_emp_4	1000583736	wh_main_emp_inf_greatswords
wh2_main_special_settlement_lahmia_lzd_1	1000682591	wh2_main_lzd_inf_skink_cohort_0
wh2_main_rogue_settlement_major_coast_3	1000698493	wh_main_chs_mon_chaos_warhounds_1
wh2_main_rogue_settlement_major_2	1000734262	wh2_main_hef_cav_ellyrian_reavers_0
wh2_main_special_settlement_colony_major_other_3	1000864136	wh_dlc08_nor_cha_skin_wolf_werekin_0
wh2_main_special_settlement_colony_minor_other_2	1001093284	wh_main_nor_inf_chaos_marauders_0
wh2_main_rogue_settlement_minor_2	1001094629	wh2_main_skv_mon_hell_pit_abomination
wh2_main_rogue_settlement_major_coast_2	1001327467	wh_main_brt_inf_men_at_arms
wh2_main_rogue_outpostnorsca_minor_2	1001493343	wh_main_grn_inf_black_orcs
wh2_dlc11_special_settlement_galleons_graveyard_5	1001712915	wh2_dlc11_cst_inf_depth_guard_0
wh_main_nor_settlement_major_5	1001800906	wh_dlc08_nor_inf_marauder_champions_0
wh2_main_special_settlement_couronne_skv_1	1001855319	wh2_main_skv_inf_clanrats_0
wh2_main_rogue_settlement_major_3	1001978980	wh2_main_def_cav_cold_one_knights_1
wh2_main_special_settlement_the_awakening_lzd_1	1002195037	wh2_main_lzd_inf_saurus_warriors_0
wh2_main_rogue_outpostnorsca_minor_2	1002277951	wh_main_chs_cav_marauder_horsemen_0
