Loc PackedFile	1
key	text	tooltip
building_short_description_texts_short_description_wh_main_dwf_port_3	Large port-cities are strategically key during wartime, for they are home to its great fleets, both military or mercantile.	true
building_short_description_texts_short_description_wh_main_dwf_port_2	Whether man-made or natural, a harbour is a place for vessels to wait out Stromfels' rage. 	true
building_short_description_texts_short_description_wh_main_dwf_port_1	Wharfs are platforms jutting out of the water, allowing ships to be boarded easily.	true
building_short_description_texts_short_description_wh_dlc05_wef_temple_isha_1	The Mother watches over all her children.	true
building_short_description_texts_short_description_wh_main_vmp_necromancers_2	Any Necromancer worth his infamy needs a dread tower from which to conduct blasphemous experiments and research.	true
building_short_description_texts_short_description_wh_main_vmp_necromancers_1	From private collections to tomes gathered in temple vaults, Necromancers will do anything to seek out forbidden lore. 	true
building_short_description_texts_short_description_wh_dlc05_wef_outpost_replenishment_1	The towering obelisk channels the Winds of Magic where they can do no harm. 	true
building_short_description_texts_short_description_wh_main_emp_port_1	Wharfs are platforms jutting out of the water, allowing ships to be boarded easily.	true
building_short_description_texts_short_description_wh_main_emp_port_3	Large port-cities are strategically key during wartime, for they are home to its great fleets, both military or mercantile.	true
building_short_description_texts_short_description_wh_main_emp_port_2	Whether man-made or natural, a harbour is a place for vessels to wait out Stromfels' rage. 	true
building_short_description_texts_short_description_wh_dlc05_wef_walls_1	The forest protects those who come to its defence. 	true
building_short_description_texts_short_description_wh_dlc05_wef_walls_3	The strength of the Skycrown Oak is legendary.	true
building_short_description_texts_short_description_wh_dlc05_wef_walls_2	The gnarled and barbed rockbriar can be moulded in to excellent defences.	true
building_short_description_texts_short_description_wh2_dlc09_tmb_resource_iron_1	New iron is required for swords, for shields, for war; not all of Nehekhara is left to rot.	true
building_short_description_texts_short_description_wh_main_brt_legendary_port_ruin	This city lies in ruins. Nothing remains but destruction, ashes and the sorrowful taste of defeat.	true
building_short_description_texts_short_description_wh2_dlc12_under_empire_discovery_assassins_1	Emerging from man-sized sinkholes, scurrying shadows ruthlessly silence anyone with forbidden knowledge of the Under-City’s existence.	true
building_short_description_texts_short_description_wh2_dlc12_under_empire_discovery_assassins_2	From assigned posts, clandestine killers keep the surface-dwellers oblivious to the menace that skittishly plots beneath their feet.	true
building_short_description_texts_short_description_wh2_main_special_peg_street_pawnshop	All manner of questionable items eventually end up here. Buyers beware, however, as pickpockets relieve customers of their valuables almost immediately.	true
building_short_description_texts_short_description_wh_dlc05_wef_outpost_waystone	The towering obelisk channels the Winds of Magic where they can do no harm. 	true
building_short_description_texts_short_description_wh_main_talabec_worship_2	The greatest temple to Taal is found in Talabheim, the cratered city at the centre of the Empire.	true
building_short_description_texts_short_description_wh_main_talabec_worship_1	Taal's shrines are rustic abodes, small circular buildings with conical roofs, topped with the skull of a stag. 	true
building_short_description_texts_short_description_wh_main_grn_port_2	Whether man-made or natural, a harbour is a place for vessels to wait out Stromfels' rage. 	true
building_short_description_texts_short_description_wh_main_grn_port_3	Large port-cities are strategically key during wartime, for they are home to its great fleets, both military or mercantile.	true
building_short_description_texts_short_description_wh_main_grn_port_1	Wharfs are platforms jutting out of the water, allowing ships to be boarded easily.	true
