cai_personality_deal_evaluation_components_tables	8
id	max_payment_value	payment_treachery_value	payment_offered_multiplier_under	payment_requested_multiplier	payment_offered_multiplier_over	peace_penalty	peace_penalty_turns	war_penalty	war_penalty_turns	trespassing_peace_effect_multiplier	trespassing_peace_effect_cap	trespassing_war_effect_multiplier	trespassing_war_effect_cap	confederation_bonus	short_description	long_description	war_break_treaty_bonus_towards_victory_region_owners	peace_sign_treaty_penalty_towards_victory_region_owners
aggressive	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_diplomat	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_diplomatic	personality_desc_long_diplomatic	10	10
aggressive_diplomat_unfriendly	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_diplomatic	personality_desc_long_diplomatic	10	10
aggressive_joins_strong	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_joins_strong_subordinate	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_underdog	personality_desc_long_underdog	10	10
aggressive_joins_strong_unfriendly	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_reliable	30	0	12	1	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_reliable_unfriendly	30	0	12	1	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_repulsive	50	0	300	2	300	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_repulsive	personality_desc_long_repulsive	10	10
aggressive_repulsive_joins_strong	50	0	300	2	300	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_repulsive	personality_desc_long_repulsive	10	10
aggressive_straightforward	50	0	10	1.5	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_straightforward	personality_desc_long_straightforward	10	10
aggressive_straightforward_unfriendly	50	0	10	1.5	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_straightforward	personality_desc_long_straightforward	10	10
aggressive_unfriendly	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_unreliable	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_unreliable_joins_strong	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_unreliable_joins_strong_lategame	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_unreliable_joins_strong_subordinate	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_underdog	personality_desc_long_underdog	10	10
aggressive_unreliable_joins_strong_unfriendly	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_unreliable_joins_strong_unfriendly_lategame	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_unreliable_lategame	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_unreliable_repulsive	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_repulsive	personality_desc_long_repulsive	10	10
aggressive_unreliable_schemer_lategame	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
aggressive_unreliable_schemer_unfriendly_lategame	50	0	10	2	50	50	15	40	10	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
aggressive_unreliable_unfriendly	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
aggressive_unreliable_unfriendly_lategame	70	0	10	4	50	50	15	40	10	0.1	15	-0.1	15	15			10	10
confederated	10	0	300	2	300	20	25	40	20	0.1	15	-0.1	15	15	personality_desc_short_beaten	personality_desc_long_beaten	0	0
default	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
default_subordinate	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_underdog	personality_desc_long_underdog	10	10
default_trader	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
default_trader_unfriendly	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
default_unfriendly	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15			10	10
defensive	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_diplomat	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_diplomatic	personality_desc_long_diplomatic	10	10
defensive_diplomat_unfriendly	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_diplomatic	personality_desc_long_diplomatic	10	10
defensive_passive	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_passive	personality_desc_long_passive	10	10
defensive_passive_nopeace	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_passive	personality_desc_long_passive	10	10
defensive_reliable	30	0	12	1	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_reliable_passive	30	0	12	1	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_passive	personality_desc_long_passive	10	10
defensive_reliable_subordinate	30	0	12	1	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_underdog	personality_desc_long_underdog	10	10
defensive_reliable_trader	30	0	12	1	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_reliable_trader_unfriendly	30	0	12	1	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_reliable_unfriendly	30	0	12	1	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_schemer	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
defensive_schemer_unfriendly	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
defensive_subordinate	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_underdog	personality_desc_long_underdog	10	10
defensive_trader	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_trader_unfriendly	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_unfriendly	50	0	10	2	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_unreliable	70	0	10	4	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
defensive_unreliable_passive	70	0	10	4	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_passive	personality_desc_long_passive	10	10
defensive_unreliable_schemer	70	0	10	4	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
defensive_unreliable_schemer_unfriendly	70	0	10	4	50	50	10	40	15	0.1	15	-0.1	15	15	personality_desc_short_schemer	personality_desc_long_schemer	10	10
defensive_unreliable_unfriendly	70	0	10	4	50	50	10	40	15	0.1	15	-0.1	15	15			10	10
diplomat	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_diplomatic	personality_desc_long_diplomatic	10	10
diplomat_unfriendly	50	0	10	2	50	50	10	40	10	0.1	15	-0.1	15	15	personality_desc_short_diplomatic	personality_desc_long_diplomatic	10	10
dlc03_beastman_friendly	15	0	6	10000	10000	50	15	40	10	0.1	15	-0.1	15	15			10	10
