cai_personality_strategic_components_tables	10
friendly_towards_enemy_multiplier	friendly_towards_friend_multiplier	hostile_towards_enemy_multiplier	hostile_towards_friend_multiplier	id	max_friendly_attitude	max_hostile_attitude	unknown_faction_multiplier	max_merc_proportion	min_merc_cap	enemy_strength_modifier	enemy_threat_strength_modifier	min_retreat_ratio	min_retreat_to_settlement_ratio	strategic_balance_opportunism_factor	fortified_settlement_assault_strength_modifier	fortified_settlement_defend_strength_modifier	short_description	long_description	last_settlement_modifier	min_refuse_tunneling_intercept_ratio	use_classic_stance_generation_mechanics
-0.5	0.2	0.5	-0.2	aggressive	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	0.55	1	2			5	1	false
-0.5	0.2	0.5	-0.2	aggressive_darkelf	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	0.55	1	2	personality_desc_short_master_of_lands	personality_desc_long_master_of_lands	5	1	false
-0.5	0.2	0.5	-0.2	aggressive_frenzied	100	-100	0.3	0.5	0	0.3	0.3	0.1	0.1	0.55	1	2			5	0.3	false
-1	0.2	0.5	-0.55	aggressive_holds_grudges	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	0.55	1	2			5	1	false
-1	0.050000004	0.050000004	-0.55	aggressive_holds_grudges_late_game	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	0.55	1	2			5	1	false
-0.25	0.1	0.25	-0.1	aggressive_home_defender	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	0.55	1	2	personality_desc_short_home_defender	personality_desc_long_home_defender	5	1	false
-0.5	0.2	0.5	-0.2	aggressive_horde	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	0.55	1	2			5	1	false
-0.5	0.050000004	0.050000004	-0.2	aggressive_late_game	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	0.55	1	2			5	1	false
-0.5	0.2	0.5	-0.2	aggressive_opportunist	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	1	1	2			5	1	false
-0.5	0.050000004	0.050000004	-0.2	aggressive_opportunist_late_game	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	1	1	2			5	1	false
-0.5	0.2	0.5	-0.2	aggressive_opportunist_vamp	100	-100	0.3	1	0	0.65	0.65	0.45	0.55	1	1	2			5	1	false
-0.5	0.050000004	0.050000004	-0.2	aggressive_opportunist_vamp_late_game	100	-100	0.3	1	0	0.65	0.65	0.45	0.55	1	1	2			5	1	false
-0.5	0.2	0.5	-0.2	aggressive_straightforward	100	-100	0.3	0.5	0	0.65	0.65	0.45	0.55	0.55	1	2			5	1	false
-0.5	0.2	0.5	-0.2	cowardly	100	-100	0.3	0.5	0	0.8999999	0.8999999	0.85	0.85	0.55	0.8	2	personality_desc_short_cowardly	personality_desc_long_cowardly	5	0.8999999	false
-0.5	0.2	0.5	-0.2	darkelf	100	-100	0.3	0.5	0	0.85	0.85	0.6	0.7	0.55	1	2	personality_desc_short_master_of_lands	personality_desc_long_master_of_lands	5	1	false
-0.5	0.2	0.5	-0.2	default	100	-100	0.3	0.5	0	0.85	0.85	0.6	0.7	0.55	1	2			5	1	false
-0.5	0.050000004	0.050000004	-0.2	default_late_game	100	-100	0.3	0.5	0	0.85	0.85	0.6	0.7	0.55	1	2			5	1	false
-0.5	0.2	0.5	-0.2	defensive	100	-100	0.3	0.5	0	1	1	0.8	0.8999999	0.55	0.8	2			5	1.1	false
-1	0.2	0.5	-0.55	defensive_holds_grudges	100	-100	0.3	0.5	0	1	1	0.8	0.8999999	0.55	0.8	2			5	1.1	false
-1	0.050000004	0.050000004	-0.55	defensive_holds_grudges_late_game	100	-100	0.3	0.5	0	1	1	0.8	0.8999999	0.55	0.8	2			5	1.1	false
-0.5	0.050000004	0.050000004	-0.2	defensive_late_game	100	-100	0.3	0.5	0	1	1	0.8	0.8999999	0.55	0.8	2			5	1.1	false
0	0	0	0	dlc08_challenger	100	-100	1	0.25	0	0.8999999	0.8999999	0.5	0.5	0.5	1	1.5			1	1	false
-0.5	0.2	0.5	-0.2	foolishly_brave	100	-100	0.3	0.5	0	0.65	0.1	0.1	0.1	0.55	1	2			5	1	false
-1	0.2	0.5	-0.55	holds_grudges	100	-100	0.3	0.5	0	0.85	0.85	0.6	0.7	0.55	1	2			5	1	false
-0.25	0.1	0.25	-0.1	home_defender	100	-100	0.3	0.5	0	0.85	0.85	0.6	0.7	0.55	1	2	personality_desc_short_home_defender	personality_desc_long_home_defender	5	1	false
-0.5	0.2	0.5	-0.2	ignore_threat	100	-100	0.3	0.5	0	0.65	0.1	0.45	0.55	0.55	1	2			5	1	false
-0.5	0.2	0.5	-0.2	opportunist	100	-100	0.3	0.5	0	0.85	0.85	0.6	0.7	1	1	2			5	1	false
-0.5	0.2	0.5	-0.2	opportunist_vamp	100	-100	0.3	1	0	0.85	0.85	0.6	0.7	1	1	2			5	1	false
-0.5	0.050000004	0.050000004	-0.2	opportunist_vamp_late_game	100	-100	0.3	1	0	0.85	0.85	0.6	0.7	1	1	2			5	1	false
-0.5	0.2	0.5	-0.2	straightforward	100	-100	0.3	0.5	0	0.85	0.85	0.6	0.7	0.55	1	2			5	1	false
-0.5	0.2	0.5	-0.2	survivor	100	-100	0.3	0.5	0	1	1	0.8	0.8999999	0.55	0.8	2	personality_desc_short_survivor	personality_desc_long_survivor	5	1.1	false
