cai_region_hint_groups_tables	0
key	region_group_key	region_hint_key
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF_GRAND_CAMPAIGN	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_TMB	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY
CAPTURE_VICTORY_CONDITIONS_COMMON_OAK	VICTORY_CONDITION_REGIONS_OAK_OF_AGES	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITIONS_EMP	VICTORY_CONDITION_REGIONS_EMP	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY
CAPTURE_VICTORY_CONDITIONS_HEF	VICTORY_CONDITION_REGIONS_HEF	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITIONS_KHALIDA	VICTORY_CONDITION_REGIONS_KHALIDA	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITIONS_TMB	VICTORY_CONDITION_REGIONS_TMB	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_BRT	VICTORY_CONDITION_REGIONS_BRT	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY
CAPTURE_VICTORY_CONDITION_REGIONS_BST	VICTORY_CONDITION_REGIONS_BST	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_BST_ALLY	VICTORY_CONDITION_REGIONS_BST_ALLY	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_BST_CHAOS	VICTORY_CONDITION_REGIONS_BST_CHAOS	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_DEF	VICTORY_CONDITION_REGIONS_DEF	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_DWF	VICTORY_CONDITION_REGIONS_DWF	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_LZD	VICTORY_CONDITION_REGIONS_LZD	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_SKV	VICTORY_CONDITION_REGIONS_SKV	CAPTURE_VICTORY_CONDITIONS
DLC10_CAPTURE_VICTORY_CONDITIONS_SHRINE	DLC10_VICTORY_CONDITIONS_SHRINE	CAPTURE_VICTORY_CONDITIONS
