campaign_bonus_value_battle_context_faction_junctions_tables	0
battle_context_key	faction_key
fighting_chaos_factions	wh_main_chs_chaos
fighting_chaos_factions	wh_main_chs_chaos_rebels
fighting_faction_bretonnia	wh_main_brt_bretonnia
fighting_faction_empire	wh_main_emp_empire
fighting_faction_hochland	wh_main_emp_hochland
fighting_faction_middenland	wh_main_emp_middenland
fighting_faction_tilea	wh_main_teb_tilea
fighting_norscan_factions	wh_dlc08_nor_goromadny_tribe
fighting_norscan_factions	wh_dlc08_nor_helspire_tribe
fighting_norscan_factions	wh_dlc08_nor_naglfarlings
fighting_norscan_factions	wh_dlc08_nor_norsca
fighting_norscan_factions	wh_dlc08_nor_vanaheimlings
fighting_norscan_factions	wh_dlc08_nor_wintertooth
fighting_norscan_factions	wh_main_nor_aesling
fighting_norscan_factions	wh_main_nor_baersonling
fighting_norscan_factions	wh_main_nor_bjornling
fighting_norscan_factions	wh_main_nor_graeling
fighting_norscan_factions	wh_main_nor_norsca_rebels
fighting_norscan_factions	wh_main_nor_sarl
fighting_norscan_factions	wh_main_nor_skaeling
fighting_norscan_factions	wh_main_nor_varg
