campaign_bonus_value_battle_context_force_status_junctions_tables	0
battle_context_key	force_status_key	is_yours
fighting_force_status_theirs_besieging	beseiging	false
fighting_force_status_theirs_blockading	blockading	false
fighting_force_status_theirs_raiding_army	land	false
fighting_force_status_theirs_raiding_army	raiding	false
fighting_force_status_theirs_raiding_fleet	raiding	false
fighting_force_status_theirs_raiding_fleet	sea	false
fighting_force_status_theirs_rebels	rebels	false
fighting_force_status_yours_ambushing_ground_type_desert	ambushing	true
fighting_force_status_yours_ambushing_ground_type_forest	ambushing	true
fighting_force_status_yours_ambushing	ambushing	true
fighting_force_status_yours_attacking_at_sea	attacking	true
fighting_force_status_yours_attacking_at_sea	sea	true
fighting_force_status_yours_attacking_battle_type_break_out	attacking	true
fighting_force_status_yours_attacking_battle_type_sally_out	attacking	true
fighting_force_status_yours_attacking	attacking	true
fighting_force_status_yours_besieging	beseiging	true
fighting_force_status_yours_defending_at_sea	defending	true
fighting_force_status_yours_defending_at_sea	sea	true
fighting_force_status_yours_defending	defending	true
fighting_force_status_yours_escorting	escorting	true
fighting_territory_enemy_or_neutral_army	land	true
fighting_territory_enemy_or_neutral_navy	sea	true
fighting_territory_own_or_allied_army	land	true
fighting_territory_own_or_allied_navy	sea	true
