campaign_building_level_factorial_effect_junctions_tables	2
building_level	factorial_effect	key	value	scope
wh2_main_special_fortress_gate_eagle_hef_3	skaven_discoverability_buildings_settlement	1010235471	20	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_discovery_assassins_1	skaven_discoverability_buildings	1037212257	-20	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_griffon_hef_3	skaven_discoverability_buildings_settlement	1081903136	20	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_warpstone_refinery_1	skaven_discoverability_buildings	1171293782	40	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_griffon_hef_1	skaven_discoverability_buildings_settlement	1235237209	10	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_hef_1	skaven_discoverability_buildings_settlement	1267356808	40	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_cst_1	skaven_discoverability_buildings_settlement	1271576847	40	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_settlement_warren_3	skaven_discoverability_buildings	1292139918	30	EFS_ONLY_OWNER
wh2_dlc12_under_empire_money_thieves_1	skaven_discoverability_buildings	1294025795	20	EFS_ONLY_OWNER
wh2_main_foreign_slot_discovery_nor_1	skaven_discoverability_buildings_settlement	1298892593	40	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_discovery_assassins_2	skaven_discoverability_buildings	130249219	-40	EFS_ONLY_OWNER
wh2_dlc12_under_empire_settlement_warren_1	skaven_discoverability_buildings	1339741929	10	EFS_ONLY_OWNER
wh2_dlc12_under_empire_annexation_doomsday_1	skaven_discoverability_buildings	1402446007	160	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_eagle_hef_2	skaven_discoverability_buildings_settlement	1436139005	10	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_tmb_1	skaven_discoverability_buildings_settlement	1454237160	40	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_emp_1	skaven_discoverability_buildings_settlement	1485532128	40	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_settlement_stronghold_3	skaven_discoverability_buildings	15640197	30	EFS_ONLY_OWNER
wh2_main_foreign_slot_discovery_lzd_1	skaven_discoverability_buildings_settlement	1586489656	40	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_annexation_war_camp_1	skaven_discoverability_buildings	1652467340	140	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_phoenix_hef_2	skaven_discoverability_buildings_settlement	1656412906	10	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_griffon_hef_4	skaven_discoverability_buildings_settlement	1714461957	20	EFS_ONLY_OTHERS
wh2_main_foreign_slot_discovery_def_1	skaven_discoverability_buildings_settlement	1791186425	40	EFS_ONLY_OTHERS
wh2_main_special_fortress_gate_unicorn_hef_4	skaven_discoverability_buildings_settlement	1803158423	20	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_settlement_stronghold_1	skaven_discoverability_buildings	1804227223	10	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_eagle_hef_1	skaven_discoverability_buildings_settlement	1813155730	10	EFS_ONLY_OTHERS
wh_dlc05_wef_oak_of_ages_2	skaven_discoverability_buildings_settlement	1829104892	60	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_money_crafting_2	skaven_discoverability_buildings	1836044474	40	EFS_ONLY_OWNER
wh2_main_special_fortress_gate_unicorn_hef_3	skaven_discoverability_buildings_settlement	1851202167	20	EFS_ONLY_OTHERS
wh2_dlc12_under_empire_food_kidnappers_2	skaven_discoverability_buildings	1858419127	40	EFS_ONLY_OWNER
