Loc PackedFile	1
key	text	tooltip
campaign_effect_scopes_localised_text_region_to_region_own		true
campaign_effect_scopes_localised_text_faction_to_province_own_unseen		true
campaign_effect_scopes_localised_text_this_building		true
campaign_effect_scopes_localised_text_faction_to_province_own	\n(all provinces)	true
campaign_effect_scopes_localised_text_character_to_force_own_unseen		true
campaign_effect_scopes_localised_text_force_to_province_enemy	\n(enemy province)	true
campaign_effect_scopes_localised_text_foreign_building_to_adjacent_province	\n(all adjacent provinces)	true
campaign_effect_scopes_localised_text_force_to_province_own	\n(local province)	true
campaign_effect_scopes_localised_text_foreign_building_to_faction_own	\n(factionwide)	true
campaign_effect_scopes_localised_text_faction_to_force_own_increasing	 [[col:yellow]](increasing)[[/col]]	true
campaign_effect_scopes_localised_text_grombrindal_faction_to_force	\n(Grombrindal's army)	true
campaign_effect_scopes_localised_text_character_to_force_enemy_provincewide	\n(local enemy armies)	true
campaign_effect_scopes_localised_text_building_to_faction_own		true
campaign_effect_scopes_localised_text_region_to_character_own_text	\n(local characters)	true
campaign_effect_scopes_localised_text_foreign_building_to_region_own_dummy_adjacency	\n(this province and all adjacent provinces)	true
campaign_effect_scopes_localised_text_province_to_regions_own_in_adjacent_province	\n(all regions in adjacent provinces)	true
campaign_effect_scopes_localised_text_region_to_faction_own		true
campaign_effect_scopes_localised_text_region_to_province_own		true
campaign_effect_scopes_localised_text_army_to_army_own_unseen		true
campaign_effect_scopes_localised_text_faction_to_character_own_unseen		true
campaign_effect_scopes_localised_text_character_to_enemy_character_in_region	\n(enemy characters in region)	true
campaign_effect_scopes_localised_text_faction_to_force_own	\n(all armies)	true
campaign_effect_scopes_localised_text_faction_to_character_own_agents	\n(all agents)	true
campaign_effect_scopes_localised_text_faction_to_region_own_unseen		true
campaign_effect_scopes_localised_text_grombrindal_faction_to_province	\n(Grombrindal's province)	true
campaign_effect_scopes_localised_text_force_to_force_own_lords_army	\n([[img:icon_general]][[/img]]Lord's army)	true
campaign_effect_scopes_localised_text_faction_to_faction_own	\n(factionwide)	true
campaign_effect_scopes_localised_text_region_to_character_enemy_text	\n(local enemy armies)	true
