campaign_effect_scopes_tables	2
key	location	ownership	source	target	territory
agent_to_parent_army_general_own	forcewide	yours	character	character_when_commanding_army	any
agent_to_parent_army_own	forcewide	yours	character	force	any
army_to_army_own	forcewide	yours	army	army	any
army_to_army_own_unseen	forcewide	yours	army	army	any
building_to_building_own	buildingwide	yours	faction	building	any
building_to_character_in_adjacent_regions	neighbour_region	yours	building	character_when_commanding_army	any
building_to_faction_own	factionwide	yours	building	faction	any
building_to_force_own_factionwide	factionwide	yours	building	force	any
building_to_force_own_in_adjacent_province_unseen	neighbour_faction_province	yours	building	force	any
building_to_force_own_provincewide_unseen	provincewide	yours	building	force	any
building_to_forces_enemy_regionwide	regionwide	enemy	building	force	any
building_to_forces_own_regionwide	regionwide	yours	building	force	any
character_to_any_province	provincewide	any	character	province	any
character_to_character_own	character	yours	character	character	any
character_to_character_own_armytext	character	yours	character	character	any
character_to_character_own_banner	character	yours	character	character	any
character_to_character_own_banner_black_orcs	character	yours	character	character	any
character_to_character_own_banner_goblins	character	yours	character	character	any
character_to_character_own_factionwide	factionwide	yours	character	character	any
character_to_character_own_provincetext	character	yours	character	character	any
character_to_character_provincewide	provincewide	yours	character	character	any
character_to_character_regionwide	regionwide	yours	character	character	any
character_to_character_regionwide_local_region	regionwide	yours	character	character	any
character_to_enemy_character_in_region	regionwide	enemy	character	character	any
character_to_enemy_province	provincewide	enemy	character	province	enemy
character_to_enemy_region_provincewide	provincewide	enemy	character	region	any
character_to_faction	factionwide	yours	character	faction	any
character_to_faction_unseen	factionwide	yours	character	faction	any
character_to_force_enemy_provincewide	provincewide	enemy	character	force	any
character_to_force_own	forcewide	yours	character	force	any
character_to_force_own_factionwide	factionwide	yours	character	force	any
character_to_force_own_provincewide	provincewide	yours	character	force	any
character_to_force_own_unseen	forcewide	yours	character	force	any
character_to_force_regionwide_own	regionwide	yours	character	force	yours
character_to_general_own_factionwide	factionwide	yours	character	character	any
character_to_province_own	provincewide	yours	character	province	any
character_to_province_own_factionwide	factionwide	yours	character	province	any
character_to_province_own_unseen	provincewide	yours	character	province	any
character_to_region_enemy_provincewide	provincewide	enemy	character	region	any
character_to_region_enemy_text	regionwide	enemy	character	region	any
character_to_region_own	regionwide	yours	character	region	any
character_to_region_own_factionwide	factionwide	yours	character	region	any
character_to_region_own_provincewide	provincewide	yours	character	region	any
character_to_region_own_pseudo_provincewide	regionwide	yours	character	region	any
character_to_region_own_text	regionwide	yours	character	region	any
faction_to_army_own	factionwide	yours	faction	army	any
faction_to_army_own_unseen	factionwide	yours	faction	army	any
faction_to_character_own	factionwide	yours	faction	character	any
faction_to_character_own_agents	factionwide	yours	faction	character	any
faction_to_character_own_unseen	factionwide	yours	faction	character	any
faction_to_character_own_unseen_heroes_only	factionwide	yours	faction	character	any
faction_to_character_own_unseen_lords_only	factionwide	yours	faction	character	any
faction_to_faction_own	factionwide	yours	faction	faction	any
faction_to_faction_own_decreasing	factionwide	yours	faction	faction	any
faction_to_faction_own_increasing	factionwide	yours	faction	faction	any
faction_to_faction_own_unseen	factionwide	yours	faction	faction	any
faction_to_force_enemy	factionwide	enemy	faction	force	any
faction_to_force_own	factionwide	yours	faction	force	any
faction_to_force_own_increasing	factionwide	yours	faction	force	any
faction_to_force_own_unseen	factionwide	yours	faction	force	any
faction_to_foreign_building_unseen	factionwide	yours	faction	foreign_building	any
faction_to_navy_own	factionwide	yours	faction	navy	any
faction_to_province_own	factionwide	yours	faction	province	any
faction_to_province_own_decreasing	factionwide	yours	faction	province	any
faction_to_province_own_factionwide	factionwide	yours	faction	province	any
faction_to_province_own_increasing	factionwide	yours	faction	province	any
faction_to_province_own_unseen	factionwide	yours	faction	province	any
faction_to_region_own	factionwide	yours	faction	region	any
faction_to_region_own_decreasing	factionwide	yours	faction	region	any
faction_to_region_own_increasing	factionwide	yours	faction	region	any
faction_to_region_own_unseen	factionwide	yours	faction	region	any
faction_to_sea_region_own	factionwide	yours	faction	sea_region	any
force_to_character_own_provincetext	forcewide	yours	force	character	any
force_to_faction_own_factionwide	factionwide	yours	force	faction	any
force_to_force_building	force_buildingwide	yours	faction	force_building	any
force_to_force_own	forcewide	yours	force	force	any
force_to_force_own_black_ark	forcewide	yours	force	force	any
force_to_force_own_factionwide	factionwide	yours	force	force	any
force_to_force_own_lords_army	forcewide	yours	force	force	any
force_to_general_own	forcewide	yours	force	character_when_commanding	any
force_to_province_enemy	provincewide	enemy	force	province	any
force_to_province_own	provincewide	yours	force	province	any
force_to_region_any	regionwide	any	force	region	any
force_to_region_own	regionwide	yours	force	region	any
force_to_region_own_raiding	regionwide	yours	force	region	yours
foreign_building_to_adjacent_province	provincewide	any	foreign_building	province	any
foreign_building_to_adjacent_province_unseen	provincewide	any	foreign_building	province	any
foreign_building_to_character_in_adjacent_provinces	neighbour_region	any	foreign_building	character_when_commanding_army	any
foreign_building_to_character_own	regionwide	yours	foreign_building	character_when_commanding	any
foreign_building_to_faction_own	factionwide	yours	foreign_building	faction	any
foreign_building_to_faction_own_unseen	factionwide	yours	foreign_building	faction	any
foreign_building_to_force_own_factionwide	factionwide	yours	foreign_building	force	any
foreign_building_to_force_own_in_adjacent_province_unseen	neighbour_faction_province	yours	foreign_building	force	any
foreign_building_to_force_own_provincewide_unseen	provincewide	yours	foreign_building	force	any
foreign_building_to_forces_own_regionwide	regionwide	yours	foreign_building	force	any
foreign_building_to_foreign_building_own	foreign_buildingwide	yours	foreign_building	foreign_building	any
foreign_building_to_region_own	regionwide	any	foreign_building	region	any
foreign_building_to_region_own_dummy_adjacency	regionwide	any	foreign_building	region	any
foreign_building_to_region_own_factionwide	factionwide	yours	foreign_building	region	any
general_to_force_enemy_regionwide	regionwide	enemy	character	force	any
general_to_force_own	forcewide_when_commanding	yours	character	force	any
general_to_force_own_unseen	forcewide_when_commanding	yours	character	force	any
grombrindal_faction_to_force	factionwide	yours	faction	force	any
grombrindal_faction_to_province	factionwide	yours	faction	province	any
grombrindal_faction_to_region	factionwide	yours	faction	region	any
grombrindal_force_to_faction	factionwide	yours	force	faction	any
grombrindal_force_to_force	forcewide	yours	force	force	any
