Loc PackedFile	1
key	text	tooltip
campaign_factorial_ui_infos_effect_text_characters	Discoverability:	true
campaign_factorial_ui_infos_negative_name_characters	Characters	true
campaign_factorial_ui_infos_positive_name_characters	Characters	true
campaign_factorial_ui_infos_positive_name_buildings	Buildings	true
campaign_factorial_ui_infos_effect_text_buildings_settlement	Discoverability of Skaven Under-Cities:	true
campaign_factorial_ui_infos_negative_name_buildings	Buildings	true
campaign_factorial_ui_infos_negative_name_buildings_settlement	Settlement	true
campaign_factorial_ui_infos_effect_text_buildings	Discoverability:	true
campaign_factorial_ui_infos_positive_name_buildings_settlement	Settlement	true
