Loc PackedFile	1
key	text	tooltip
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	 	true
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	 	true
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_tmb_tahoth	[[col:dark_r]]This rite will unlock after owning 20 units.[[/col]]	true
campaign_group_rituals_unlock_text_wh2_dlc12_ritual_tehenhauinwh2_dlc12_tehenhauin_sacrifice_tier2_ror_colossadon_hunters	 [PH] Insert Unlock Text	true
campaign_group_rituals_unlock_text_wh2_dlc10_ritual_dwf_forgingwh2_dlc10_dwf_ritual_weapon_old_guards_hammer	 	true
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	 	true
campaign_group_rituals_unlock_text_wh2_dlc10_ritual_dwf_forgingwh2_dlc10_dwf_ritual_weapon_dragon_slayers_axe	 	true
campaign_group_rituals_unlock_text_wh2_main_ritual_skv_morswh2_main_ritual_skv_thirteen_mors	[[col:dark_r]]This rite will unlock after reaching rank 7 with your Faction Leader.[[/col]]	true
campaign_group_rituals_unlock_text_wh2_main_ritual_skv_skyrewh2_dlc12_ikit_workshop_jezail_part_2	[[col:red]]Requires Level 2 Forbidden Workshop[[/col]]	true
campaign_group_rituals_unlock_text_wh2_main_ritual_skv_skyrewh2_dlc12_ikit_workshop_jezail_part_0	[[col:red]]Requires Level 1 Forbidden Workshop[[/col]]	true
campaign_group_rituals_unlock_text_wh2_main_ritual_skv_skyrewh2_dlc12_ikit_workshop_jezail_part_1	[[col:red]]Requires Level 3 Forbidden Workshop[[/col]]	true
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	 	true
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	 	true
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	 	true
campaign_group_rituals_unlock_text_wh2_dlc12_ritual_tehenhauinwh2_dlc12_tehenhauin_sacrifice_tier5_ror_the_thunderous_one	 [PH] Insert Unlock Text	true
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	 	true
campaign_group_rituals_unlock_text_wh2_dlc10_ritual_dwf_forgingwh2_dlc10_dwf_ritual_enchanted_item_ironbeards_bracers	 	true
campaign_group_rituals_unlock_text_wh2_dlc10_ritual_dwf_forgingwh2_dlc10_dwf_ritual_armour_prospectors_mail	 	true
campaign_group_rituals_unlock_text_wh2_dlc09_ritual_tmbwh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	 	true
campaign_group_rituals_unlock_text_wh2_dlc10_ritual_dwf_forgingwh2_dlc10_dwf_ritual_talisman_ring_of_grimnir	 	true
