campaign_group_rituals_tables	1
campaign_group	ritual	unlock_mission	unlock_turn	initially_unlocked
wh2_dlc09_ritual_skv_rictus	wh2_dlc09_ritual_skv_thirteen_rictus		0	false
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_army_capacity		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_carrion		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_necropolis_knights		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt		0	true
wh2_dlc09_ritual_tmb	wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone		0	true
