campaign_map_attritions_tables	3
damage	key	type	message_event_association	is_snow
attrition_athel_loren	athel_loren	terrain_land	attrition_athel_loren	false
attrition_besieged	besieged	besieged	attrition_besieged	false
attrition_sieging	besieging	besieging	attrition_besieging	false
attrition_light	blockaded	blockaded	attrition_blockaded	false
attrition_light	blockading	blockading	attrition_blockading	false
attrition_vampire_territory	chaos_territory	chaos_region	attrition_chaos_territory	false
attrition_chaos_wastes	chaos_wastes	terrain_land	attrition_chaos_wastes	false
attrition_heavy	deep_sea	terrain_sea	attrition_high_seas	false
attrition_medium	desert	terrain_land	attrition_desert	false
attrition_desertion	desertion	desertion	campmap_bankrupt_desertion	false
attrition_disease	disease	disease	attrition_disease	false
attrition_event	event_attrition	bonus_value_enabled		false
attrition_horde_infighting	horde_infighting	horde_infighting	attrition_horde_infighting	false
attrition_hostile_territory	hostile_territory	hostile_territory	attrition_hostile_territory	false
attrition_morale	low_morale	low_morale	attrition_low_morale	false
attrition_maelstrom	maelstrom	terrain_sea	attrition_maelstrom	false
attrition_storm_level_3	mist	storm_region	cst_fog	false
attrition_medium	mountain	terrain_land	attrition_mountain	false
attrition_vampire_territory	non_vampire_territory	non_vampire_region	attrition_non_vampire_territory	false
attrition_vampire_territory	nurgle_plague	chaos_region	attrition_chaos_territory	false
attrition_heavy	reef	terrain_sea	attrition_reef	false
attrition_desertion	regionless	regionless	campmap_bankrupt_desertion	false
attrition_heavy	sabotage	army_sabotage		false
attrition_storm_level_5	sea_monster_storm	storm_region	attrition_storm_level_5	false
attrition_heavy	snow	terrain_land	attrition_winter	true
attrition_storm_level_1	storm_level_1	storm_region	attrition_storm_level_1	false
attrition_storm_level_2	storm_level_2	storm_region	attrition_storm_level_2	false
attrition_storm_level_3	storm_level_3	storm_region	attrition_storm_level_3	false
attrition_storm_level_4	storm_level_4	storm_region	attrition_storm_level_4	false
attrition_storm_level_5	storm_level_5	storm_region	attrition_storm_level_5	false
attrition_storm_level_3	storm_sandstorm	storm_region	storm_sandstorm	false
attrition_light	swamp	terrain_land	attrition_swamp	false
attrition_vampire_territory	vampire_territory	vampire_region	attrition_vampire_territory	false
attrition_morale_very_low	very_low_morale	very_low_morale	attrition_low_morale	false
attrition_medium	wasteland	terrain_land	attrition_wasteland	false
