campaign_mount_animation_set_overrides_tables	2
character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_hero_hu1_cst_gunnery_rifle	wh2_dlc11_cst_cha_gunnery_wight_1	cam_hero_hu1_cst_gunnery_cr1_promethean_wb_rifle	0
cam_hero_hu1_tomb_sword_and_whip	wh2_dlc09_tmb_cha_necrotect_1	cam_hero_hu1_tomb_sword_and_whip_wm_chariot01	0
cam_hero_hu1b_cst_captain_cutlass_and_hook	wh2_dlc11_cst_cha_vampire_fleet_captain_1	cam_hero_hu1b_cst_captain_cr1_promethean_wb_cutlass_and_hook	0
cam_hero_hu1b_cst_captain_cutlass_and_hook	wh2_dlc11_cst_cha_vampire_fleet_captain_death_1	cam_hero_hu1b_cst_captain_cr1_promethean_wb_cutlass_and_hook	0
cam_hero_hu1b_cst_captain_cutlass_and_hook	wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_1	cam_hero_hu1b_cst_captain_cr1_promethean_wb_cutlass_and_hook	0
cam_hero_hu1b_hef_spear_and_bow	wh2_dlc10_hef_cha_handmaiden_1	cam_hero_hu1b_hef_hr1_warhorse_spear_and_bow	0
cam_hero_hu1b_hef_spear_and_bow	wh2_dlc10_hef_cha_handmaiden_2	cam_hero_hu1b_hef_hr1_warhorse_spear_and_bow	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_alastair_3	cam_hero_hu1d_elf_hr1_warhorse_halberd	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_alastair_4	cam_hero_hu1d_elf_hr1_warhorse_halberd	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_alastair_5	cam_hero_hu1d_elf_hr1_warhorse_halberd	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_noble_2	cam_hero_hu1d_elf_hr1_warhorse_halberd	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_noble_3	cam_lord_hu1d_elf_bi1_eagle_wb_sword_and_shield	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_noble_4	cam_hero_hu1d_elf_wm_tiranoc_chariot01_halberd	0
cam_hero_hu7_skink_club_and_blowpipe	wh2_main_lzd_cha_skink_chief_1	cam_hero_hu7_skink_bi3_terradon_wb_club_blowpipe	0
cam_hero_hu7_skink_club_and_blowpipe	wh2_main_lzd_cha_skink_chief_2	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_club_and_blowpipe	wh2_main_lzd_cha_skink_chief_3	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_dlc12_lzd_cha_skink_priest_beasts_4	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_dlc12_lzd_cha_skink_priest_heavens_4	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_beasts_1	cam_hero_hu7_skink_bi3_terradon_wb_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_beasts_2	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_beasts_3	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_heavens_1	cam_hero_hu7_skink_bi3_terradon_wb_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_heavens_2	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_heavens_3	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hu17_skaven_censer	wh2_main_skv_cha_plague_priest_2	cam_lord_hu17_plague_furnace_staff	0
cam_hu17_skaven_dual_sword	wh2_main_skv_cha_warlord_1	cam_lord_hu17_skaven_warlord_hu18_rat_ogre_drill	0
cam_hu17_skaven_staff_and_sword	wh2_main_skv_cha_grey_seer_plague_1	cam_lord_hu17_screaming_bell_staff	0
cam_hu17_skaven_staff_and_sword	wh2_main_skv_cha_grey_seer_ruin_1	cam_lord_hu17_screaming_bell_staff	0
cam_hu1_arch_lector_dual_hammer	wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_arch_lector_dual_hammer	wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_arch_lector_dual_hammer	wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_3	cam_hu1_empire_dr1_dragon_wb_sword_and_shield	0
cam_hu1_arch_lector_dual_hammer	wh_dlc04_emp_cha_arch_lector_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_arch_lector_dual_hammer	wh_dlc04_emp_cha_arch_lector_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_hammer_and_book	wh_main_emp_cha_warrior_priest_1	cam_hu1_empire_hr1_warhorse_hammer_and_book	0
cam_hu1_empire_hammer_and_book	wh_main_emp_cha_warrior_priest_2	cam_hu1_empire_hr1_warhorse_hammer_and_book	0
cam_hu1_empire_hammer	wh_main_emp_cha_karl_franz_1	cam_hu1_empire_bc2_wb_griffon_hammer	0
cam_hu1_empire_hammer	wh_main_emp_cha_karl_franz_2	cam_hu1_empire_hr1_warhorse_hammer	0
cam_hu1_empire_hammer	wh_main_emp_cha_karl_franz_3	cam_hu1_empire_hr1_warhorse_hammer	0
cam_hu1_empire_hammer	wh_main_emp_cha_karl_franz_4	cam_hu1_empire_hr1_warhorse_hammer	0
cam_hu1_empire_staff_and_sword	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_3	cam_hu1_empire_dr1_dragon_wb_sword_and_shield	0
cam_hu1_empire_staff_and_sword	wh2_dlc11_vmp_cha_heinrich_kemmler_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc03_emp_cha_wizard_beasts_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc03_emp_cha_wizard_beasts_2	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc03_emp_cha_wizard_beasts_3	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	wh_dlc03_emp_cha_wizard_beasts_4	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
