campaign_mp_coop_groups_to_factions_tables	0
faction_key	mp_coop_group
wh2_dlc09_skv_clan_rictus	wh2_vortex_skaven
wh2_dlc09_tmb_exiles_of_nehek	wh2_vortex_tomb_kings
wh2_dlc09_tmb_khemri	wh2_vortex_tomb_kings
wh2_dlc09_tmb_lybaras	wh2_vortex_tomb_kings
wh2_dlc11_cst_noctilus	wh2_vortex_vampire_coast
wh2_dlc11_cst_pirates_of_sartosa	wh2_vortex_vampire_coast
wh2_dlc11_cst_the_drowned	wh2_vortex_vampire_coast
wh2_dlc11_cst_vampire_coast	wh2_vortex_vampire_coast
wh2_dlc11_def_the_blessed_dread	wh2_vortex_dark_elves
wh2_main_def_cult_of_pleasure	wh2_vortex_dark_elves
wh2_main_def_har_ganeth	wh2_vortex_dark_elves
wh2_main_def_naggarond	wh2_vortex_dark_elves
wh2_main_hef_avelorn	wh2_vortex_high_elves
wh2_main_hef_eataine	wh2_vortex_high_elves
wh2_main_hef_nagarythe	wh2_vortex_high_elves
wh2_main_hef_order_of_loremasters	wh2_vortex_high_elves
wh2_main_lzd_hexoatl	wh2_vortex_lizardmen
wh2_main_lzd_last_defenders	wh2_vortex_lizardmen
wh2_main_skv_clan_mors	wh2_vortex_skaven
wh2_main_skv_clan_pestilens	wh2_vortex_skaven
