campaign_rogue_army_group_units_tables	0
group	key	unit	xp
wh2_main_rogue_group_1	0	wh2_main_def_cav_cold_one_knights_1	9
wh2_main_rogue_group_1	1	wh2_main_def_cav_cold_one_knights_1	5
wh2_dlc09_rogue_black_creek_raiders	1000225351	wh_dlc01_chs_inf_chosen_2	9
wh2_dlc11_cst_rogue_freebooters_of_port_royale	1003547928	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_dlc11_cst_shanty_dragon_spine_privateers	1012004194	wh_dlc05_wef_inf_wardancers_1	0
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	1019619280	wh2_dlc10_dwf_inf_giant_slayers	0
wh2_dlc09_rogue_dwellers_of_zardok	1020427337	wh_dlc03_bst_inf_bestigor_herd_0	7
wh2_main_rogue_group_black_spider_tribe	1032313070	wh_main_grn_cav_forest_goblin_spider_riders_1	8
wh2_dlc11_cst_rogue_grey_point_scuttlers	1032984208	wh2_main_skv_veh_doomwheel	0
wh2_main_rogue_group_stuff_snatchers	103392219	wh_main_grn_cav_forest_goblin_spider_riders_1	5
wh2_main_rogue_group_teef_snatchaz	1039298168	wh_main_grn_art_goblin_rock_lobber	0
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1041347395	wh2_dlc11_cst_inf_depth_guard_0	0
wh2_main_rogue_group_bernhoffs_brigands	1041723114	wh_main_brt_cav_mounted_yeomen_1	6
wh2_main_rogue_group_scourge_of_aquitaine	104262520	wh_main_vmp_cav_black_knights_3	6
wh2_main_rogue_group_bernhoffs_brigands	1043075324	wh_main_brt_cav_mounted_yeomen_1	6
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	1045057907	wh_main_dwf_inf_irondrakes_0	0
wh2_dlc09_rogue_black_creek_raiders	1045481774	wh_main_chs_mon_chaos_spawn	7
wh2_main_rogue_group_hunters_of_kurnous	105	wh_dlc05_wef_inf_glade_guard_2	5
wh2_main_rogue_group_scions_of_tesseninck	1066461555	wh_main_emp_inf_spearmen_0	0
wh2_dlc09_rogue_dwellers_of_zardok	1069401562	wh_dlc03_bst_inf_minotaurs_1	5
wh2_dlc11_cst_rogue_freebooters_of_port_royale	1071462167	wh_main_emp_inf_crossbowmen	0
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	1076035109	wh2_dlc10_def_cav_doomfire_warlocks_0	0
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	1079976494	wh_main_dwf_inf_longbeards	0
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	1090136009	wh2_main_def_inf_black_ark_corsairs_0	0
wh2_dlc09_rogue_black_creek_raiders	1090167391	wh2_main_def_inf_darkshards_1	5
wh2_main_rogue_group_pirates_of_the_southern_ocean	1095130643	wh_main_emp_cav_pistoliers_1	0
wh2_main_rogue_group_pirates_of_the_far_sea	1102866443	wh_main_emp_cav_pistoliers_1	0
wh2_dlc09_rogue_black_creek_raiders	11048046	wh2_main_def_inf_witch_elves_0	7
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1112681087	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	0
wh2_main_rogue_group_1	1115652328	wh_main_chs_cav_chaos_knights_0	4
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	111724741	wh2_dlc11_cst_inf_depth_guard_0	0
wh2_main_rogue_group_college_of_pyrotechnics	111766499	wh_main_emp_cav_outriders_1	6
wh2_dlc09_rogue_dwellers_of_zardok	112413208	wh_main_grn_inf_savage_orc_big_uns	7
wh2_main_rogue_group_black_spider_tribe	1125393406	wh_main_grn_cav_forest_goblin_spider_riders_1	8
wh2_dlc09_rogue_black_creek_raiders	1126010201	wh2_main_def_inf_darkshards_1	5
wh2_dlc11_cst_rogue_freebooters_of_port_royale	1128546135	wh_main_emp_art_mortar	0
wh2_main_rogue_group_mengils_manflayers	113	wh2_main_def_inf_black_ark_corsairs_1	5
wh2_main_rogue_group_boneclubbers_tribe	1131069992	wh_main_grn_inf_black_orcs	5
wh2_main_rogue_group_boneclubbers_tribe	1134905307	wh_main_grn_cav_orc_boar_boy_big_uns	5
wh2_dlc11_cst_shanty_middle_sea_brigands	1142849331	wh_dlc08_nor_mon_skinwolves_1	0
wh2_dlc11_cst_rogue_grey_point_scuttlers	1144737028	wh2_main_skv_inf_clanrats_1	0
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	1149230270	wh_main_grn_cav_orc_boar_boyz	0
wh2_main_rogue_group_pirates_of_the_far_sea	1155935889	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_dlc09_rogue_dwellers_of_zardok	1156509102	wh_main_grn_cav_savage_orc_boar_boyz	7
wh2_dlc09_rogue_black_creek_raiders	1157838051	wh2_main_def_inf_darkshards_1	5
wh2_dlc11_cst_shanty_shark_straight_seadogs	1166455151	wh_main_vmp_mon_crypt_horrors	0
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	1169688626	wh2_dlc11_cst_inf_syreens	0
