campaign_rogue_army_setups_tables	0
budget	difficulty_level	faction	group
2000	0	wh2_dlc09_rogue_black_creek_raiders	wh2_dlc09_rogue_black_creek_raiders
2000	1	wh2_dlc09_rogue_black_creek_raiders	wh2_dlc09_rogue_black_creek_raiders
2000	2	wh2_dlc09_rogue_black_creek_raiders	wh2_dlc09_rogue_black_creek_raiders
2000	3	wh2_dlc09_rogue_black_creek_raiders	wh2_dlc09_rogue_black_creek_raiders
2000	4	wh2_dlc09_rogue_black_creek_raiders	wh2_dlc09_rogue_black_creek_raiders
2000	0	wh2_dlc09_rogue_dwellers_of_zardok	wh2_dlc09_rogue_dwellers_of_zardok
2000	1	wh2_dlc09_rogue_dwellers_of_zardok	wh2_dlc09_rogue_dwellers_of_zardok
2000	2	wh2_dlc09_rogue_dwellers_of_zardok	wh2_dlc09_rogue_dwellers_of_zardok
2000	3	wh2_dlc09_rogue_dwellers_of_zardok	wh2_dlc09_rogue_dwellers_of_zardok
2000	4	wh2_dlc09_rogue_dwellers_of_zardok	wh2_dlc09_rogue_dwellers_of_zardok
2000	0	wh2_dlc09_rogue_eyes_of_the_jungle	wh2_dlc09_rogue_eyes_of_the_jungle
2000	1	wh2_dlc09_rogue_eyes_of_the_jungle	wh2_dlc09_rogue_eyes_of_the_jungle
2000	2	wh2_dlc09_rogue_eyes_of_the_jungle	wh2_dlc09_rogue_eyes_of_the_jungle
2000	3	wh2_dlc09_rogue_eyes_of_the_jungle	wh2_dlc09_rogue_eyes_of_the_jungle
2000	4	wh2_dlc09_rogue_eyes_of_the_jungle	wh2_dlc09_rogue_eyes_of_the_jungle
2000	0	wh2_dlc09_rogue_pilgrims_of_myrmidia	wh2_dlc09_rogue_pilgrims_of_myrmidia
2000	1	wh2_dlc09_rogue_pilgrims_of_myrmidia	wh2_dlc09_rogue_pilgrims_of_myrmidia
2000	2	wh2_dlc09_rogue_pilgrims_of_myrmidia	wh2_dlc09_rogue_pilgrims_of_myrmidia
2000	3	wh2_dlc09_rogue_pilgrims_of_myrmidia	wh2_dlc09_rogue_pilgrims_of_myrmidia
2000	4	wh2_dlc09_rogue_pilgrims_of_myrmidia	wh2_dlc09_rogue_pilgrims_of_myrmidia
0	0	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
0	1	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
0	2	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
0	3	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
0	4	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
0	0	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
0	1	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
0	2	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
0	3	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
0	4	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
0	0	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
0	1	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
0	2	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
0	3	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
0	4	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
