campaign_rogue_army_spawn_locations_tables	0
group	key	position_x	position_y	radius
wh2_main_vor_rogue_spawn_naggaroth_north	0	171	665	10
wh2_main_grand_rogue_spawn_naggaroth_north	10	79	659	10
wh2_main_vor_rogue_spawn_lustria_west	100	119	205	10
wh2_main_vor_rogue_spawn_lustria_west	105	116	116	10
wh2_main_vor_rogue_spawn_lustria_west	113	170	76	10
wh2_main_vor_rogue_spawn_lustria_south	119	307	74	10
wh2_main_vor_rogue_spawn_naggaroth_north	12	222	701	10
wh2_main_vor_rogue_spawn_lustria_south	127	217	100	10
wh2_main_vor_rogue_spawn_lustria_south	129	270	130	10
wh2_main_vor_rogue_spawn_lustria_south	136	182	125	10
wh2_main_vor_rogue_spawn_lustria_east	139	247	178	10
wh2_main_vor_rogue_spawn_lustria_east	149	151	205	10
wh2_main_vor_rogue_spawn_lustria_east	150	195	289	10
wh2_main_vor_rogue_spawn_lustria_east	158	261	222	10
wh2_main_vor_rogue_spawn_naggaroth_north	16	305	676	10
wh2_main_vor_rogue_spawn_southlands_south	162	519	57	10
wh2_main_vor_rogue_spawn_southlands_south	169	598	71	10
wh2_main_vor_rogue_spawn_southlands_south	177	575	120	10
wh2_main_vor_rogue_spawn_naggaroth_north	18	113	650	10
wh2_main_vor_rogue_spawn_southlands_south	181	660	141	10
wh2_main_vor_rogue_spawn_southlands_east	185	606	181	10
wh2_main_vor_rogue_spawn_southlands_east	190	640	215	10
wh2_main_vor_rogue_spawn_southlands_east	198	709	300	10
wh2_main_vor_rogue_spawn_southlands_east	200	589	249	10
wh2_main_vor_rogue_spawn_southlands_west	207	490	250	10
wh2_main_vor_rogue_spawn_southlands_west	211	431	287	10
wh2_main_vor_rogue_spawn_southlands_west	215	543	171	10
wh2_main_vor_rogue_spawn_southlands_west	223	502	336	10
wh2_main_vor_rogue_spawn_ulthuan_central	225	488	484	10
wh2_main_vor_rogue_spawn_ulthuan_central	233	520	563	10
wh2_main_vor_rogue_spawn_ulthuan_central	238	590	490	10
wh2_main_vor_rogue_spawn_ulthuan_central	242	570	472	10
wh2_main_vor_rogue_spawn_ulthuan_east	248	558	435	10
wh2_main_vor_rogue_spawn_ulthuan_east	256	632	483	10
wh2_main_vor_rogue_spawn_ulthuan_east	262	639	608	10
wh2_main_vor_rogue_spawn_ulthuan_east	268	549	602	10
wh2_main_vor_rogue_spawn_ulthuan_west	270	461	596	10
wh2_main_vor_rogue_spawn_ulthuan_west	275	416	533	10
wh2_main_vor_rogue_spawn_naggaroth_south	28	295	582	10
wh2_main_vor_rogue_spawn_ulthuan_west	280	429	466	10
wh2_main_vor_rogue_spawn_ulthuan_west	285	464	419	10
wh2_main_grand_rogue_spawn_naggaroth_north	293	337	698	10
wh2_main_grand_rogue_spawn_naggaroth_north	301	179	704	10
wh2_main_grand_rogue_spawn_naggaroth_north	303	44	563	10
wh2_main_grand_rogue_spawn_naggaroth_central	310	182	572	10
wh2_main_grand_rogue_spawn_naggaroth_central	312	156	520	15
wh2_main_grand_rogue_spawn_naggaroth_central	320	15	511	15
wh2_main_grand_rogue_spawn_naggaroth_central	321	95	548	10
wh2_main_grand_rogue_spawn_naggaroth_south	325	100	497	10
wh2_main_grand_rogue_spawn_naggaroth_south	326	29	449	15
wh2_main_vor_rogue_spawn_naggaroth_south	33	192	526	10
wh2_main_grand_rogue_spawn_naggaroth_south	331	96	464	10
wh2_main_grand_rogue_spawn_naggaroth_south	339	12	430	10
wh2_main_grand_rogue_spawn_istmus	342	27	316	10
wh2_main_grand_rogue_spawn_istmus	343	87	294	10
wh2_main_grand_rogue_spawn_istmus	349	43	248	10
wh2_main_grand_rogue_spawn_istmus	359	90	247	10
wh2_main_grand_rogue_spawn_lustria_west	364	37	35	10
wh2_main_grand_rogue_spawn_lustria_west	372	30	78	10
wh2_main_grand_rogue_spawn_lustria_west	380	52	137	10
wh2_main_grand_rogue_spawn_lustria_west	388	36	199	10
wh2_main_vor_rogue_spawn_naggaroth_south	39	139	454	10
wh2_main_grand_rogue_spawn_lustria_north	398	124	171	10
wh2_main_grand_rogue_spawn_lustria_north	408	212	160	10
wh2_main_vor_rogue_spawn_naggaroth_south	41	196	586	10
wh2_main_grand_rogue_spawn_lustria_north	416	108	136	10
wh2_main_vor_rogue_spawn_naggaroth_west	42	60	580	10
wh2_main_grand_rogue_spawn_lustria_north	426	216	115	10
wh2_main_grand_rogue_spawn_lustria_east	431	117	15	10
wh2_main_grand_rogue_spawn_lustria_east	432	188	29	10
wh2_main_grand_rogue_spawn_lustria_east	441	97	82	10
wh2_main_grand_rogue_spawn_lustria_east	443	165	56	10
wh2_main_grand_rogue_spawn_southlands_west	445	395	26	10
wh2_main_grand_rogue_spawn_southlands_west	453	470	43	10
wh2_main_grand_rogue_spawn_southlands_west	461	418	102	10
wh2_main_grand_rogue_spawn_southlands_west	464	476	129	10
wh2_main_grand_rogue_spawn_southlands_central	465	507	40	10
wh2_main_grand_rogue_spawn_southlands_central	470	638	37	10
wh2_main_grand_rogue_spawn_southlands_central	476	519	117	10
wh2_main_grand_rogue_spawn_southlands_central	484	595	99	10
wh2_main_grand_rogue_spawn_southlands_east	487	939	30	10
wh2_main_grand_rogue_spawn_southlands_east	491	828	41	10
wh2_main_grand_rogue_spawn_southlands_east	500	832	157	10
wh2_main_grand_rogue_spawn_southlands_east	504	749	90	20
wh2_main_grand_rogue_spawn_badlands_west	505	565	166	8
wh2_main_grand_rogue_spawn_badlands_west	507	649	158	10
wh2_main_grand_rogue_spawn_badlands_west	509	594	212	10
wh2_main_grand_rogue_spawn_badlands_west	513	627	276	10
wh2_main_vor_rogue_spawn_naggaroth_west	52	72	611	10
wh2_main_grand_rogue_spawn_badlands_east	521	686	169	10
wh2_main_grand_rogue_spawn_badlands_east	528	669	237	10
wh2_main_grand_rogue_spawn_badlands_east	536	756	198	15
wh2_main_vor_rogue_spawn_naggaroth_west	54	64	530	10
wh2_main_grand_rogue_spawn_badlands_east	543	765	252	10
wh2_main_grand_rogue_spawn_badlands_north	545	694	330	10
wh2_main_grand_rogue_spawn_badlands_north	549	750	336	10
wh2_main_grand_rogue_spawn_badlands_north	555	772	376	10
wh2_main_grand_rogue_spawn_badlands_north	562	756	286	10
wh2_main_grand_rogue_spawn_oldworld_south	568	583	320	10
wh2_main_grand_rogue_spawn_oldworld_south	578	514	330	10
wh2_main_grand_rogue_spawn_oldworld_south	581	506	220	10
wh2_main_grand_rogue_spawn_oldworld_south	582	374	260	10
wh2_main_grand_rogue_spawn_oldworld_west	588	443	330	10
wh2_main_grand_rogue_spawn_oldworld_west	591	383	407	10
wh2_main_grand_rogue_spawn_oldworld_west	592	452	382	10
wh2_main_grand_rogue_spawn_oldworld_west	598	396	505	10
