campaign_settlement_display_building_ids_tables	3
building_level_key	key	building_model_id
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_1	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_1	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_1
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_2	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_2	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_2
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_3	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_3	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_3
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_4	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_4	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_4
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_5	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_5	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_5
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_def_1	wh2_dlc09_special_settlement_pyramid_of_nagash_def_1	wh2_dlc09_special_settlement_pyramid_of_nagash_def_1
wh2_dlc09_special_settlement_pyramid_of_nagash_def_2	wh2_dlc09_special_settlement_pyramid_of_nagash_def_2	wh2_dlc09_special_settlement_pyramid_of_nagash_def_2
wh2_dlc09_special_settlement_pyramid_of_nagash_def_3	wh2_dlc09_special_settlement_pyramid_of_nagash_def_3	wh2_dlc09_special_settlement_pyramid_of_nagash_def_3
wh2_dlc09_special_settlement_pyramid_of_nagash_def_4	wh2_dlc09_special_settlement_pyramid_of_nagash_def_4	wh2_dlc09_special_settlement_pyramid_of_nagash_def_4
wh2_dlc09_special_settlement_pyramid_of_nagash_def_5	wh2_dlc09_special_settlement_pyramid_of_nagash_def_5	wh2_dlc09_special_settlement_pyramid_of_nagash_def_5
wh2_dlc09_special_settlement_pyramid_of_nagash_def_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_def_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_1	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_1	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_1
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_2	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_2	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_2
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_3	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_3	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_3
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_4	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_4	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_4
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_5	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_5	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_5
wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_dwf_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_1	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_1	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_1
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_2	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_2	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_2
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_3	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_3	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_3
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_4
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_5
wh2_dlc09_special_settlement_pyramid_of_nagash_emp_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_emp_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_1	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_1	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_1
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_2	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_2	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_2
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_3	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_3	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_3
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_4	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_4	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_4
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_5	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_5	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_5
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_grn_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_1	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_1	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_1
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_2	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_2	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_2
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_3	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_3	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_3
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_4	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_4	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_4
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_5	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_5	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_5
wh2_dlc09_special_settlement_pyramid_of_nagash_hef_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_hef_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_1	wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_1	wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_1
