campaign_settlement_display_building_siege_models_tables	0
blockade	culture	model_bmd
false	wh2_dlc09_tmb_tomb_kings	prefabs/campaign/greenskins_siege.bmd
false	wh2_dlc11_cst_vampire_coast	prefabs/campaign/greenskins_siege.bmd
false	wh2_main_def_dark_elves	prefabs/campaign/greenskins_siege.bmd
false	wh2_main_hef_high_elves	prefabs/campaign/greenskins_siege.bmd
false	wh2_main_lzd_lizardmen	prefabs/campaign/greenskins_siege.bmd
false	wh2_main_skv_skaven	prefabs/campaign/greenskins_siege.bmd
false	wh_dlc03_bst_beastmen	prefabs/campaign/greenskins_siege.bmd
false	wh_dlc05_wef_wood_elves	prefabs/campaign/greenskins_siege.bmd
false	wh_main_brt_bretonnia	prefabs/campaign/greenskins_siege.bmd
false	wh_main_chs_chaos	prefabs/campaign/greenskins_siege.bmd
false	wh_main_dwf_dwarfs	prefabs/campaign/greenskins_siege.bmd
false	wh_main_emp_empire	prefabs/campaign/greenskins_siege.bmd
false	wh_main_grn_greenskins	prefabs/campaign/greenskins_siege.bmd
false	wh_main_vmp_vampire_counts	prefabs/campaign/greenskins_siege.bmd
true	wh2_dlc09_tmb_tomb_kings	prefabs/campaign/greenskins_siege.bmd
true	wh2_dlc11_cst_vampire_coast	prefabs/campaign/greenskins_siege.bmd
true	wh2_main_def_dark_elves	prefabs/campaign/greenskins_siege.bmd
true	wh2_main_hef_high_elves	prefabs/campaign/greenskins_siege.bmd
true	wh2_main_lzd_lizardmen	prefabs/campaign/greenskins_siege.bmd
true	wh2_main_rogue	prefabs/campaign/greenskins_siege.bmd
true	wh2_main_skv_skaven	prefabs/campaign/greenskins_siege.bmd
true	wh_dlc03_bst_beastmen	prefabs/campaign/greenskins_siege.bmd
true	wh_dlc05_wef_wood_elves	prefabs/campaign/greenskins_siege.bmd
true	wh_main_brt_bretonnia	prefabs/campaign/greenskins_siege.bmd
true	wh_main_chs_chaos	prefabs/campaign/greenskins_siege.bmd
true	wh_main_dwf_dwarfs	prefabs/campaign/greenskins_siege.bmd
true	wh_main_emp_empire	prefabs/campaign/greenskins_siege.bmd
true	wh_main_grn_greenskins	prefabs/campaign/greenskins_siege.bmd
true	wh_main_vmp_vampire_counts	prefabs/campaign/greenskins_siege.bmd
