Loc PackedFile	1
key	text	tooltip
campaign_statistics_categories_localised_description_stat_cat_battles_general	Battles	true
campaign_statistics_categories_localised_description_stat_cat_agents_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_general	Progress	true
campaign_statistics_categories_localised_description_stat_cat_empire_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_economy_income	Income	true
campaign_statistics_categories_localised_description_stat_cat_military_forces	Armies	true
campaign_statistics_categories_localised_description_stat_cat_empire	Faction	true
campaign_statistics_categories_localised_description_stat_cat_battles_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_general_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_battles_defeats	Losses	true
campaign_statistics_categories_localised_description_stat_cat_agents_general	Heroes	true
campaign_statistics_categories_localised_description_stat_cat_economy_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_agents_actions	Hero Actions	true
campaign_statistics_categories_localised_description_stat_cat_military_units	Units	true
campaign_statistics_categories_localised_description_stat_cat_diplomacy	Diplomacy	true
campaign_statistics_categories_localised_description_stat_cat_economy_expenditure	Expenditure	true
campaign_statistics_categories_localised_description_stat_cat_military_breaker	 	true
campaign_statistics_categories_localised_description_stat_cat_battles_aftermath	Aftermaths	true
campaign_statistics_categories_localised_description_stat_cat_battles_victories	Victories	true
