campaign_videos_tables	0
campaign_locked	culture	sort	still_path	video_name
true	wh2_dlc11_cst_vampire_coast	68	ui/movies/cst_battle_aranessa.png	warhammer2/cst/cst_battle_aranessa
true	wh2_dlc11_cst_vampire_coast	69	ui/movies/cst_battle_cylostra.png	warhammer2/cst/cst_battle_cylostra
true	wh2_dlc11_cst_vampire_coast	66	ui/movies/cst_battle_harkon.png	warhammer2/cst/cst_battle_harkon
true	wh2_dlc11_cst_vampire_coast	67	ui/movies/cst_battle_noctilus.png	warhammer2/cst/cst_battle_noctilus
false	wh2_dlc11_cst_vampire_coast	62	ui/movies/cst_intro_aranessa.png	warhammer2/cst/cst_intro_aranessa
false	wh2_dlc11_cst_vampire_coast	63	ui/movies/cst_intro_cylostra.png	warhammer2/cst/cst_intro_cylostra
false	wh2_dlc11_cst_vampire_coast	60	ui/movies/cst_intro_harkon.png	warhammer2/cst/cst_intro_harkon
false	wh2_dlc11_cst_vampire_coast	61	ui/movies/cst_intro_noctilus.png	warhammer2/cst/cst_intro_noctilus
true	wh2_dlc11_cst_vampire_coast	65	ui/movies/cst_items.png	warhammer2/cst/cst_items
true	wh2_dlc11_cst_vampire_coast	72	ui/movies/cst_win_aranessa.png	warhammer2/cst/cst_win_aranessa
true	wh2_dlc11_cst_vampire_coast	73	ui/movies/cst_win_cylostra.png	warhammer2/cst/cst_win_cylostra
true	wh2_dlc11_cst_vampire_coast	70	ui/movies/cst_win_harkon.png	warhammer2/cst/cst_win_harkon
true	wh2_dlc11_cst_vampire_coast	71	ui/movies/cst_win_noctilus.png	warhammer2/cst/cst_win_noctilus
true	wh2_dlc11_cst_vampire_coast	64	ui/movies/cst_wreck.png	warhammer2/cst/cst_wreck
true	wh2_main_def_dark_elves	21	ui/movies/def_horned_rat.png	warhammer2/def/def_horned_rat
false	wh2_main_def_dark_elves	16	ui/movies/def_intro.png	warhammer2/def/def_intro
true	wh2_main_def_dark_elves	17	ui/movies/def_ritual_1.png	warhammer2/def/def_ritual_1
true	wh2_main_def_dark_elves	18	ui/movies/def_ritual_2.png	warhammer2/def/def_ritual_2
true	wh2_main_def_dark_elves	19	ui/movies/def_ritual_3.png	warhammer2/def/def_ritual_3
true	wh2_main_def_dark_elves	20	ui/movies/def_ritual_4.png	warhammer2/def/def_ritual_4
true	wh2_main_def_dark_elves	22	ui/movies/def_ritual_5.png	warhammer2/def/def_ritual_5
true	wh2_main_def_dark_elves	23	ui/movies/def_win.png	warhammer2/def/def_win
true	wh2_main_hef_high_elves	5	ui/movies/hef_horned_rat.png	warhammer2/hef/hef_horned_rat
