cdir_events_dilemma_payloads_tables	2
choice_key	dilemma_key	id	payload_key	value
FIRST	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	1000611982	TARGET	EVENT
SECOND	wh_main_grn_lootas	101	DIPLOMATIC_STANDING	AMOUNT[-2]
FIRST	wh2_dlc09_agent_choice	1011140169	SPAWN_AGENT	AGENT[champion];AP_FACTOR[1.0]
FOURTH	wh2_dlc10_nor_monster_hunt_9_dilemma_reward	101154218	wh_dlc08_dummy_serpent_allegiance	DURATION[0]
FIRST	wh2_main_hef_intrigue_favour_of_the_phoenix	1013844086	INFLUENCE	AMOUNT[-5]
FIRST	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a	1013873560	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a_first	DURATION[20]
SECOND	wh2_main_dilemma_loyalty_positive_skv_when_rats_fly	1014060994	CHARACTER_EXPERIENCE	AMOUNT[2000]
FIRST	wh2_main_dilemma_encounter_at_sea_2_a	1015766506	TEXT_DISPLAY	LOOKUP[dummy_wh2_main_combat_encounter]
FIRST	wh_dlc03_agent_choice	1017	SPAWN_AGENT	AGENT[champion];AGENT_SUBTYPE[dlc03_bst_gorebull];AP_FACTOR[1.0]
SECOND	wh2_main_dilemma_loyalty_positive_skv_loyal_musk	1018556364	LOYALTY	AMOUNT[1]
FIRST	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	1018889643	TARGET	EVENT
SECOND	wh2_dlc10_nor_monster_hunt_11_dilemma_reward	1019860428	wh_dlc08_dummy_eagle_allegiance	DURATION[0]
SECOND	wh2_dlc08_confederate_wh2_main_nor_mung	1022509630	DIPLOMATIC_STANDING	AMOUNT[-3]
SECOND	wh_dlc03_agent_choice	1024	SPAWN_AGENT	AGENT[wizard];AP_FACTOR[1.0]
SECOND	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_b	1025698380	LOYALTY	AMOUNT[-1]
FIRST	wh_dlc03_agent_choice	1027	TARGET	CAPITAL
FIRST	wh2_main_dilemma_loyalty_def_all_along_the_watch_towers_1	1029917916	TREASURY	AMOUNT[-2000]
FOURTH	wh2_main_hef_intrigue_life_in_the_lagoon	1030819233	wh2_main_hef_intrigue_life_in_the_lagoon_fourth	DURATION[5]
