cdir_events_mission_option_junctions_tables	2
id	mission_key	option_key	value
1000178146	wh2_main_vortex_narrative_hef_ulthuan_is_yours	CND_RITUAL_CHAIN_STAGE_COMPLETED	wh2_main_ritual_vortex_hef0
1000193313	wh2_main_spawning_kill_x_entities_late_rare	CND_CULTURE	wh2_main_lzd_lizardmen
1000208901	wh2_main_mis_hef_capture_regions_grn	GEN_CND_SUBCULTURE	wh_main_sc_grn_greenskins
1000218296	wh2_main_mis_hef_recruit_unit_land_artillery	VAR_MISSION_LENGTH_MAX	10
1000245060	wh2_main_mis_skv_raid_region_skv	CND_FIRST_ROUND	4
1000317015	wh2_main_mis_skv_assassinate_character_agent_grn	CND_FIRST_ROUND	4
1000371884	wh2_main_mis_hef_engage_force_army_brt	VAR_MISSION_LENGTH_MAX	8
1000383854	wh_main_mis_grn_assassinate_character_agent_generic_female	GEN_CND_NOT_AGENT_SUBTYPE	dlc07_brt_green_knight
1000506702	wh2_main_mis_skv_assassinate_character_agent_vmp	VAR_MISSION_LENGTH_MOD_EASY	2.0
1000558526	wh2_dlc09_vortex_narrative_tmb_build_on_your_success	VAR_OBJECTIVE_BUILDING_LEVEL	wh2_dlc09_tmb_estate_1
1000570875	wh_dlc08_monster_hunt_1_stage_1	VAR_CHANCE	100
1000592790	wh2_main_mis_skv_engage_force_army_invading_bst	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	4
10006	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	CND_CAMPAIGN	main_warhammer
100070070	wh2_main_mis_skv_recruit_agent_spy	CND_CAMPAIGN	main_warhammer
1001023008	wh2_dlc11_mis_cst_engage_force_army_lzd	GEN_TARGET_MILITARY_FORCE	
10012	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_CHANCE	25
1001246601	wh2_dlc11_mis_cst_assassinate_character_agent_emp	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10013	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	CND_FIRST_ROUND	4
1001371893	wh2_main_mis_def_capture_regions_brt	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
1001380488	wh2_dlc11_cst_treasure_map_lake_treasure_6_level_1	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_lake_treasure_6_level_1
1001430167	wh2_dlc11_mis_cst_declare_war_grn	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
1001686108	wh2_main_mis_skv_capture_regions_brt	GEN_TARGET_REGION	
1001721930	wh2_main_mis_def_raid_region_dwf	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
1001815050	wh2_main_mis_def_engage_force_army_invading_vmp	GEN_CND_VISIBLE	
1001875664	wh2_dlc10_great_vortex_hef_alarielle_star_of_avelorn_stage_2	VAR_OBJECTIVE_RELIGION_PCT	85
1001938409	wh2_dlc12_great_vortex_kroqgar_lord_kroak_stage_2	GEN_CND_REGION	wh2_main_vor_the_red_rivers_zlatan
100202232	wh2_dlc11_mis_cst_engage_force_army_grn	CND_CULTURE	wh2_dlc11_cst_vampire_coast
1002074725	wh2_main_mis_lzd_eliminate_character_in_battle_faction_leader_def	VAR_MISSION_LENGTH_MAX	8
1002158511	wh2_main_mis_hef_assassinate_character_agent_bst	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_thane_ghost_1
1002248116	wh2_dlc11_cst_treasure_map_volcano_treasure_me_7_level_1	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	15
10023	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MIN	4
1002338196	wh2_dlc11_mis_cst_diplomatic_raid_region	CND_ROUNDS_UNTIL_NEXT	10
1002355584	wh2_dlc09_mis_tmb_assassinate_character_agent_lzd	GEN_CND_NOT_AGENT_SUBTYPE	dlc07_brt_green_knight
1002560867	wh2_dlc09_mis_tmb_declare_war_lzd	GEN_TARGET_FACTION	
1002594164	wh2_dlc11_mis_cst_declare_war_emp	CND_ROUNDS_UNTIL_NEXT	24
1002624121	wh2_dlc11_mis_cst_capture_regions_tmb	CND_CAMPAIGN	main_warhammer
1002665709	wh2_dlc09_mis_tmb_recruit_unit_land_infantry_melee	GEN_TARGET_NONE	
1002703591	wh2_main_mis_hef_engage_force_army_invading_vmp	VAR_OBJECTIVE_REQUIRES_VICTORY	
1002805591	wh2_dlc09_vortex_narrative_tmb_war_of_the_kings	VAR_OBJECTIVE_NUM_ARMIES	2
100289882	wh2_dlc09_mis_tmb_raid_region_emp	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
1002918216	wh2_main_mis_lzd_declare_war_chs	VAR_MISSION_LENGTH_MIN	4
1003045064	wh2_dlc09_mis_tmb_raze_sack_settlement_vmp	GEN_CND_WAR	
1003067337	wh2_dlc09_mis_tmb_assassinate_character_agent_brt	CND_ROUNDS_UNTIL_NEXT	16
1003140302	wh2_main_mis_hef_engage_force_army_bst	VAR_MISSION_LENGTH_MOD_EASY	2.0
1003177084	wh2_main_mis_def_declare_war_grn	CND_CULTURE	wh2_main_def_dark_elves
10032	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MAX	8
1003378224	wh2_main_mis_hef_eliminate_character_in_battle_high_rank_lzd	GEN_CND_NOT_WOUNDED	
1003449599	wh2_main_mis_hef_assassinate_character_agent_wef	GEN_CND_NOT_AGENT_SUBTYPE	dlc07_brt_green_knight
1003456230	wh2_main_mis_def_raze_sack_settlement_hef	CND_FIRST_ROUND	4
1003522683	wh2_dlc09_mis_tmb_engage_force_army_chs	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1003536483	wh2_main_mis_lzd_assassinate_character_agent_wef	VAR_MISSION_LENGTH_MOD_EASY	2.0
100358773	wh2_dlc09_mis_tmb_assassinate_character_agent_hef	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1003691121	wh2_dlc12_kroqgar_lord_kroak_stage_2	VAR_FOLLOWUP_CHANCE	100
100382261	wh2_main_mis_hef_recruit_unit_land_infantry_melee	CND_CAMPAIGN	main_warhammer
1003941125	wh2_dlc11_vor_cst_dilemma_ocean_of_opportunities_0	GEN_CND_SUBCULTURE	wh2_dlc11_brt_bretonnia_dil
1004053470	wh2_main_mis_skv_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_EASY	2.0
1004171577	wh2_dlc11_mis_cst_engage_force_army_brt	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
1004191506	wh2_dlc11_cst_treasure_map_starting_treasure_cylostra	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps
10042	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10043	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
1004457480	wh2_dlc11_cst_treasure_map_structure_treasure_3_level_1	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_structure_treasure_3_level_1
1004476091	wh2_main_mis_skv_raid_region_lzd	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
1004551986	wh2_dlc11_mis_cst_declare_war_nor	GEN_TARGET_FACTION	
1004620237	wh2_main_mis_def_assassinate_character_agent_hef	CND_CAMPAIGN	main_warhammer
1004796161	wh2_main_mis_lzd_engage_force_army_vmp	CND_CULTURE	wh2_main_lzd_lizardmen
1004865457	wh2_dlc11_mis_cst_assassinate_character_agent_cst	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_master_engineer_ghost
1004933333	wh2_dlc09_mis_tmb_raid_region_hef	CND_ROUNDS_UNTIL_NEXT	16
1004958433	wh2_dlc11_mis_cst_capture_regions_vmp	VAR_MISSION_LENGTH_MOD_EASY	2.0
1005070992	wh2_main_mis_def_raze_sack_settlement_hef	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1005247936	wh2_dlc11_mis_cst_diplomatic_raze_sack_settlement	GEN_TARGET_FACTION	
1005265318	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_skv	GEN_CND_MAX_REGION_DISTANCE	3
1005299203	wh2_main_spawning_defeat_n_armies_of_faction_mid	VAR_MISSION_LENGTH_MIN	20
10053	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_EASY	2.0
1005464346	wh2_main_mis_lzd_engage_force_army_bst	GEN_TARGET_MILITARY_FORCE	
1005499526	wh2_dlc09_mis_tmb_raze_sack_settlement_wef	CND_ROUNDS_UNTIL_NEXT	40
10056	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1005632669	wh2_main_mis_lzd_recruit_agent_wizard	VAR_OBJECTIVE_AGENT	wizard
1005638739	wh2_main_mis_hef_recruit_agent_champion	VAR_OBJECTIVE_AGENT	champion
10057	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_HARD	1.2
1005705492	wh2_dlc11_mis_cst_eliminate_character_in_battle_high_rank_wef	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1005724935	wh2_dlc12_tehenhauin_lord_kroak_stage_1	GEN_TARGET_NONE	
1005754886	wh2_main_mis_def_assassinate_character_agent_grn	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_thane_ghost_1
1005788331	wh2_main_mis_hef_engage_force_army_invading_brt	VAR_MISSION_LENGTH_MAX	8
1005906	wh2_main_mis_lzd_eliminate_character_in_battle_high_rank_bst	GEN_CND_SUBCULTURE	wh_dlc03_sc_bst_beastmen
1005940115	wh2_dlc11_mis_cst_eliminate_character_in_battle_high_rank_dwf	GEN_CND_WAR	
1005949330	wh2_dlc11_cst_treasure_map_skull_treasure_me_7_level_2	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_skull_treasure_me_7_level_2
100597306	wh2_dlc11_cst_treasure_map_island_treasure_5_level_1	VAR_CHANCE	100
1005995986	wh2_main_vortex_narrative_skv_admired_or_despised	CND_CULTURE	wh2_main_skv_skaven
1006034360	wh2_dlc11_mis_cst_raid_region_tmb	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
100619138	wh2_main_mis_def_engage_force_army_brt	GEN_CND_SUBCULTURE	wh_main_sc_brt_bretonnia
1006322227	wh2_dlc12_ikit_workshop_tier_3_2	VAR_OBJECTIVE_BUILDING_LEVEL	wh2_main_skv_energy_5
1006357090	wh2_main_spawning_capture_regions	CND_CULTURE	wh2_main_lzd_lizardmen
1006377079	wh2_dlc11_mis_cst_engage_force_army_skv	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1006452622	wh2_main_mis_skv_make_alliance_0	CND_CAMPAIGN	main_warhammer
1006492003	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_wef	GEN_CND_NOT_WOUNDED	
1006523169	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_bst	GEN_CND_WAR	
10066	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
1006663166	wh2_dlc09_mis_tmb_assassinate_character_agent_vmp	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_thane_ghost_2
1006695404	wh2_main_vortex_narrative_skv_mors_superior	VAR_CHANCE	30
1006701208	wh2_main_mis_skv_declare_war_grn	GEN_CND_FACTION_NEIGHBOURS	
1006791712	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_vmp	GEN_CND_WAR	
1006817941	wh2_dlc09_vortex_narrative_tmb_build_on_your_success	CND_UNIQUE	
1007168177	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_bst	CND_MISSION_NOT_ACTIVE	wh2_dlc09_mis_tmb_assassinate_character_general_bst
1007260601	wh2_main_vortex_narrative_skv_headtaken	CND_CAMPAIGN	wh2_main_great_vortex
