cdir_military_generator_template_ratios_tables	0
ratio	template_key	unit_group_key
10	WH_Beastmen_Brayherd_land	Default_land_artillery
20	WH_Beastmen_Brayherd_land	Default_land_cavalry_melee
10	WH_Beastmen_Brayherd_land	Default_land_infantry_melee
10	WH_Beastmen_Brayherd_land	Default_land_infantry_missile
0	WH_Beastmen_Brayherd_land	Default_land_magic
30	WH_Beastmen_Brayherd_land	Default_land_monster
10	WH_Beastmen_Brayherd_land	Default_land_support
5	WH_Beastmen_land	Default_land_artillery
10	WH_Beastmen_land	Default_land_cavalry_melee
30	WH_Beastmen_land	Default_land_infantry_melee
1	WH_Beastmen_land	Default_land_magic
10	WH_Beastmen_land	Default_land_monster
10	WH_Beastmen_land	Default_land_support
5	WH_Beastmen_land_2	Default_land_artillery
10	WH_Beastmen_land_2	Default_land_cavalry_melee
30	WH_Beastmen_land_2	Default_land_infantry_melee
1	WH_Beastmen_land_2	Default_land_magic
30	WH_Beastmen_land_2	Default_land_monster
30	WH_Beastmen_land_2	Default_land_support
5	WH_Beastmen_land_leader_khazrak	Default_land_cavalry_melee
60	WH_Beastmen_land_leader_khazrak	Default_land_infantry_melee
20	WH_Beastmen_land_leader_khazrak	Default_land_monster
5	WH_Beastmen_land_leader_morghur	Default_land_artillery
5	WH_Beastmen_land_leader_morghur	Default_land_cavalry_melee
40	WH_Beastmen_land_leader_morghur	Default_land_infantry_melee
5	WH_Beastmen_land_leader_morghur	Default_land_monster
40	WH_Beastmen_land_leader_morghur	morghur_land_support
1	WH_Bretonnia_land	Default_land_artillery
1	WH_Bretonnia_land	Default_land_aura
4	WH_Bretonnia_land	Default_land_cavalry_melee
5	WH_Bretonnia_land	Default_land_infantry_melee
1	WH_Bretonnia_land	Default_land_infantry_melee_low_quality
4	WH_Bretonnia_land	Default_land_infantry_missile
1	WH_Bretonnia_land	Default_land_magic
2	WH_Bretonnia_land	Default_land_support
1	WH_Bretonnia_land_cav	Default_land_aura
10	WH_Bretonnia_land_cav	Default_land_cavalry_melee
4	WH_Bretonnia_land_cav	Default_land_infantry_melee
1	WH_Bretonnia_land_cav	Default_land_magic
2	WH_Bretonnia_land_cav	Default_land_support
1	WH_Bretonnia_land_flying	Default_land_artillery
4	WH_Bretonnia_land_flying	Default_land_cavalry_melee
7	WH_Bretonnia_land_flying	Default_land_infantry_melee
2	WH_Bretonnia_land_flying	Default_land_infantry_missile
