character_skill_utilization_hints_junctions_tables	0
hint	key
USEFUL_ALWAYS	wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_arkhan_unique_0
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_arkhan_unique_1
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_arkhan_unique_2
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_arkhan_unique_3
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_arkhan_unique_4
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_arkhan_unique_5
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_army_buff_basic_archers
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_army_buff_basic_infantry
USELESS_ALWAYS	wh2_dlc09_skill_tmb_army_buff_cav
USELESS_ALWAYS	wh2_dlc09_skill_tmb_army_buff_chariot
USELESS_ALWAYS	wh2_dlc09_skill_tmb_army_buff_elite_structure
USELESS_ALWAYS	wh2_dlc09_skill_tmb_army_buff_structure_infantry
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_champion_unique_tomb_prince_skeletal_steed
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_champion_unique_tomb_prince_skeleton_chariot
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_god_blessing_0
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_god_blessing_1
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_god_blessing_2
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_god_blessing_3
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khalida_unique_0
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khalida_unique_1
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khalida_unique_2
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khalida_unique_3
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khalida_unique_4
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khalida_unique_5
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khatep_mortuary_cult_scholar
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khatep_soul_binding
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khatep_unique_0
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khatep_unique_2
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khatep_unique_3
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khatep_unique_5
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_khatep_witness_to_the_golden_age
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_liche_priest_cultist_of_mortuary
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_liche_priest_incantation_of_preservation
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_liche_priest_keeper_of_lore
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_lord_army_base
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_lord_unique_arkhan_skeletal_steed
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_lord_unique_arkhan_skeleton_chariot
USEFUL_ALWAYS	wh2_dlc09_skill_tmb_lord_unique_khalida_necroserpent
