climbing_ladders_meshes_definitions_tables	0
faction_key	variant_name
att_fact_blue	wh_main_glb_siege_ladder_01
att_fact_red	wh_main_glb_siege_ladder_01
att_fact_yellow	wh_main_glb_siege_ladder_01
wh2_dlc09_rogue_black_creek_raiders	wh_main_glb_siege_ladder_02
wh2_dlc09_rogue_dwellers_of_zardok	wh_main_glb_siege_ladder_02
wh2_dlc09_rogue_eyes_of_the_jungle	wh_main_glb_siege_ladder_02
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_main_glb_siege_ladder_02
wh2_dlc09_skv_clan_rictus	wh2_main_skv_siege_ladder_01
wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_siege_ladder_01
wh2_dlc09_tmb_dune_kingdoms	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_exiles_of_nehek	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_followers_of_nagash	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_khemri	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_lybaras	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_numas	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_rakaph_dynasty	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_the_sentinels	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_tomb_kings	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_tomb_kings_rebels	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_tombking_qb_followers_of_nagash	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_tombking_qb_khemri	wh_main_glb_siege_ladder_01
wh2_dlc09_tmb_tombking_qb_lybaras	wh_main_glb_siege_ladder_01
wh2_dlc10_def_blood_voyage	wh2_main_def_siege_ladder_01
wh2_dlc11_brt_bretonnia_dil	wh_main_glb_siege_ladder_02
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_noctilus	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_the_drowned	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_vampire_coast_encounters	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_vampire_coast_qb1	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_vampire_coast_qb2	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_vampire_coast_qb3	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_vampire_coast_qb4	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_vampire_coast_rebellion_rebels	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_cst_siege_ladder_01
wh2_dlc11_def_dark_elves_dil	wh_main_glb_siege_ladder_01
wh2_dlc11_def_the_blessed_dread	wh_main_glb_siege_ladder_01
wh2_dlc11_def_the_blessed_dread_separatists	wh2_main_def_siege_ladder_01
wh2_dlc11_emp_empire_dil	wh_main_glb_siege_ladder_02
wh2_dlc11_emp_empire_qb5	wh_main_glb_siege_ladder_02
wh2_dlc11_nor_norsca_dil	wh_main_glb_siege_ladder_02
wh2_dlc11_nor_norsca_qb4	wh_main_glb_siege_ladder_02
wh2_dlc11_vmp_the_barrow_legion	wh_main_glb_siege_ladder_02
wh2_dlc12_grn_leaf_cutterz_tribe	wh_main_glb_siege_ladder_02
wh2_dlc12_grn_leaf_cutterz_tribe_waaagh	wh_main_glb_siege_ladder_02
wh2_dlc12_lzd_cult_of_sotek	wh2_main_lzd_siege_ladder_01
wh2_dlc12_skv_clan_fester	wh2_main_skv_siege_ladder_01
wh2_dlc12_skv_clan_mange	wh2_main_skv_siege_ladder_01
wh2_main_brt_knights_of_origo	wh_main_brt_siege_ladder
wh2_main_brt_knights_of_the_flame	wh_main_brt_siege_ladder
wh2_main_brt_thegans_crusaders	wh_main_brt_siege_ladder
wh2_main_bst_blooded_axe	wh_main_glb_siege_ladder_02
wh2_main_bst_blooded_axe_brayherd	wh_main_glb_siege_ladder_02
wh2_main_bst_manblight	wh_main_glb_siege_ladder_02
wh2_main_bst_manblight_brayherd	wh_main_glb_siege_ladder_02
wh2_main_bst_ripper_horn	wh_main_glb_siege_ladder_02
wh2_main_bst_ripper_horn_brayherd	wh_main_glb_siege_ladder_02
wh2_main_bst_shadowgor	wh_main_glb_siege_ladder_02
wh2_main_bst_shadowgor_brayherd	wh_main_glb_siege_ladder_02
wh2_main_bst_skrinderkin	wh_main_glb_siege_ladder_02
wh2_main_bst_skrinderkin_brayherd	wh_main_glb_siege_ladder_02
wh2_main_bst_stone_horn	wh_main_glb_siege_ladder_02
wh2_main_bst_stone_horn_brayherd	wh_main_glb_siege_ladder_02
wh2_main_chs_chaos_incursion_def	wh_main_glb_siege_ladder_02
wh2_main_chs_chaos_incursion_hef	wh_main_glb_siege_ladder_02
wh2_main_chs_chaos_incursion_lzd	wh_main_glb_siege_ladder_02
wh2_main_chs_chaos_incursion_skv	wh_main_glb_siege_ladder_02
wh2_main_def_bleak_holds	wh2_main_def_siege_ladder_01
wh2_main_def_blood_hall_coven	wh2_main_def_siege_ladder_01
wh2_main_def_clar_karond	wh2_main_def_siege_ladder_01
wh2_main_def_cult_of_excess	wh2_main_def_siege_ladder_01
wh2_main_def_cult_of_pleasure	wh2_main_def_siege_ladder_01
wh2_main_def_cult_of_pleasure_separatists	wh2_main_def_siege_ladder_01
wh2_main_def_dark_elves	wh2_main_def_siege_ladder_01
wh2_main_def_dark_elves_intervention	wh2_main_def_siege_ladder_01
wh2_main_def_dark_elves_qb1	wh2_main_def_siege_ladder_01
wh2_main_def_dark_elves_qb2	wh2_main_def_siege_ladder_01
wh2_main_def_dark_elves_qb3	wh2_main_def_siege_ladder_01
wh2_main_def_dark_elves_qb4	wh2_main_def_siege_ladder_01
wh2_main_def_dark_elves_rebels	wh2_main_def_siege_ladder_01
wh2_main_def_deadwood_sentinels	wh2_main_def_siege_ladder_01
wh2_main_def_drackla_coven	wh2_main_def_siege_ladder_01
wh2_main_def_ghrond	wh2_main_def_siege_ladder_01
wh2_main_def_hag_graef	wh2_main_def_siege_ladder_01
wh2_main_def_har_ganeth	wh2_main_def_siege_ladder_01
wh2_main_def_har_ganeth_separatists	wh2_main_def_siege_ladder_01
wh2_main_def_karond_kar	wh2_main_def_siege_ladder_01
wh2_main_def_naggarond	wh2_main_def_siege_ladder_01
wh2_main_def_naggarond_separatists	wh2_main_def_siege_ladder_01
wh2_main_def_scourge_of_khaine	wh2_main_def_siege_ladder_01
wh2_main_def_ssildra_tor	wh2_main_def_siege_ladder_01
wh2_main_def_the_forgebound	wh2_main_def_siege_ladder_01
wh2_main_dwf_greybeards_prospectors	wh_main_glb_siege_ladder_02
wh2_main_dwf_karak_zorn	wh_main_glb_siege_ladder_02
wh2_main_dwf_spine_of_sotek_dwarfs	wh_main_glb_siege_ladder_01
wh2_main_emp_new_world_colonies	wh_main_emp_siege_ladder
wh2_main_emp_pirates_of_sartosa	wh_main_emp_siege_ladder
wh2_main_emp_sudenburg	wh_main_emp_siege_ladder
wh2_main_grn_arachnos	wh_main_glb_siege_ladder_02
wh2_main_grn_arachnos_waaagh	wh_main_glb_siege_ladder_02
wh2_main_grn_blue_vipers	wh_main_glb_siege_ladder_02
wh2_main_grn_blue_vipers_waaagh	wh_main_glb_siege_ladder_02
wh2_main_hef_avelorn	wh2_main_hef_siege_ladder_01
wh2_main_hef_caledor	wh2_main_hef_siege_ladder_01
wh2_main_hef_chrace	wh2_main_hef_siege_ladder_01
wh2_main_hef_citadel_of_dusk	wh2_main_hef_siege_ladder_01
wh2_main_hef_cothique	wh2_main_hef_siege_ladder_01
wh2_main_hef_eataine	wh2_main_hef_siege_ladder_01
wh2_main_hef_ellyrion	wh2_main_hef_siege_ladder_01
wh2_main_hef_fortress_of_dawn	wh2_main_hef_siege_ladder_01
wh2_main_hef_high_elves	wh2_main_hef_siege_ladder_01
wh2_main_hef_high_elves_intervention	wh2_main_hef_siege_ladder_01
wh2_main_hef_high_elves_qb1	wh2_main_hef_siege_ladder_01
wh2_main_hef_high_elves_qb2	wh2_main_hef_siege_ladder_01
wh2_main_hef_high_elves_qb3	wh2_main_hef_siege_ladder_01
wh2_main_hef_high_elves_qb4	wh2_main_hef_siege_ladder_01
wh2_main_hef_high_elves_rebels	wh2_main_hef_siege_ladder_01
wh2_main_hef_nagarythe	wh2_main_hef_siege_ladder_01
wh2_main_hef_order_of_loremasters	wh2_main_hef_siege_ladder_01
wh2_main_hef_saphery	wh2_main_hef_siege_ladder_01
wh2_main_hef_tiranoc	wh2_main_hef_siege_ladder_01
wh2_main_hef_tor_elasor	wh2_main_hef_siege_ladder_01
wh2_main_hef_yvresse	wh2_main_hef_siege_ladder_01
wh2_main_lzd_hexoatl	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_itza	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_last_defenders	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_lizardmen	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_lizardmen_intervention	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_lizardmen_qb1	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_lizardmen_qb2	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_lizardmen_qb3	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_lizardmen_qb4	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_lizardmen_rebels	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_sentinels_of_xeti	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_southern_sentinels	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_teotiqua	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_tlaqua	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_tlaxtlan	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_xlanhuapec	wh2_main_lzd_siege_ladder_01
wh2_main_lzd_zlatan	wh2_main_lzd_siege_ladder_01
wh2_main_nor_aghol	wh_main_glb_siege_ladder_02
wh2_main_nor_hung_incursion_def	wh_main_glb_siege_ladder_02
wh2_main_nor_hung_incursion_hef	wh_main_glb_siege_ladder_02
wh2_main_nor_hung_incursion_lzd	wh_main_glb_siege_ladder_02
wh2_main_nor_hung_incursion_skv	wh_main_glb_siege_ladder_02
wh2_main_nor_mung	wh_main_glb_siege_ladder_02
wh2_main_nor_skeggi	wh_main_glb_siege_ladder_02
wh2_main_rogue_abominations	wh_main_glb_siege_ladder_01
wh2_main_rogue_beastcatchas	wh_main_glb_siege_ladder_01
wh2_main_rogue_bernhoffs_brigands	wh_main_glb_siege_ladder_01
wh2_main_rogue_black_spider_tribe	wh_main_glb_siege_ladder_01
wh2_main_rogue_boneclubbers_tribe	wh_main_glb_siege_ladder_01
wh2_main_rogue_celestial_storm	wh_main_glb_siege_ladder_01
wh2_main_rogue_college_of_pyrotechnics	wh_main_glb_siege_ladder_01
wh2_main_rogue_def_chs_vashnaar	wh_main_glb_siege_ladder_01
wh2_main_rogue_def_mengils_manflayers	wh_main_glb_siege_ladder_01
wh2_main_rogue_doomseekers	wh_main_glb_siege_ladder_01
wh2_main_rogue_doomseekers_qb1	wh_main_glb_siege_ladder_01
wh2_main_rogue_gerhardts_mercenaries	wh_main_glb_siege_ladder_01
wh2_main_rogue_gerhardts_mercenaries_qb1	wh_main_glb_siege_ladder_01
wh2_main_rogue_hef_tor_elithis	wh_main_glb_siege_ladder_01
wh2_main_rogue_hung_warband	wh_main_glb_siege_ladder_01
wh2_main_rogue_jerrods_errantry	wh_main_glb_siege_ladder_01
wh2_main_rogue_mangy_houndz	wh_main_glb_siege_ladder_01
wh2_main_rogue_morrsliebs_howlers	wh_main_glb_siege_ladder_01
wh2_main_rogue_pirates_of_the_far_sea	wh_main_glb_siege_ladder_01
wh2_main_rogue_pirates_of_the_southern_ocean	wh_main_glb_siege_ladder_01
wh2_main_rogue_pirates_of_trantio	wh_main_glb_siege_ladder_01
wh2_main_rogue_scions_of_tesseninck	wh_main_glb_siege_ladder_01
wh2_main_rogue_scourge_of_aquitaine	wh_main_glb_siege_ladder_01
wh2_main_rogue_stuff_snatchers	wh_main_glb_siege_ladder_01
wh2_main_rogue_teef_snatchaz	wh_main_glb_siege_ladder_01
wh2_main_rogue_the_wandering_dead	wh_main_glb_siege_ladder_01
wh2_main_rogue_troll_skullz	wh_main_glb_siege_ladder_01
wh2_main_rogue_vauls_expedition	wh_main_glb_siege_ladder_01
wh2_main_rogue_vmp_heirs_of_mourkain	wh_main_glb_siege_ladder_01
wh2_main_rogue_wef_hunters_of_kurnous	wh_main_glb_siege_ladder_01
wh2_main_rogue_worldroot_rangers	wh_main_glb_siege_ladder_01
wh2_main_rogue_wrath_of_nature	wh_main_glb_siege_ladder_01
wh2_main_skv_clan_eshin	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_gnaw	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_mordkin	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_mors	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_mors_separatists	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_moulder	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_pestilens	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_pestilens_separatists	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_septik	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_skryre_separatists	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_skyre	wh2_main_skv_siege_ladder_01
wh2_main_skv_clan_spittel	wh2_main_skv_siege_ladder_01
wh2_main_skv_grey_seer_clan	wh2_main_skv_siege_ladder_01
wh2_main_skv_skaven	wh2_main_skv_siege_ladder_01
wh2_main_skv_skaven_intervention	wh2_main_skv_siege_ladder_01
wh2_main_skv_skaven_qb1	wh2_main_skv_siege_ladder_01
wh2_main_skv_skaven_qb2	wh2_main_skv_siege_ladder_01
wh2_main_skv_skaven_qb3	wh2_main_skv_siege_ladder_01
wh2_main_skv_skaven_qb4	wh2_main_skv_siege_ladder_01
wh2_main_skv_skaven_rebels	wh2_main_skv_siege_ladder_01
wh2_main_skv_unknown_clan_def	wh2_main_skv_siege_ladder_01
wh2_main_skv_unknown_clan_hef	wh2_main_skv_siege_ladder_01
wh2_main_skv_unknown_clan_lzd	wh2_main_skv_siege_ladder_01
wh2_main_skv_unknown_clan_skv	wh2_main_skv_siege_ladder_01
wh2_main_vmp_necrarch_brotherhood	wh_main_glb_siege_ladder_02
wh2_main_vmp_strygos_empire	wh_main_glb_siege_ladder_02
wh2_main_vmp_the_silver_host	wh_main_glb_siege_ladder_02
wh2_main_vmp_vampire_coast	wh_main_glb_siege_ladder_01
wh2_main_wef_bowmen_of_oreon	wh_main_glb_siege_ladder_02
wh_dlc03_bst_beastmen	wh_main_glb_siege_ladder_02
wh_dlc03_bst_beastmen_brayherd	wh_main_glb_siege_ladder_02
wh_dlc03_bst_beastmen_chaos	wh_main_glb_siege_ladder_02
wh_dlc03_bst_beastmen_chaos_brayherd	wh_main_glb_siege_ladder_02
wh_dlc03_bst_beastmen_qb1	wh_main_glb_siege_ladder_02
wh_dlc03_bst_beastmen_qb2	wh_main_glb_siege_ladder_02
wh_dlc03_bst_beastmen_qb3	wh_main_glb_siege_ladder_02
wh_dlc03_bst_beastmen_rebels	wh_main_glb_siege_ladder_02
wh_dlc03_bst_jagged_horn	wh_main_glb_siege_ladder_02
wh_dlc03_bst_jagged_horn_brayherd	wh_main_glb_siege_ladder_02
wh_dlc03_bst_redhorn	wh_main_glb_siege_ladder_02
wh_dlc03_bst_redhorn_brayherd	wh_main_glb_siege_ladder_02
wh_dlc05_wef_argwylon	wh_main_glb_siege_ladder_01
wh_dlc05_wef_torgovann	wh_main_glb_siege_ladder_01
wh_dlc05_wef_wood_elves	wh_main_glb_siege_ladder_01
wh_dlc05_wef_wood_elves_rebels	wh_main_glb_siege_ladder_01
wh_dlc05_wef_wydrioth	wh_main_glb_siege_ladder_01
wh_dlc08_chs_chaos_challenger_khorne	wh_main_glb_siege_ladder_02
wh_dlc08_chs_chaos_challenger_nurgle	wh_main_glb_siege_ladder_02
wh_dlc08_chs_chaos_challenger_slaanesh	wh_main_glb_siege_ladder_02
wh_dlc08_chs_chaos_challenger_tzeentch	wh_main_glb_siege_ladder_02
wh_dlc08_nor_goromadny_tribe	wh_main_glb_siege_ladder_02
wh_dlc08_nor_helspire_tribe	wh_main_glb_siege_ladder_02
wh_dlc08_nor_naglfarlings	wh_main_glb_siege_ladder_02
wh_dlc08_nor_norsca	wh_main_glb_siege_ladder_02
wh_dlc08_nor_vanaheimlings	wh_main_glb_siege_ladder_02
wh_dlc08_nor_wintertooth	wh_main_glb_siege_ladder_02
wh_main_brt_artois	wh_main_brt_siege_ladder
wh_main_brt_bastonne	wh_main_brt_siege_ladder
wh_main_brt_bordeleaux	wh_main_brt_siege_ladder
wh_main_brt_bretonnia	wh_main_brt_siege_ladder
wh_main_brt_bretonnia_qb1	wh_main_brt_siege_ladder
wh_main_brt_bretonnia_qb2	wh_main_brt_siege_ladder
wh_main_brt_bretonnia_qb3	wh_main_brt_siege_ladder
wh_main_brt_bretonnia_rebels	wh_main_brt_siege_ladder
