Loc PackedFile	1
key	text	tooltip
commodity_unit_names_plural_barrels	barrels	true
commodity_unit_names_singular_kegs	keg	true
commodity_unit_names_singular_logs	log	true
commodity_unit_names_singular_chests	chest	true
commodity_unit_names_plural_bundle	bundles	true
commodity_unit_names_plural_kilnful	kilnful	true
commodity_unit_names_singular_bundle	bundle	true
commodity_unit_names_plural_chests	chests	true
commodity_unit_names_singular_cages	cage	true
commodity_unit_names_singular_ounce	ounce	true
commodity_unit_names_singular_slabs	slab	true
commodity_unit_names_singular_kilnful	kilnful	true
commodity_unit_names_singular_ingot	ingot	true
commodity_unit_names_singular_sacks	sack	true
commodity_unit_names_singular_barrels	barrel	true
commodity_unit_names_plural_ounce	ounces	true
commodity_unit_names_plural_slabs	slabs	true
commodity_unit_names_plural_cages	cages	true
commodity_unit_names_plural_sacks	sacks	true
commodity_unit_names_plural_kegs	kegs	true
commodity_unit_names_plural_logs	logs	true
commodity_unit_names_plural_ingot	ingots	true
